training_rank,training_objective,training_capital_gain_total_bp,training_capital_gain_excess_bp,oos_capital_gain_total_bp,oos_capital_gain_excess_bp
1,109.90025000000088,88.59499999999949,27.365000000000002,7.939999999999493,8.019999999999017
2,109.79650000000088,88.34499999999949,27.150000000000006,9.14999999999949,9.649999999999016
3,109.262500000001,85.07499999999948,27.63000000000048,11.024999999999492,12.464999999999005
4,109.11625000000087,85.82499999999948,26.444999999999986,10.304999999998998,10.849999999998518
5,108.64300000000111,82.66499999999999,27.080000000000496,10.70999999999949,13.474999999998992
6,108.582250000001,82.55499999999947,26.92500000000046,9.764999999998997,10.72999999999852
7,108.582250000001,82.55499999999947,26.92500000000046,11.324999999998994,14.554999999998493
8,108.42450000000075,83.80999999999946,25.289999999999466,9.249999999999,10.27999999999852
9,107.9627500000011,80.14499999999998,26.375000000000483,11.324999999998994,14.554999999998493
10,107.74075000000053,80.134999999999,25.49499999999898,10.359999999999001,10.914999999998514
11,107.63925000000063,80.33999999999949,24.924999999998988,11.919999999998998,14.739999999998485
12,107.49075000000133,79.71000000000049,24.835000000000996,10.70999999999949,13.474999999998992
13,107.24650000000051,78.46999999999899,24.84999999999897,10.359999999999001,10.914999999998514
14,107.20625000000085,80.24999999999997,23.264999999999475,10.269999999998996,13.984999999998495
15,107.01475000000087,78.62999999999948,23.794999999999973,8.709999999998999,10.159999999998522
16,107.01475000000087,78.62999999999948,23.794999999999973,10.584999999998999,12.97499999999851
17,107.01250000000061,76.97499999999951,25.109999999998998,11.429999999998996,13.004999999998487
18,106.9261428571435,102.5449999999995,32.87999999999904,10.599999999999014,14.099999999998522
19,106.91325000000097,78.83499999999998,23.224999999999973,10.269999999998996,13.984999999998495
20,106.88458333333362,100.37499999999899,32.544999999998026,8.865,12.919999999999508
