信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,供给_发行量_得分,供给_发行量_定性,供给_发行占比_得分,供给_发行占比_定性,供给_10Y以上发行_得分,供给_10Y以上发行_定性,供给_发飞惩罚_得分,供给_发飞惩罚_定性,银行需求_得分,银行需求_定性,利差_地方债国债_得分,利差_地方债国债_定性,利差_周度变化_得分,利差_周度变化_定性,利差_地方债NCD_得分,利差_地方债NCD_定性,非银情绪_得分,非银情绪_定性
2022-01-17,2022-01-24,0.5,中性,0.0037023085271996603,0.003502603269742055,0.00019970525745760526,0.0002444047619047619,0.0034541835766521037,4.069999999999994,3.8000000000000016,0.26999999999999247,是,有效进攻,是,否,有效进攻,0.0,中性,2.5,中性,10.0,中性,0.0,中性,0.0,利空,0.0,利空,5.0,中性,0.0,利空,20.0,利多
2022-01-24,2022-02-14,0.5,中性,-0.0006380807248217435,-0.002889224291526271,0.0022511435667045276,0.0005984702380952377,-0.0012314267552983513,-1.4400000000000004,-3.955,2.5149999999999997,否,有效防守,否,是,有效防守,0.0,利空,0.0,利空,0.0,利空,0.0,中性,5.0,中性,0.0,利空,10.0,利多,5.0,中性,20.0,利多
2022-02-14,2022-02-21,1.0,看多,-0.0013263015373861098,-0.00017404841880164224,-0.0011522531185844676,0.0006120436507936504,-0.0019379203525157814,-2.2799999999999905,-0.8400000000000074,-1.439999999999983,否,该空没空,否,是,该空没空,0.0,利多,5.0,利多,10.0,中性,0.0,中性,10.0,利多,12.5,中性,5.0,中性,10.0,利多,20.0,利多
2022-02-21,2022-02-28,0.5,中性,-0.0017433760615712668,0.001244678951438427,-0.002988055013009694,0.00030949206349206347,-0.002053474158766667,-2.4199999999999915,1.1249999999999978,-3.5449999999999893,否,低仓少吃,是,是,低仓少吃,0.0,利空,0.0,利空,0.0,利空,0.0,中性,5.0,中性,0.0,利空,10.0,利多,5.0,中性,20.0,利多
2022-02-28,2022-03-07,0.5,中性,-0.00032426444374400454,-0.0013405592491003704,0.0010162948053563658,0.00031185912698412704,-0.0006356572620743045,-0.7500000000000215,-1.8750000000000018,1.1249999999999802,否,有效防守,否,是,有效防守,0.0,中性,2.5,中性,10.0,中性,0.0,中性,0.0,利空,25.0,利多,0.0,利空,5.0,中性,0.0,利空
2022-03-07,2022-03-14,0.5,中性,-0.0005753642101420375,0.0012338775904852106,-0.0018092418006272482,0.0003130714285714286,-0.0008884372942107818,-1.0500000000000091,1.1150000000000049,-2.1650000000000142,否,低仓少吃,是,是,低仓少吃,0.0,中性,2.5,中性,10.0,中性,0.0,中性,10.0,利多,12.5,中性,10.0,利多,5.0,中性,0.0,利空
2022-03-14,2022-03-21,0.5,中性,0.0009258420937279244,0.0001618650949406497,0.0007639769987872747,0.00031289087301587305,0.0006147633614579555,0.7300000000005219,-0.12500000000000344,0.8550000000005253,是,有效防守,是,否,有效进攻,0.0,中性,2.5,中性,10.0,中性,0.0,中性,0.0,利空,25.0,利多,0.0,利空,0.0,利空,0.0,利空
2022-03-21,2022-03-28,0.5,中性,0.0011262662590441064,8.240530910241795e-05,0.0010438609499416884,0.00031353373015872976,0.0008123689895975816,0.9599999999995028,-0.22499999999999964,1.1849999999995025,是,有效防守,是,否,有效进攻,0.0,中性,2.5,中性,0.0,利空,0.0,中性,0.0,利空,25.0,利多,5.0,中性,5.0,中性,0.0,利空
2022-03-28,2022-04-04,0.5,中性,0.0011251327372197029,0.0012630152007384599,-0.000137882463518757,0.00031190476190476194,0.0008130005265370008,0.9599999999999886,1.145,-0.18500000000001138,是,低仓少吃,是,否,低仓少吃,0.0,中性,0.0,利空,10.0,中性,0.0,中性,5.0,中性,12.5,中性,5.0,中性,0.0,利空,0.0,利空
2022-04-04,2022-04-11,0.5,中性,0.0008804897683734048,0.0010868802168304548,-0.00020639044845705,0.0001853988095238095,0.0006950561812492984,0.8200000000000048,1.0700000000004977,-0.25000000000049283,是,低仓少吃,是,否,低仓少吃,0.0,利多,5.0,利多,20.0,利多,0.0,中性,10.0,利多,12.5,中性,5.0,中性,5.0,中性,0.0,利空
