信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,供给_发行量_得分,供给_发行量_定性,供给_发行占比_得分,供给_发行占比_定性,供给_10Y以上发行_得分,供给_10Y以上发行_定性,供给_发飞惩罚_得分,供给_发飞惩罚_定性,银行需求_得分,银行需求_定性,利差_地方债国债_得分,利差_地方债国债_定性,利差_周度变化_得分,利差_周度变化_定性,利差_地方债NCD_得分,利差_地方债NCD_定性,非银情绪_得分,非银情绪_定性
2025-01-13,2025-01-20,-1.0,看空,0.0023467349804218163,-0.0023446957530950385,0.004691430733516855,-0.0003595912698412698,0.002705306970825024,27.053069708250238,-27.053069708250238,54.106139416500476,是,有效防守,否,否,有效防守,0.0,利空,0.0,利空,0.0,利空,0.0,中性,10.0,利多,10.0,利多,7.5,中性,0.0,利空,0.0,利空
2025-01-20,2025-01-27,-1.0,看空,-0.0002170260294831472,0.0002138388873320629,-0.0004308649168152101,-0.0003614404761904762,0.00014600708112739834,1.4600708112739833,-1.4600708112739833,2.9201416225479666,是,有效防守,是,是,做空做反,0.0,利空,0.0,利空,0.0,利空,0.0,中性,5.0,中性,0.0,利空,15.0,利多,0.0,利空,0.0,利空
2025-01-27,2025-02-03,0.7,中性,0.001377070012877235,0.001967242875538844,-0.0005901728626616087,5.0622222222222216e-05,0.0013264477906549804,13.264477906549804,18.949254152214007,-5.684776245664203,是,低仓少吃,是,否,低仓少吃,10.0,中性,0.0,利空,7.5,中性,0.0,中性,5.0,中性,5.0,中性,7.5,中性,0.0,利空,0.0,利空
2025-02-03,2025-02-10,0.7,中性,0.0009877475047341822,0.0014110137975251735,-0.00042326629279099137,0.00014930555555555555,0.0008385299760256058,8.385299760256057,11.978999657508657,-3.5936998972526,是,低仓少吃,是,否,低仓少吃,10.0,中性,0.0,中性,7.5,中性,0.0,中性,0.0,利空,5.0,中性,7.5,中性,0.0,利空,25.0,利多
2025-02-10,2025-02-17,0.7,中性,0.0005336338109427352,0.0007622894672023595,-0.00022865565625962425,0.0002477222222222222,0.0002859842335142378,2.8598423351423783,4.085489050203396,-1.2256467150610177,是,低仓少吃,是,否,低仓少吃,0.0,利空,0.0,中性,0.0,利空,0.0,中性,5.0,中性,10.0,利多,7.5,中性,0.0,利空,25.0,利多
2025-02-17,2025-02-24,0.7,中性,-0.0047774453979941844,-0.006820603245627499,0.0020431578476333145,0.0002519444444444444,-0.005036446458445315,-50.364464584453145,-71.94923512064737,21.584770536194227,否,有效防守,否,是,有效防守,0.0,利空,0.0,利空,0.0,利空,0.0,中性,10.0,利多,0.0,利空,15.0,利多,0.0,利空,25.0,利多
2025-02-24,2025-03-03,-1.0,看空,0.004785382018750894,-0.004788158148714694,0.009573540167465588,-0.00037913492063491985,0.0051659203024486755,51.65920302448676,-51.65920302448676,103.31840604897351,是,有效防守,否,否,有效防守,0.0,利空,0.0,中性,0.0,利空,0.0,中性,10.0,利多,5.0,中性,0.0,利空,0.0,利空,0.0,利空
2025-03-03,2025-03-10,-1.0,看空,0.006818482130820591,-0.006793486211084221,0.013611968341904812,-0.00038363095238095235,0.007189605792377046,71.89605792377046,-71.89605792377046,143.7921158475409,是,有效防守,否,否,有效防守,10.0,中性,0.0,中性,7.5,中性,0.0,中性,0.0,利空,10.0,利多,0.0,利空,0.0,利空,0.0,利空
2025-03-10,2025-03-17,0.7,中性,-0.004326529590846673,-0.006178956431075688,0.0018524268402290156,0.00028250277777777747,-0.004611968472746619,-46.119684727466186,-65.88526389638028,19.765579168914094,否,有效防守,否,是,有效防守,10.0,中性,0.0,利多,7.5,中性,0.0,中性,5.0,中性,10.0,利多,15.0,利多,0.0,利空,0.0,利空
2025-03-17,2025-03-24,0.7,中性,0.0004611996421277631,0.0006571243372401891,-0.00019592469511242605,0.000291058333333333,0.000172968155554292,1.7296815555429201,2.470973650775595,-0.7412920952326749,是,低仓少吃,是,否,低仓少吃,10.0,中性,0.0,中性,7.5,中性,0.0,中性,0.0,利空,10.0,利多,0.0,利空,2.5,中性,0.0,利空
2025-03-24,2025-03-31,0.7,中性,0.0009279117295089012,0.0013236303729555754,-0.0003957186434466742,0.0002886611111111108,0.0006424458530534578,6.424458530534578,9.177797900763686,-2.7533393702291082,是,低仓少吃,是,否,低仓少吃,10.0,中性,0.0,中性,7.5,中性,0.0,中性,0.0,利空,10.0,利多,7.5,中性,5.0,利多,25.0,利多
2025-03-31,2025-04-07,1.0,看多,0.010285737730553413,0.010285737730553413,0.0,0.00032385714285714244,0.009929714811665147,99.29714811665147,99.29714811665147,0.0,是,有效进攻,是,否,有效进攻,10.0,中性,0.0,中性,7.5,中性,0.0,中性,5.0,中性,10.0,利多,7.5,中性,5.0,利多,25.0,利多
2025-04-07,2025-04-14,0.7,中性,0.0019871496381205223,0.00283240418297237,-0.0008452545448518478,0.00026652222222222195,0.0017310468300858076,17.310468300858076,24.729240429797255,-7.418772128939178,是,低仓少吃,是,否,低仓少吃,10.0,中性,0.0,中性,7.5,中性,0.0,中性,0.0,利空,5.0,中性,7.5,中性,5.0,利多,25.0,利多
2025-04-14,2025-04-21,0.7,中性,0.0007205529386775655,0.0010291831490303327,-0.00030863021035276716,0.0002666138888888889,0.00045423002099473104,4.54230020994731,6.489000299924729,-1.9467000899774192,是,低仓少吃,是,否,低仓少吃,10.0,中性,0.0,中性,7.5,中性,0.0,中性,5.0,中性,10.0,利多,0.0,利空,5.0,利多,25.0,利多
2025-04-21,2025-04-28,1.0,看多,0.0016751228489171321,0.0016751228489171321,0.0,0.0003773531746031742,0.0012985591958643587,12.985591958643587,12.985591958643587,0.0,是,有效进攻,是,否,有效进攻,10.0,中性,0.0,中性,15.0,利多,0.0,中性,5.0,中性,10.0,利多,7.5,中性,2.5,中性,25.0,利多
2025-04-28,2025-05-05,1.0,看多,0.0047831356434004935,0.0047831356434004935,0.0,0.0002244484126984123,0.004553507424319533,45.535074243195325,45.535074243195325,0.0,是,有效进攻,是,否,有效进攻,20.0,利多,0.0,利空,15.0,利多,0.0,中性,5.0,中性,5.0,中性,15.0,利多,2.5,中性,25.0,利多
2025-05-05,2025-05-12,0.7,中性,0.0008366269624193734,0.0011945255225838114,-0.000357898560164438,0.00020493055555555526,0.000632766272494434,6.32766272494434,9.039518178491914,-2.7118554535475736,是,低仓少吃,是,否,低仓少吃,10.0,中性,0.0,利多,7.5,中性,0.0,中性,5.0,中性,5.0,中性,7.5,中性,2.5,中性,25.0,利多
2025-05-12,2025-05-19,1.0,看多,-0.0019011896039536902,-0.0019011896039536902,0.0,0.00036865873015873014,-0.0022662812905043356,-22.662812905043356,-22.662812905043356,0.0,否,该空没空,否,是,该空没空,10.0,中性,0.0,利多,7.5,中性,0.0,中性,5.0,中性,5.0,中性,15.0,利多,5.0,利多,25.0,利多
2025-05-19,2025-05-26,0.7,中性,0.0005739602121987986,0.0008196565579057236,-0.000245696345706925,0.00025826944444444413,0.00031615880783580875,3.1615880783580876,4.516554397654411,-1.3549663192963233,是,低仓少吃,是,否,低仓少吃,10.0,中性,0.0,中性,7.5,中性,0.0,中性,10.0,利多,5.0,中性,7.5,中性,5.0,利多,0.0,利空
2025-05-26,2025-06-02,0.7,中性,-0.0005012212031959562,-0.0007162112297822709,0.00021499002658631472,0.00025930555555555527,-0.000760230999793087,-7.6023099979308695,-10.860442854186958,3.258132856256089,否,有效防守,否,是,有效防守,10.0,中性,0.0,利空,7.5,中性,0.0,中性,5.0,中性,0.0,利空,15.0,利多,5.0,利多,25.0,利多
2025-06-02,2025-06-09,0.7,中性,0.0014429902104249326,0.0020618737702662315,-0.000618883559841299,0.00020741666666666665,0.0012348237791880697,12.348237791880697,17.64033970268671,-5.2921019108060126,是,低仓少吃,是,否,低仓少吃,10.0,中性,0.0,利多,15.0,利多,0.0,中性,5.0,中性,5.0,中性,0.0,利空,2.5,中性,25.0,利多
2025-06-09,2025-06-16,0.7,中性,0.003296971521679737,0.004712446658018621,-0.001415475136338884,0.00025485,0.003038062280770595,30.38062280770595,43.40088972529422,-13.02026691758827,是,低仓少吃,是,否,低仓少吃,10.0,中性,0.0,利多,15.0,利多,0.0,中性,0.0,利空,5.0,中性,7.5,中性,5.0,利多,0.0,利空
2025-06-16,2025-06-23,0.7,中性,0.0013348833978248376,0.0019068399537318648,-0.0005719565559070272,0.0002491972222222219,0.0010859085102617203,10.859085102617202,15.512978718024575,-4.653893615407373,是,低仓少吃,是,否,低仓少吃,0.0,利空,0.0,中性,7.5,中性,0.0,中性,5.0,中性,5.0,中性,15.0,利多,2.5,中性,25.0,利多
2025-06-23,2025-06-30,0.7,中性,-6.980310375737098e-05,-9.998992418014385e-05,3.0186820422772875e-05,0.0002488888888888886,-0.0003182491049168368,-3.1824910491683682,-4.546415784526241,1.3639247353578727,否,有效防守,否,是,有效防守,0.0,利空,0.0,利空,0.0,利空,0.0,中性,10.0,利多,0.0,利空,15.0,利多,2.5,中性,25.0,利多
