指标,字段,策略,基准
起始日期,start_date,2025-01-13,2025-01-13
结束日期,end_date,2026-07-10,2026-07-10
交易日数,trading_days,360,360
期末净值,final_nav,1.0290079423118164,1.0238357263897153
累计收益率,total_return,0.02900794231181636,0.025401814030383996
年化收益率,annual_return,0.020275184176242744,0.017764032426341947
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.006275184176242744,0.0037640324263419466
年化波动率,annual_volatility,0.007673493198051985,0.020630516471570017
夏普比率,sharpe,0.8177741237635787,0.18244974291016852
最大回撤,max_drawdown,-0.002169738196863724,-0.027622020948697368
最大回撤起点,max_drawdown_start,2025-12-19,2025-02-13
最大回撤终点,max_drawdown_end,2026-05-06,2025-03-19
Calmar比率,calmar,9.344530232057384,0.6431112502352831
日胜率_参考,win_rate,0.11388888888888889,0.5777777777777777
调仓周期数,signal_period_count,76,76
盈利调仓周期数,winning_signal_periods,11,50
调仓周期胜率,signal_period_win_rate,0.14473684210526316,0.6578947368421053
单周期平均收益,avg_signal_period_return,0.00037725697381948975,0.00031472456765480343
累计资本利得_BP,capital_gain_total_bp,245.99385836515393,-37.149084245975814
资本利得交易笔数,capital_gain_trade_count,9,1
已平仓交易笔数,capital_gain_closed_trade_count,9,0
资本利得盈利笔数,capital_gain_winning_trades,9,0
资本利得亏损笔数,capital_gain_losing_trades,0,0
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,1.0,
平均单笔资本利得_BP,capital_gain_avg_trade_bp,27.332650929461543,
资本利得中位数_BP,capital_gain_median_trade_bp,19.474592258568315,
平均盈利交易_BP,capital_gain_avg_win_bp,27.332650929461543,
平均亏损交易_BP,capital_gain_avg_loss_bp,,
资本利得盈亏比,capital_gain_profit_loss_ratio,,
最佳交易_BP,capital_gain_best_trade_bp,99.29714811665147,
最差交易_BP,capital_gain_worst_trade_bp,5.377554508898281,
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-22.45960419085995,-300.23064528026254
最长连续亏损笔数,capital_gain_longest_losing_streak,0,0
当前未平仓交易数,capital_gain_open_trade_count,0,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,-37.149084245975686
