信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,供给_发行量_得分,供给_发行量_定性,供给_发行占比_得分,供给_发行占比_定性,供给_10Y以上发行_得分,供给_10Y以上发行_定性,供给_发飞惩罚_得分,供给_发飞惩罚_定性,银行需求_得分,银行需求_定性,利差_地方债国债_得分,利差_地方债国债_定性,利差_周度变化_得分,利差_周度变化_定性,利差_地方债NCD_得分,利差_地方债NCD_定性,非银情绪_得分,非银情绪_定性
2025-01-13,2025-01-20,0.0,中性,0.0,-0.0023446957530950385,0.0023446957530950385,0.0,0.0,0.0,-27.053069708250238,27.053069708250238,否,有效防守,否,否,有效防守,0.0,利空,0.0,利空,0.0,利空,0.0,中性,20.0,利多,25.0,利多,0.0,中性,0.0,利空,0.0,利空
2025-01-20,2025-01-27,0.0,看空,0.0,0.0002138388873320629,-0.0002138388873320629,0.0,0.0,0.0,-1.4600708112739833,1.4600708112739833,否,有效防守,是,否,低仓少吃,0.0,利空,0.0,利空,0.0,利空,0.0,中性,10.0,中性,0.0,利空,0.0,利多,0.0,利空,0.0,利空
2025-01-27,2025-02-03,0.0,看空,0.0,0.001967242875538844,-0.001967242875538844,0.0,0.0,0.0,18.949254152214007,-18.949254152214007,否,低仓少吃,是,否,低仓少吃,5.0,中性,0.0,利空,5.0,中性,0.0,中性,0.0,利空,12.5,中性,0.0,中性,0.0,利空,0.0,利空
2025-02-03,2025-02-10,0.0,中性,0.0,0.0014110137975251735,-0.0014110137975251735,0.0,0.0,0.0,11.978999657508657,-11.978999657508657,否,低仓少吃,是,否,低仓少吃,0.0,利空,5.0,中性,0.0,利空,0.0,中性,0.0,利空,12.5,中性,0.0,中性,0.0,利空,20.0,利多
2025-02-10,2025-02-17,0.0,中性,0.0,0.0007622894672023595,-0.0007622894672023595,0.0,0.0,0.0,4.085489050203396,-4.085489050203396,否,低仓少吃,是,否,低仓少吃,0.0,利空,5.0,中性,0.0,利空,0.0,中性,10.0,中性,25.0,利多,0.0,中性,0.0,利空,20.0,利多
2025-02-17,2025-02-24,0.0,中性,0.0,-0.006820603245627499,0.006820603245627499,0.0,0.0,0.0,-71.94923512064737,71.94923512064737,否,有效防守,否,否,有效防守,0.0,利空,0.0,利空,0.0,利空,0.0,中性,20.0,利多,0.0,利空,0.0,利多,0.0,利空,20.0,利多
2025-02-24,2025-03-03,0.0,中性,0.0,-0.004788158148714694,0.004788158148714694,0.0,0.0,0.0,-51.65920302448676,51.65920302448676,否,有效防守,否,否,有效防守,0.0,利空,5.0,中性,0.0,利空,0.0,中性,20.0,利多,12.5,中性,0.0,利空,0.0,利空,0.0,利空
2025-03-03,2025-03-10,0.0,中性,0.0,-0.006793486211084221,0.006793486211084221,0.0,0.0,0.0,-71.89605792377046,71.89605792377046,否,有效防守,否,否,有效防守,5.0,中性,5.0,中性,5.0,中性,0.0,中性,0.0,利空,25.0,利多,0.0,利空,0.0,利空,0.0,利空
2025-03-10,2025-03-17,0.0,中性,0.0,-0.006178956431075688,0.006178956431075688,0.0,0.0,0.0,-65.88526389638028,65.88526389638028,否,有效防守,否,否,有效防守,10.0,利多,10.0,利多,10.0,利多,0.0,中性,10.0,中性,25.0,利多,0.0,利多,0.0,利空,0.0,利空
2025-03-17,2025-03-24,0.0,中性,0.0,0.0006571243372401891,-0.0006571243372401891,0.0,0.0,0.0,2.470973650775595,-2.470973650775595,否,低仓少吃,是,否,低仓少吃,5.0,中性,5.0,中性,5.0,中性,0.0,中性,0.0,利空,25.0,利多,0.0,利空,2.5,中性,0.0,利空
