交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期满仓基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-02-14,2022-02-18,2022-02-18,多头,1.0,1.0,5,-2.2799999999999905,-0.8400000000000074,-1.439999999999983,否,是,已平仓
2,2022-02-28,2022-03-04,2022-03-04,空头,-1.0,1.0,5,1.500000000000043,-3.7500000000000036,5.250000000000046,是,是,已平仓
3,2022-03-14,2022-03-18,2022-03-18,空头,-1.0,1.0,5,-1.4600000000010438,-0.2500000000000069,-1.210000000001037,否,是,已平仓
4,2022-03-28,2022-04-01,2022-04-01,空头,-1.0,1.0,5,-1.9199999999999773,2.29,-4.209999999999978,否,是,已平仓
5,2022-04-11,2022-04-22,2022-04-22,多头,1.0,1.0,10,-3.4299999999999957,-8.800000000000994,5.3700000000009975,否,是,已平仓
6,2022-05-05,2022-05-06,2022-05-06,多头,1.0,1.0,2,5.58999999999997,1.1300000000000199,4.459999999999949,是,是,已平仓
7,2022-06-13,2022-06-17,2022-06-17,空头,-1.0,1.0,5,0.4299999999990074,-2.2600000000000047,2.689999999999012,是,是,已平仓
8,2022-07-11,2022-07-22,2022-07-22,多头,1.0,1.0,10,9.049999999999962,5.140000000000006,3.9099999999999557,是,是,已平仓
9,2022-08-01,2022-08-12,2022-08-12,多头,1.0,1.0,10,2.540000000000978,2.129999999999008,0.4100000000019701,是,是,已平仓
10,2022-08-29,2022-09-16,2022-09-16,多头,1.0,1.0,14,2.459999999998992,-3.000000000000016,5.459999999999008,是,是,已平仓
11,2022-09-26,2022-10-14,2022-10-14,多头,1.0,1.0,10,-2.899999999999986,-1.7500000000000147,-1.1499999999999715,否,是,已平仓
12,2022-10-24,2022-10-28,2022-10-28,多头,1.0,1.0,5,1.4600000000000029,6.250000000000005,-4.790000000000003,是,是,已平仓
13,2022-10-31,2022-11-04,2022-11-04,空头,-1.0,1.0,5,2.82000000000001,-3.7000000000009945,6.520000000001005,是,是,已平仓
14,2023-01-16,2023-02-10,2023-02-10,空头,-1.0,1.0,15,2.2799999999999905,0.06999999999899409,2.2100000000009965,是,是,已平仓
15,2023-02-20,2023-02-24,2023-02-24,空头,-1.0,1.0,5,1.5899999999999943,-2.0600000000009846,3.650000000000979,是,是,已平仓
16,2023-03-20,2023-04-07,2023-04-07,空头,-1.0,1.0,14,-4.520000000000009,1.3799999999999926,-5.900000000000002,否,是,已平仓
17,2023-04-24,2023-04-28,2023-04-28,空头,-1.0,1.0,5,0.7800000000000169,4.699999999999982,-3.9199999999999653,是,是,已平仓
18,2023-06-19,2023-06-21,2023-06-21,空头,-1.0,1.0,3,-0.13999999999899515,-0.7500000000009931,0.6100000000019979,否,是,已平仓
19,2023-07-03,2023-07-07,2023-07-07,空头,-1.0,1.0,5,5.519999999998998,-0.5199999999999996,6.039999999998997,是,是,已平仓
20,2023-07-10,2023-07-14,2023-07-14,多头,1.0,1.0,5,4.409999999998998,-0.4099999999999937,4.819999999998992,是,是,已平仓
21,2023-12-04,2023-12-08,2023-12-08,空头,-1.0,1.0,5,-1.3699999999999823,-0.11000000000000593,-1.2599999999999765,否,是,已平仓
22,2024-01-22,2024-02-02,2024-02-02,空头,-1.0,1.0,10,-7.889999999999009,7.830000000000996,-15.720000000000006,否,是,已平仓
23,2024-03-25,2024-03-29,2024-03-29,空头,-1.0,1.0,5,-0.0999999999989899,1.5000000000009797,-1.5999999999999694,否,是,已平仓
24,2024-05-13,2024-05-17,2024-05-17,多头,1.0,1.0,5,3.1500000000009996,0.44999999999899276,2.7000000000020066,是,是,已平仓
25,2024-06-11,2024-06-14,2024-06-14,多头,1.0,1.0,4,2.8300000000000196,2.7500000000009805,0.07999999999903906,是,是,已平仓
26,2024-08-26,2024-08-30,2024-08-30,空头,-1.0,1.0,5,-0.3999999999999834,-1.569999999999003,1.1699999999990196,否,是,已平仓
27,2024-09-09,2024-09-27,2024-09-27,空头,-1.0,1.0,13,1.3600000000000074,-3.260000000001005,4.620000000001013,是,是,已平仓
28,2024-10-08,2024-10-18,2024-10-18,多头,1.0,1.0,9,-2.3099999999999854,3.0900000000000025,-5.399999999999988,否,是,已平仓
29,2024-11-11,2024-11-22,2024-11-22,多头,1.0,1.0,10,-0.8500000000000174,2.349999999999991,-3.2000000000000086,否,是,已平仓
30,2025-01-27,2025-01-27,2025-01-27,空头,-1.0,1.0,1,-2.0900000000000087,2.660000000000995,-4.750000000001004,否,是,已平仓
31,2025-02-24,2025-03-07,2025-03-07,空头,-1.0,1.0,10,13.690000000000996,-8.020000000000007,21.710000000001003,是,是,已平仓
32,2025-03-17,2025-03-21,2025-03-21,空头,-1.0,1.0,5,-0.28000000000000225,-1.409999999999988,1.1299999999999857,否,是,已平仓
33,2025-05-12,2025-05-16,2025-05-16,多头,1.0,1.0,5,-2.5000000000000027,-4.4199999999999795,1.9199999999999768,否,是,已平仓
34,2025-06-30,2025-07-04,2025-07-04,多头,1.0,1.0,5,2.7500000000000098,0.29000000000001247,2.4599999999999973,是,是,已平仓
35,2025-09-01,2025-09-12,2025-09-12,多头,1.0,1.0,10,-1.630000000001006,-2.9099999999999966,1.2799999999989906,否,是,已平仓
36,2025-09-22,2025-09-26,2025-09-26,多头,1.0,1.0,5,-1.770000000000001,0.2100000000000024,-1.9800000000000033,否,是,已平仓
37,2025-10-09,2025-10-10,2025-10-10,多头,1.0,1.0,2,-0.9200000000009895,1.449999999999993,-2.3700000000009824,否,是,已平仓
38,2025-11-03,2025-11-14,2025-11-14,多头,1.0,1.0,10,3.6399999999999975,-1.8599999999999868,5.499999999999984,是,是,已平仓
39,2026-01-05,2026-01-16,2026-01-16,多头,1.0,1.0,10,0.5600000000000052,0.49000000000000454,0.07000000000000062,是,是,已平仓
40,2026-03-09,2026-03-20,2026-03-20,多头,1.0,1.0,10,-1.6653345369377348e-16,-4.889999999999999,4.889999999999999,否,是,已平仓
41,2026-03-30,2026-04-17,2026-04-17,多头,1.0,1.0,14,8.82999999999901,5.490000000000009,3.3399999999990015,是,是,已平仓
42,2026-05-06,2026-05-15,2026-05-15,多头,1.0,1.0,8,3.0200000000000022,-1.8500000000000116,4.870000000000013,是,是,已平仓
43,2026-06-22,2026-07-03,2026-07-03,空头,-1.0,1.0,10,-0.6500000000009971,-1.6400000000000092,0.9899999999990121,否,是,已平仓
