指标,字段,策略,基准
起始日期,start_date,2026-01-05,2026-01-05
结束日期,end_date,2026-07-14,2026-07-14
交易日数,trading_days,126,126
期末净值,final_nav,1.0017899817876488,1.0196860856122612
累计收益率,total_return,0.0017899817876487756,0.01968608561226115
年化收益率,annual_return,0.0036118846569634933,0.04008408264411112
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,-0.010388115343036507,0.02608408264411112
年化波动率,annual_volatility,0.006221370304171901,0.01427411008076245
夏普比率,sharpe,-1.6697471513744309,1.827370147527813
最大回撤,max_drawdown,-0.003086213830921891,-0.004363171688793854
最大回撤起点,max_drawdown_start,2026-01-05,2026-03-04
最大回撤终点,max_drawdown_end,2026-05-06,2026-03-16
Calmar比率,calmar,1.1703287117615495,9.18691390188954
日胜率_参考,win_rate,0.07936507936507936,0.5634920634920635
调仓周期数,signal_period_count,26,26
盈利调仓周期数,winning_signal_periods,3,19
调仓周期胜率,signal_period_win_rate,0.11538461538461539,0.7307692307692307
单周期平均收益,avg_signal_period_return,6.889830970498487e-05,0.0007516882140252274
累计资本利得_BP（收益率变动）,capital_gain_total_bp,1.320000000001008,11.819999999999993
资本利得交易笔数,capital_gain_trade_count,4,1
已平仓交易笔数,capital_gain_closed_trade_count,4,0
资本利得盈利笔数,capital_gain_winning_trades,2,0
资本利得亏损笔数,capital_gain_losing_trades,2,0
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.5,
平均单笔资本利得_BP,capital_gain_avg_trade_bp,0.3300000000002519,
资本利得中位数_BP,capital_gain_median_trade_bp,0.2500000000000071,
平均盈利交易_BP,capital_gain_avg_win_bp,1.170000000000008,
平均亏损交易_BP,capital_gain_avg_loss_bp,-0.509999999999504,
资本利得盈亏比,capital_gain_profit_loss_ratio,2.2941176470610705,
最佳交易_BP,capital_gain_best_trade_bp,1.7400000000000053,
最差交易_BP,capital_gain_worst_trade_bp,-0.9199999999990118,
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-3.509999999999,-5.550000000000001
最长连续亏损笔数,capital_gain_longest_losing_streak,2,0
当前未平仓交易数,capital_gain_open_trade_count,0,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,11.819999999999993
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
