交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期满仓基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-02-14,2022-02-18,2022-02-18,多头,1.0,1.0,5,-2.2799999999999905,-0.8400000000000074,-1.439999999999983,否,是,已平仓
2,2022-02-28,2022-03-04,2022-03-04,空头,-1.0,1.0,5,1.500000000000043,-3.7500000000000036,5.250000000000046,是,是,已平仓
3,2022-03-14,2022-03-25,2022-03-25,空头,-1.0,1.0,10,-3.3800000000000496,-0.7000000000000064,-2.6800000000000432,否,是,已平仓
4,2022-04-11,2022-04-15,2022-04-15,多头,1.0,1.0,5,0.7700000000000071,-0.49000000000097554,1.2600000000009826,是,是,已平仓
5,2022-05-05,2022-05-06,2022-05-06,多头,1.0,1.0,2,5.58999999999997,1.1300000000000199,4.459999999999949,是,是,已平仓
6,2022-05-09,2022-05-13,2022-05-13,空头,-1.0,1.0,5,1.4199999999999968,1.3300000000000116,0.0899999999999852,是,是,已平仓
7,2022-05-23,2022-05-27,2022-05-27,空头,-1.0,1.0,5,-1.4599999999989972,9.259999999999998,-10.719999999998995,否,是,已平仓
8,2022-06-13,2022-07-01,2022-07-01,空头,-1.0,1.0,15,4.089999999999995,-7.2900000000000045,11.379999999999999,是,是,已平仓
9,2022-07-11,2022-07-22,2022-07-22,多头,1.0,1.0,10,9.049999999999962,5.140000000000006,3.9099999999999557,是,是,已平仓
10,2022-08-01,2022-08-12,2022-08-12,多头,1.0,1.0,10,2.540000000000978,2.129999999999008,0.4100000000019701,是,是,已平仓
11,2022-08-29,2022-09-09,2022-09-09,多头,1.0,1.0,10,2.9500000000000015,0.8000000000000025,2.149999999999999,是,是,已平仓
12,2022-10-31,2022-11-04,2022-11-04,空头,-1.0,1.0,5,2.82000000000001,-3.7000000000009945,6.520000000001005,是,是,已平仓
13,2022-11-21,2022-11-25,2022-11-25,多头,1.0,1.0,5,2.360000000001007,-0.49999999999997957,2.8600000000009866,是,是,已平仓
14,2023-01-16,2023-02-10,2023-02-10,空头,-1.0,1.0,15,2.2799999999999905,0.06999999999899409,2.2100000000009965,是,是,已平仓
15,2023-02-20,2023-02-24,2023-02-24,空头,-1.0,1.0,5,1.5899999999999943,-2.0600000000009846,3.650000000000979,是,是,已平仓
16,2023-03-20,2023-04-07,2023-04-07,空头,-1.0,1.0,14,-4.520000000000009,1.3799999999999926,-5.900000000000002,否,是,已平仓
17,2023-04-24,2023-04-28,2023-04-28,空头,-1.0,1.0,5,0.7800000000000169,4.699999999999982,-3.9199999999999653,是,是,已平仓
18,2023-05-04,2023-05-05,2023-05-05,多头,1.0,1.0,2,2.8500000000010117,4.49999999999999,-1.6499999999989785,是,是,已平仓
19,2023-06-19,2023-07-07,2023-07-07,空头,-1.0,1.0,13,2.650000000000013,2.229999999999004,0.4200000000010089,是,是,已平仓
20,2023-07-10,2023-07-14,2023-07-14,多头,1.0,1.0,5,4.409999999998998,-0.4099999999999937,4.819999999998992,是,是,已平仓
21,2023-10-16,2023-10-27,2023-10-27,空头,-1.0,1.0,10,8.680000000000009,-4.309999999999001,12.98999999999901,是,是,已平仓
22,2023-11-13,2023-12-01,2023-12-01,多头,1.0,1.0,15,3.300000000000004,-1.8100000000000058,5.11000000000001,是,是,已平仓
23,2023-12-11,2024-01-05,2024-01-05,多头,1.0,1.0,19,15.800000000000015,14.610000000000005,1.1900000000000102,是,是,已平仓
24,2024-03-04,2024-03-08,2024-03-08,多头,1.0,1.0,5,7.9299999999999855,8.500000000000002,-0.5700000000000163,是,是,已平仓
25,2024-04-08,2024-04-12,2024-04-12,多头,1.0,1.0,5,3.019999999998996,1.1102230246251565e-16,3.019999999998996,是,是,已平仓
26,2024-04-22,2024-04-30,2024-04-30,多头,1.0,1.0,7,0.9200000000009894,-4.8799999999999875,5.800000000000977,是,是,已平仓
27,2024-05-13,2024-05-17,2024-05-17,多头,1.0,1.0,5,3.1500000000009996,0.44999999999899276,2.7000000000020066,是,是,已平仓
28,2024-06-11,2024-06-14,2024-06-14,多头,1.0,1.0,4,2.8300000000000196,2.7500000000009805,0.07999999999903906,是,是,已平仓
29,2024-06-17,2024-06-21,2024-06-21,空头,-1.0,1.0,5,-1.229999999999981,-0.12999999999999123,-1.0999999999999899,否,是,已平仓
30,2024-07-22,2024-07-26,2024-07-26,多头,1.0,1.0,5,3.9800000000009965,6.700000000000976,-2.7199999999999798,是,是,已平仓
31,2024-08-26,2024-08-30,2024-08-30,空头,-1.0,1.0,5,-0.3999999999999834,-1.569999999999003,1.1699999999990196,否,是,已平仓
32,2024-09-18,2024-09-20,2024-09-20,空头,-1.0,1.0,3,-0.9699999999999986,2.9300000000009874,-3.9000000000009862,否,是,已平仓
33,2024-10-14,2024-10-18,2024-10-18,多头,1.0,1.0,5,4.270000000000003,1.830000000000026,2.4399999999999773,是,是,已平仓
34,2024-10-28,2024-11-01,2024-11-01,空头,-1.0,1.0,5,0.13999999999899493,1.329999999999977,-1.190000000000982,是,是,已平仓
35,2024-11-11,2024-11-15,2024-11-15,多头,1.0,1.0,5,1.299999999999982,1.189999999999976,0.11000000000000609,是,是,已平仓
36,2025-02-24,2025-03-07,2025-03-07,空头,-1.0,1.0,10,13.690000000000996,-8.020000000000007,21.710000000001003,是,是,已平仓
37,2025-03-17,2025-03-21,2025-03-21,空头,-1.0,1.0,5,-0.28000000000000225,-1.409999999999988,1.1299999999999857,否,是,已平仓
38,2025-04-28,2025-05-16,2025-05-16,多头,1.0,1.0,12,3.540000000000001,-1.869999999999997,5.409999999999998,是,是,已平仓
39,2025-06-16,2025-06-20,2025-06-20,多头,1.0,1.0,5,1.7100000000000102,0.439999999999989,1.2700000000000211,是,是,已平仓
40,2025-06-30,2025-07-04,2025-07-04,多头,1.0,1.0,5,2.7500000000000098,0.29000000000001247,2.4599999999999973,是,是,已平仓
41,2025-07-21,2025-07-25,2025-07-25,空头,-1.0,1.0,5,6.11999999999998,-6.71999999999999,12.83999999999997,是,是,已平仓
42,2025-08-18,2025-08-29,2025-08-29,空头,-1.0,1.0,10,16.829999999999,-9.140000000000988,25.969999999999988,是,是,已平仓
43,2025-10-09,2025-10-10,2025-10-10,多头,1.0,1.0,2,-0.9200000000009895,1.449999999999993,-2.3700000000009824,否,是,已平仓
44,2025-11-10,2025-11-14,2025-11-14,多头,1.0,1.0,5,-0.11000000000000593,0.019999999999985363,-0.1299999999999913,否,是,已平仓
45,2025-11-24,2025-11-28,2025-11-28,空头,-1.0,1.0,5,4.930000000000004,-2.459999999998991,7.389999999998995,是,是,已平仓
46,2025-12-29,2025-12-31,2025-12-31,多头,1.0,1.0,3,-2.109999999999994,-0.9699999999999984,-1.1399999999999957,否,是,已平仓
47,2026-03-02,2026-03-06,2026-03-06,空头,-1.0,1.0,5,-0.9199999999990118,0.6700000000000108,-1.5899999999990226,否,是,已平仓
48,2026-03-09,2026-03-13,2026-03-13,多头,1.0,1.0,5,-0.09999999999999609,-3.3299999999999996,3.2300000000000035,否,是,已平仓
49,2026-05-06,2026-05-08,2026-05-08,多头,1.0,1.0,3,0.6000000000000103,-1.7500000000000155,2.350000000000026,是,是,已平仓
50,2026-05-18,2026-05-22,2026-05-22,多头,1.0,1.0,5,1.7400000000000053,1.3900000000000023,0.350000000000003,是,是,已平仓
