指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-07-14,2026-07-14
交易日数,trading_days,1086,1086
期末净值,final_nav,1.1307055403863484,1.2082842123710111
累计收益率,total_return,0.1307055403863484,0.20828421237101113
年化收益率,annual_return,0.02894190857951151,0.04492335544346693
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.01494190857951151,0.03092335544346693
年化波动率,annual_volatility,0.01244012398225916,0.02475797580828406
夏普比率,sharpe,1.2011060822882587,1.2490259980430194
最大回撤,max_drawdown,-0.008466699668294053,-0.02532986739859333
最大回撤起点,max_drawdown_start,2023-01-20,2025-02-06
最大回撤终点,max_drawdown_end,2023-04-24,2025-03-17
Calmar比率,calmar,3.418322334958054,1.7735329892000027
日胜率_参考,win_rate,0.20165745856353592,0.570902394106814
调仓周期数,signal_period_count,220,220
盈利调仓周期数,winning_signal_periods,50,144
调仓周期胜率,signal_period_win_rate,0.22727272727272727,0.6545454545454545
单周期平均收益,avg_signal_period_return,0.0005602298592170217,0.0008664006069252762
累计资本利得_BP（收益率变动）,capital_gain_total_bp,139.070000000003,104.57999999999998
资本利得交易笔数,capital_gain_trade_count,51,1
已平仓交易笔数,capital_gain_closed_trade_count,51,0
资本利得盈利笔数,capital_gain_winning_trades,39,0
资本利得亏损笔数,capital_gain_losing_trades,12,0
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.7647058823529411,
平均单笔资本利得_BP,capital_gain_avg_trade_bp,2.726862745098099,
资本利得中位数_BP,capital_gain_median_trade_bp,2.360000000001007,
平均盈利交易_BP,capital_gain_avg_win_bp,4.076923076923129,
平均亏损交易_BP,capital_gain_avg_loss_bp,-1.660833333333251,
资本利得盈亏比,capital_gain_profit_loss_ratio,2.4547454552473646,
最佳交易_BP,capital_gain_best_trade_bp,16.829999999999,
最差交易_BP,capital_gain_worst_trade_bp,-4.520000000000009,
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-8.82999999999997,-35.309999999999995
最长连续亏损笔数,capital_gain_longest_losing_streak,3,0
当前未平仓交易数,capital_gain_open_trade_count,0,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,104.57999999999998
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
