signal_date,周期起始,周期结束,总分_raw,总分,供给模块_利空,需求模块_利空,估值模块_利空,情绪模块_利空,利空模块数,供给或需求利空,供给_发行量_得分,供给_发行量_定性,供给_发行占比_得分,供给_发行占比_定性,供给_10Y以上发行_得分,供给_10Y以上发行_定性,供给_发飞惩罚_得分,供给_发飞惩罚_定性,银行需求_得分,银行需求_定性,利差_地方债国债_得分,利差_地方债国债_定性,利差_周度变化_得分,利差_周度变化_定性,利差_地方债NCD_得分,利差_地方债NCD_定性,非银情绪_得分,非银情绪_定性,结论,仓位
2022-01-17,2022-01-17,2022-01-23,55.0,55.0,0,1,1,0,2,1,5.0,中性,5.0,中性,10.0,中性,0.0,中性,0.0,利空,0.0,利空,10.0,中性,0.0,利空,25.0,利多,中性,0.0
2022-01-24,2022-01-24,2022-01-30,50.0,50.0,1,0,0,0,1,1,0.0,利空,0.0,利空,0.0,利空,0.0,中性,5.0,中性,0.0,利空,20.0,利多,0.0,中性,25.0,利多,中性,0.0
2022-02-14,2022-02-14,2022-02-20,77.5,77.5,0,0,0,0,0,0,10.0,利多,10.0,利多,10.0,中性,0.0,中性,10.0,利多,2.5,中性,10.0,中性,0.0,利多,25.0,利多,看多,1.0
2022-02-21,2022-02-21,2022-02-27,50.0,50.0,1,0,0,0,1,1,0.0,利空,0.0,利空,0.0,利空,0.0,中性,5.0,中性,0.0,利空,20.0,利多,0.0,中性,25.0,利多,中性,0.0
2022-02-28,2022-02-28,2022-03-06,25.0,25.0,0,1,0,1,2,1,5.0,中性,5.0,中性,10.0,中性,0.0,中性,0.0,利空,5.0,利多,0.0,利空,0.0,中性,0.0,利空,看空,0.0
2022-03-07,2022-03-07,2022-03-13,52.5,52.5,0,0,0,1,1,0,5.0,中性,5.0,中性,10.0,中性,0.0,中性,10.0,利多,2.5,中性,20.0,利多,0.0,中性,0.0,利空,中性,0.0
2022-03-14,2022-03-14,2022-03-20,25.0,25.0,0,1,1,1,3,1,5.0,中性,5.0,中性,10.0,中性,0.0,中性,0.0,利空,5.0,利多,0.0,利空,0.0,利空,0.0,利空,看空,0.0
2022-03-21,2022-03-21,2022-03-27,25.0,25.0,0,1,0,1,2,1,5.0,中性,5.0,中性,0.0,利空,0.0,中性,0.0,利空,5.0,利多,10.0,中性,0.0,中性,0.0,利空,看空,0.0
2022-03-28,2022-03-28,2022-04-03,32.5,32.5,0,0,0,1,1,0,5.0,中性,0.0,利空,10.0,中性,0.0,中性,5.0,中性,2.5,中性,10.0,中性,0.0,利空,0.0,利空,中性,0.0
2022-04-04,2022-04-04,2022-04-10,62.5,62.5,0,0,0,1,1,0,10.0,利多,10.0,利多,20.0,利多,0.0,中性,10.0,利多,2.5,中性,10.0,中性,0.0,中性,0.0,利空,中性,0.0
2022-04-11,2022-04-11,2022-04-17,82.5,82.5,0,0,0,0,0,0,10.0,利多,10.0,利多,20.0,利多,0.0,中性,5.0,中性,2.5,中性,10.0,中性,0.0,利多,25.0,利多,看多,1.0
2022-04-18,2022-04-18,2022-04-24,65.0,65.0,0,0,0,1,1,0,5.0,中性,10.0,利多,20.0,利多,0.0,中性,10.0,利多,0.0,利空,20.0,利多,0.0,利多,0.0,利空,中性,0.0
2022-04-25,2022-04-25,2022-05-01,45.0,45.0,0,0,0,1,1,0,5.0,中性,5.0,中性,10.0,中性,0.0,中性,5.0,中性,0.0,利空,20.0,利多,0.0,利多,0.0,利空,中性,0.0
2022-05-02,2022-05-02,2022-05-08,75.0,75.0,0,1,0,0,1,1,10.0,利多,10.0,利多,20.0,利多,0.0,中性,0.0,利空,0.0,利空,10.0,中性,0.0,利多,25.0,利多,看多,1.0
2022-05-09,2022-05-09,2022-05-15,20.0,20.0,1,0,0,1,2,1,0.0,利空,5.0,中性,0.0,利空,0.0,中性,5.0,中性,0.0,利空,10.0,中性,0.0,利多,0.0,利空,看空,0.0
2022-05-16,2022-05-16,2022-05-22,60.0,60.0,0,1,0,0,1,1,0.0,利空,5.0,中性,10.0,中性,0.0,中性,0.0,利空,0.0,利空,20.0,利多,0.0,利多,25.0,利多,中性,0.0
2022-05-23,2022-05-23,2022-05-29,25.0,25.0,1,1,1,0,3,1,0.0,利空,0.0,利空,0.0,利空,0.0,中性,0.0,利空,0.0,利空,0.0,利空,0.0,利多,25.0,利多,看空,0.0
2022-05-30,2022-05-30,2022-06-05,42.5,42.5,0,1,0,0,1,1,5.0,中性,0.0,利空,10.0,中性,0.0,中性,0.0,利空,2.5,中性,0.0,利空,0.0,利多,25.0,利多,中性,0.0
2022-06-06,2022-06-06,2022-06-12,37.5,37.5,0,0,0,1,1,0,0.0,利空,5.0,中性,10.0,中性,0.0,中性,10.0,利多,2.5,中性,10.0,中性,0.0,利多,0.0,利空,中性,0.0
2022-06-13,2022-06-13,2022-06-19,2.5,2.5,1,1,0,1,3,1,0.0,利空,0.0,利空,0.0,利空,0.0,中性,0.0,利空,2.5,中性,0.0,利空,0.0,中性,0.0,利空,看空,0.0
2022-06-20,2022-06-20,2022-06-26,22.5,22.5,1,0,0,1,2,1,0.0,利空,5.0,中性,0.0,利空,0.0,中性,5.0,中性,2.5,中性,10.0,中性,0.0,利多,0.0,利空,看空,0.0
2022-06-27,2022-06-27,2022-07-03,17.5,17.5,1,0,0,1,2,1,0.0,利空,0.0,利空,0.0,利空,0.0,中性,5.0,中性,2.5,中性,10.0,中性,0.0,利多,0.0,利空,看空,0.0
2022-07-04,2022-07-04,2022-07-10,65.0,65.0,0,1,0,0,1,1,5.0,中性,5.0,中性,10.0,中性,0.0,中性,0.0,利空,0.0,利空,20.0,利多,0.0,利多,25.0,利多,中性,0.0
2022-07-11,2022-07-11,2022-07-17,90.0,90.0,0,0,0,0,0,0,5.0,中性,10.0,利多,20.0,利多,0.0,中性,10.0,利多,0.0,利空,20.0,利多,0.0,利多,25.0,利多,看多,1.0
2022-07-18,2022-07-18,2022-07-24,75.0,75.0,0,0,0,0,0,0,5.0,中性,10.0,利多,20.0,利多,0.0,中性,5.0,中性,0.0,利空,10.0,中性,0.0,利多,25.0,利多,看多,1.0
2022-07-25,2022-07-25,2022-07-31,55.0,55.0,0,1,0,0,1,1,5.0,中性,5.0,中性,10.0,中性,0.0,中性,0.0,利空,0.0,利空,10.0,中性,0.0,利多,25.0,利多,中性,0.0
2022-08-01,2022-08-01,2022-08-07,70.0,70.0,0,0,0,0,0,0,5.0,中性,5.0,中性,20.0,利多,0.0,中性,5.0,中性,0.0,利空,10.0,中性,0.0,利多,25.0,利多,看多,1.0
2022-08-08,2022-08-08,2022-08-14,80.0,80.0,0,0,0,0,0,0,10.0,利多,10.0,利多,20.0,利多,0.0,中性,5.0,中性,0.0,利空,10.0,中性,0.0,利多,25.0,利多,看多,1.0
2022-08-15,2022-08-15,2022-08-21,40.0,40.0,0,0,0,1,1,0,5.0,中性,5.0,中性,10.0,中性,0.0,中性,10.0,利多,0.0,利空,10.0,中性,0.0,利多,0.0,利空,中性,0.0
2022-08-22,2022-08-22,2022-08-28,57.5,57.5,0,1,0,0,1,1,5.0,中性,5.0,中性,20.0,利多,0.0,中性,0.0,利空,2.5,中性,0.0,利空,0.0,利多,25.0,利多,中性,0.0
2022-08-29,2022-08-29,2022-09-04,77.5,77.5,0,0,0,0,0,0,10.0,利多,5.0,中性,10.0,中性,0.0,中性,5.0,中性,2.5,中性,20.0,利多,0.0,利多,25.0,利多,看多,1.0
2022-09-05,2022-09-05,2022-09-11,82.5,82.5,0,0,0,0,0,0,10.0,利多,10.0,利多,20.0,利多,0.0,中性,5.0,中性,2.5,中性,10.0,中性,0.0,利多,25.0,利多,看多,1.0
2022-09-12,2022-09-12,2022-09-18,62.5,62.5,0,0,0,0,0,0,5.0,中性,5.0,中性,10.0,中性,0.0,中性,5.0,中性,2.5,中性,10.0,中性,0.0,利多,25.0,利多,中性,0.0
2022-09-19,2022-09-19,2022-09-25,52.5,52.5,0,0,0,1,1,0,5.0,中性,5.0,中性,20.0,利多,0.0,中性,10.0,利多,2.5,中性,10.0,中性,0.0,利多,0.0,利空,中性,0.0
2022-09-26,2022-09-26,2022-10-02,65.0,65.0,0,0,0,0,0,0,10.0,利多,5.0,中性,10.0,中性,0.0,中性,5.0,中性,0.0,利空,10.0,中性,0.0,利多,25.0,利多,中性,0.0
2022-10-17,2022-10-17,2022-10-23,55.0,55.0,0,1,0,0,1,1,5.0,中性,5.0,中性,10.0,中性,0.0,中性,0.0,利空,0.0,利空,10.0,中性,0.0,中性,25.0,利多,中性,0.0
2022-10-24,2022-10-24,2022-10-30,60.0,60.0,1,0,0,0,1,1,0.0,利空,5.0,中性,0.0,利空,0.0,中性,10.0,利多,0.0,利空,20.0,利多,0.0,中性,25.0,利多,中性,0.0
2022-10-31,2022-10-31,2022-11-06,22.5,22.5,0,1,0,1,2,1,5.0,中性,5.0,中性,10.0,中性,0.0,中性,0.0,利空,2.5,中性,0.0,利空,0.0,中性,0.0,利空,看空,0.0
2022-11-07,2022-11-07,2022-11-13,65.0,65.0,0,0,0,0,0,0,5.0,中性,10.0,利多,10.0,中性,0.0,中性,5.0,中性,0.0,利空,10.0,中性,0.0,中性,25.0,利多,中性,0.0
2022-11-14,2022-11-14,2022-11-20,50.0,50.0,0,0,0,1,1,0,10.0,利多,5.0,中性,10.0,中性,0.0,中性,5.0,中性,0.0,利空,20.0,利多,0.0,中性,0.0,利空,中性,0.0
2022-11-21,2022-11-21,2022-11-27,70.0,70.0,0,0,1,1,2,0,10.0,利多,10.0,利多,20.0,利多,0.0,中性,10.0,利多,0.0,利空,20.0,利多,0.0,利空,0.0,利空,看多,1.0
2022-11-28,2022-11-28,2022-12-04,60.0,60.0,0,0,1,1,2,0,10.0,利多,5.0,中性,20.0,利多,0.0,中性,5.0,中性,0.0,利空,20.0,利多,0.0,利空,0.0,利空,中性,0.0
2022-12-05,2022-12-05,2022-12-11,55.0,55.0,0,0,1,1,2,0,10.0,利多,10.0,利多,20.0,利多,0.0,中性,5.0,中性,0.0,利空,10.0,中性,0.0,利空,0.0,利空,中性,0.0
2022-12-12,2022-12-12,2022-12-18,50.0,50.0,0,1,1,1,3,1,10.0,利多,10.0,利多,20.0,利多,0.0,中性,0.0,利空,0.0,利空,10.0,中性,0.0,利空,0.0,利空,中性,0.0
2022-12-19,2022-12-19,2022-12-25,50.0,50.0,0,0,1,1,2,0,10.0,利多,10.0,利多,20.0,利多,0.0,中性,10.0,利多,0.0,利空,0.0,利空,0.0,利空,0.0,利空,中性,0.0
2022-12-26,2022-12-26,2023-01-01,67.5,67.5,0,0,1,0,1,0,10.0,利多,0.0,利空,20.0,利多,0.0,中性,10.0,利多,2.5,中性,0.0,利空,0.0,利空,25.0,利多,中性,0.0
2023-01-02,2023-01-02,2023-01-08,60.0,60.0,0,0,0,0,0,0,10.0,利多,0.0,利空,10.0,中性,0.0,中性,5.0,中性,0.0,利空,10.0,中性,0.0,中性,25.0,利多,中性,0.0
2023-01-09,2023-01-09,2023-01-15,50.0,50.0,0,0,1,1,2,0,5.0,中性,10.0,利多,10.0,中性,0.0,中性,5.0,中性,0.0,利空,20.0,利多,0.0,利空,0.0,利空,中性,0.0
2023-01-16,2023-01-16,2023-01-22,25.0,25.0,1,1,1,1,4,1,0.0,利空,5.0,中性,0.0,利空,0.0,中性,0.0,利空,0.0,利空,20.0,利多,0.0,利空,0.0,利空,看空,0.0
2023-02-06,2023-02-06,2023-02-12,20.0,20.0,0,1,1,1,3,1,5.0,中性,5.0,中性,10.0,中性,0.0,中性,0.0,利空,0.0,利空,0.0,利空,0.0,利空,0.0,利空,看空,0.0
2023-02-13,2023-02-13,2023-02-19,35.0,35.0,0,0,1,1,2,0,5.0,中性,5.0,中性,10.0,中性,0.0,中性,5.0,中性,0.0,利空,10.0,中性,0.0,利空,0.0,利空,中性,0.0
2023-02-20,2023-02-20,2023-02-26,15.0,15.0,1,1,1,1,4,1,0.0,利空,5.0,中性,0.0,利空,0.0,中性,0.0,利空,0.0,利空,10.0,中性,0.0,利空,0.0,利空,看空,0.0
