指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-07-14,2026-07-14
交易日数,trading_days,1086,1086
期末净值,final_nav,1.1149484970671997,1.2082842123710111
累计收益率,total_return,0.11494849706719967,0.20828421237101113
年化收益率,annual_return,0.02559361847136654,0.04492335544346693
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.011593618471366541,0.03092335544346693
年化波动率,annual_volatility,0.00969116765621376,0.02475797580828406
夏普比率,sharpe,1.1963076981681329,1.2490259980430194
最大回撤,max_drawdown,-0.007413030758259054,-0.02532986739859333
最大回撤起点,max_drawdown_start,2024-04-25,2025-02-06
最大回撤终点,max_drawdown_end,2024-04-29,2025-03-17
Calmar比率,calmar,3.4525175068040848,1.7735329892000027
日胜率_参考,win_rate,0.14548802946593,0.570902394106814
调仓周期数,signal_period_count,220,220
盈利调仓周期数,winning_signal_periods,41,144
调仓周期胜率,signal_period_win_rate,0.18636363636363637,0.6545454545454545
单周期平均收益,avg_signal_period_return,0.0004958252321953056,0.0008664006069252762
累计资本利得_BP（收益率变动）,capital_gain_total_bp,98.2799999999981,104.57999999999998
年化资本利得_BP,capital_gain_annualized_bp,22.82632258064472,24.289548387096772
资本利得交易笔数,capital_gain_trade_count,30,1
已平仓交易笔数,capital_gain_closed_trade_count,30,0
资本利得盈利笔数,capital_gain_winning_trades,24,0
资本利得亏损笔数,capital_gain_losing_trades,6,0
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.8,
平均单笔资本利得_BP,capital_gain_avg_trade_bp,3.2759999999999363,
资本利得中位数_BP,capital_gain_median_trade_bp,2.604999999999501,
平均盈利交易_BP,capital_gain_avg_win_bp,4.514166666666626,
平均亏损交易_BP,capital_gain_avg_loss_bp,-1.6766666666668228,
资本利得盈亏比,capital_gain_profit_loss_ratio,2.6923459244530052,
最佳交易_BP,capital_gain_best_trade_bp,15.800000000000015,
最差交易_BP,capital_gain_worst_trade_bp,-2.899999999999986,
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-8.829999999999977,-35.309999999999995
资本利得最大回撤起点,capital_gain_max_drawdown_start,2024-04-23,2022-08-18
资本利得最大回撤终点,capital_gain_max_drawdown_end,2024-04-29,2023-01-20
最长连续亏损笔数,capital_gain_longest_losing_streak,2,0
当前未平仓交易数,capital_gain_open_trade_count,0,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,104.57999999999998
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
