信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,供给_发行量_得分,供给_发行量_定性,供给_发行占比_得分,供给_发行占比_定性,供给_10Y以上发行_得分,供给_10Y以上发行_定性,供给_发飞惩罚_得分,供给_发飞惩罚_定性,银行需求_得分,银行需求_定性,利差_地方债国债_得分,利差_地方债国债_定性,利差_周度变化_得分,利差_周度变化_定性,利差_地方债NCD_得分,利差_地方债NCD_定性,非银情绪_得分,非银情绪_定性
2022-01-17,2022-01-24,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,5.0,中性,2.5,中性,10.0,中性,0.0,中性,0.0,利空,0.0,利空,25.0,利多,0.0,利空,25.0,利多
2022-01-24,2022-02-14,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,0.0,利空,0.0,利空,0.0,中性,5.0,中性,0.0,利空,25.0,利多,0.0,中性,25.0,利多
2022-02-14,2022-02-21,1.0,看多,-0.0013263015373861098,-0.00017404841880164224,-0.0011522531185844676,0.0006120436507936504,-0.0019379203525157814,-2.2799999999999905,-0.8400000000000074,-1.439999999999983,否,该空没空,否,是,该空没空,10.0,利多,5.0,利多,10.0,中性,0.0,中性,10.0,利多,0.0,利空,12.5,中性,0.0,利多,25.0,利多
2022-02-21,2022-02-28,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,0.0,利空,0.0,利空,0.0,中性,5.0,中性,0.0,利空,25.0,利多,0.0,中性,25.0,利多
2022-02-28,2022-03-07,-1.0,看空,0.0006457306321381306,0.0,0.0006457306321381306,-0.0006237182539682541,0.001271314524148609,1.500000000000043,0.0,1.500000000000043,是,其他,否,否,其他,5.0,中性,2.5,中性,10.0,中性,0.0,中性,0.0,利空,5.0,利多,0.0,利空,0.0,中性,0.0,利空
2022-03-07,2022-03-14,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,5.0,中性,2.5,中性,10.0,中性,0.0,中性,10.0,利多,2.5,中性,25.0,利多,0.0,中性,0.0,利空
2022-03-14,2022-03-21,-1.0,看空,-0.0018625533232675684,0.0,-0.0018625533232675684,-0.0006257817460317461,-0.001229526722915911,-1.4600000000010438,0.0,-1.4600000000010438,否,做空做反,否,是,做空做反,5.0,中性,2.5,中性,10.0,中性,0.0,中性,0.0,利空,5.0,利多,0.0,利空,0.0,利空,0.0,利空
2022-03-21,2022-03-28,-1.0,看空,-0.0022503513867430103,0.0,-0.0022503513867430103,-0.0006270674603174595,-0.0016247379791951631,-1.9199999999990056,0.0,-1.9199999999990056,否,做空做反,否,是,做空做反,5.0,中性,2.5,中性,0.0,利空,0.0,中性,0.0,利空,5.0,利多,12.5,中性,0.0,中性,0.0,利空
2022-03-28,2022-04-04,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,5.0,中性,0.0,利空,10.0,中性,0.0,中性,5.0,中性,2.5,中性,25.0,利多,0.0,利空,0.0,利空
2022-04-04,2022-04-11,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,10.0,利多,5.0,利多,20.0,利多,0.0,中性,10.0,利多,2.5,中性,12.5,中性,0.0,中性,0.0,利空
