指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-07-14,2026-07-14
交易日数,trading_days,1086,1086
期末净值,final_nav,1.0677240021040943,1.03592958564103
累计收益率,total_return,0.06772400210409435,0.03592958564102999
年化收益率,annual_return,0.01533611376159505,0.008232217712849987
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.001336113761595049,-0.005767782287150013
年化波动率,annual_volatility,0.007014308210731943,0.006551479109950548
夏普比率,sharpe,0.19048403940260072,-0.8803786427998775
最大回撤,max_drawdown,-0.003689686236144518,-0.005506876711858899
最大回撤起点,max_drawdown_start,2025-05-06,2025-04-30
最大回撤终点,max_drawdown_end,2025-05-13,2025-05-12
Calmar比率,calmar,4.1564818198797004,1.494897769387527
日胜率_参考,win_rate,0.08103130755064457,0.06629834254143646
调仓周期数,signal_period_count,220,220
盈利调仓周期数,winning_signal_periods,22,16
调仓周期胜率,signal_period_win_rate,0.1,0.07272727272727272
单周期平均收益,avg_signal_period_return,0.00029878334801343166,0.00016116669744951123
累计资本利得_BP（收益率变动）,capital_gain_total_bp,61.099999999997024,27.889999999999993
年化资本利得_BP,capital_gain_annualized_bp,14.190967741934791,6.477677419354837
资本利得交易笔数,capital_gain_trade_count,17,17
已平仓交易笔数,capital_gain_closed_trade_count,17,17
资本利得盈利笔数,capital_gain_winning_trades,16,10
资本利得亏损笔数,capital_gain_losing_trades,1,7
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.9411764705882353,0.5882352941176471
平均单笔资本利得_BP,capital_gain_avg_trade_bp,3.5941176470586487,1.6405882352941177
资本利得中位数_BP,capital_gain_median_trade_bp,2.8500000000010117,0.29000000000001247
平均盈利交易_BP,capital_gain_avg_win_bp,3.961249999999813,3.807000000000096
平均亏损交易_BP,capital_gain_avg_loss_bp,-2.2799999999999905,-1.4542857142858505
资本利得盈亏比,capital_gain_profit_loss_ratio,1.7373903508771182,2.61777996070709
最佳交易_BP,capital_gain_best_trade_bp,15.800000000000015,14.610000000000005
最差交易_BP,capital_gain_worst_trade_bp,-2.2799999999999905,-2.9999999999999827
平均每笔持有交易日,capital_gain_avg_holding_days,7.117647058823529,7.117647058823529
最长单笔持有交易日,capital_gain_max_holding_days,19,19
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-4.700000000000017,-7.549999999999987
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-01-17,2023-07-11
资本利得最大回撤终点,capital_gain_max_drawdown_end,2022-04-13,2023-11-27
最长连续亏损笔数,capital_gain_longest_losing_streak,1,2
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
