指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-07-14,2026-07-14
交易日数,trading_days,1086,1086
期末净值,final_nav,1.1192866944127777,1.056751539456731
累计收益率,total_return,0.11928669441277773,0.05675153945673106
年化收益率,annual_return,0.02651906843024121,0.012903091936078637
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.01251906843024121,-0.0010969080639213636
年化波动率,annual_volatility,0.009559529173866871,0.009795550817366227
夏普比率,sharpe,1.3095904832284948,-0.11198023310508373
最大回撤,max_drawdown,-0.005234769547741602,-0.010729390386931215
最大回撤起点,max_drawdown_start,2022-01-20,2022-09-06
最大回撤终点,max_drawdown_end,2022-04-21,2022-09-30
Calmar比率,calmar,5.065947638837728,1.2025932015480645
日胜率_参考,win_rate,0.15377532228360957,0.13720073664825047
调仓周期数,signal_period_count,220,220
盈利调仓周期数,winning_signal_periods,43,36
调仓周期胜率,signal_period_win_rate,0.19545454545454546,0.16363636363636364
单周期平均收益,avg_signal_period_return,0.0005136049759242599,0.00025217487713898214
累计资本利得_BP（收益率变动）,capital_gain_total_bp,100.62999999999809,36.910000000001034
年化资本利得_BP,capital_gain_annualized_bp,23.37212903225762,8.572645161290563
资本利得交易笔数,capital_gain_trade_count,35,35
已平仓交易笔数,capital_gain_closed_trade_count,34,34
资本利得盈利笔数,capital_gain_winning_trades,25,19
资本利得亏损笔数,capital_gain_losing_trades,9,15
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.7352941176470589,0.5588235294117647
平均单笔资本利得_BP,capital_gain_avg_trade_bp,2.965294117647002,1.0867647058823837
资本利得中位数_BP,capital_gain_median_trade_bp,2.4099999999999993,0.36500000000000077
平均盈利交易_BP,capital_gain_avg_win_bp,4.6407999999999605,3.8726315789474235
平均亏损交易_BP,capital_gain_avg_loss_bp,-1.6888888888889937,-2.4419999999999993
资本利得盈亏比,capital_gain_profit_loss_ratio,2.747842105262964,1.5858442174231877
最佳交易_BP,capital_gain_best_trade_bp,15.800000000000015,14.610000000000005
最差交易_BP,capital_gain_worst_trade_bp,-3.4299999999999957,-8.800000000000994
平均每笔持有交易日,capital_gain_avg_holding_days,7.2,7.2
最长单笔持有交易日,capital_gain_max_holding_days,30,30
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-8.330000000000005,-14.040000000000024
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-01-20,2022-09-01
资本利得最大回撤终点,capital_gain_max_drawdown_end,2022-04-21,2022-09-30
最长连续亏损笔数,capital_gain_longest_losing_streak,2,4
当前未平仓交易数,capital_gain_open_trade_count,1,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,-0.18999999999998185,-0.04000000000000531
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
