training_rank,training_objective,training_capital_gain_total_bp,training_capital_gain_excess_bp,oos_capital_gain_total_bp,oos_capital_gain_excess_bp
1,99.06130952381466,79.49000000000392,40.1900000000049,0.8599999999990224,5.439999999999058
2,99.06130952381466,79.49000000000392,40.1900000000049,0.8599999999990224,5.439999999999058
3,99.06130952381466,79.49000000000392,40.1900000000049,0.8599999999990224,5.439999999999058
4,99.06130952381466,79.49000000000392,40.1900000000049,0.8599999999990224,5.439999999999058
5,99.06130952381466,79.49000000000392,40.1900000000049,0.8599999999990224,5.439999999999058
6,99.06130952381466,79.49000000000392,40.1900000000049,2.599999999999028,5.789999999999061
7,99.06130952381466,79.49000000000392,40.1900000000049,-1.410000000001964,3.9799999999970783
8,96.22642857143272,77.97000000000293,38.740000000004926,2.1899999999980286,9.259999999998055
9,96.22642857143272,77.97000000000293,38.740000000004926,2.1899999999980286,9.259999999998055
10,96.22642857143272,77.97000000000293,38.740000000004926,2.1899999999980286,9.259999999998055
11,96.22642857143272,77.97000000000293,38.740000000004926,2.1899999999980286,9.259999999998055
12,96.22642857143272,77.97000000000293,38.740000000004926,2.1899999999980286,9.259999999998055
13,96.22642857143272,77.97000000000293,38.740000000004926,3.929999999998034,9.60999999999806
14,96.22642857143272,77.97000000000293,38.740000000004926,-0.0800000000029577,7.799999999996077
15,94.58750000000268,77.14000000000195,33.79000000000291,2.0899999999980325,7.599999999998061
16,94.58750000000268,77.14000000000195,33.79000000000291,2.0899999999980325,7.599999999998061
17,94.58750000000268,77.14000000000195,33.79000000000291,2.0899999999980325,7.599999999998061
18,94.58750000000268,77.14000000000195,33.79000000000291,2.0899999999980325,7.599999999998061
19,94.58750000000268,77.14000000000195,33.79000000000291,2.0899999999980325,7.599999999998061
20,94.58750000000268,77.14000000000195,33.79000000000291,3.829999999998038,7.949999999998064
