交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-01-17,2022-01-18,2022-01-18,多头,1.0,1.0,2,2.9599999999999764,4.45000000000001,-1.4900000000000335,是,是,已平仓
2,2022-02-08,2022-02-16,2022-02-16,多头,1.0,1.0,7,-6.6300000000000034,-6.360000000000011,-0.26999999999999247,否,是,已平仓
3,2022-03-02,2022-03-03,2022-03-03,多头,1.0,1.0,2,-1.4300000000000423,-2.7499999999999747,1.3199999999999323,否,是,已平仓
4,2022-04-06,2022-04-06,2022-04-06,多头,1.0,1.0,1,0.25000000000000716,1.3900000000000023,-1.1399999999999952,是,是,已平仓
5,2022-04-08,2022-04-21,2022-04-21,多头,1.0,1.0,10,-5.570000000000018,-8.650000000000984,3.0800000000009664,否,是,已平仓
6,2022-04-28,2022-05-06,2022-05-06,多头,1.0,1.0,4,5.339999999999998,1.3799999999999923,3.9600000000000057,是,是,已平仓
7,2022-07-01,2022-07-04,2022-07-04,多头,1.0,1.0,2,-0.5600000000000049,-2.400000000000006,1.8400000000000012,否,是,已平仓
8,2022-07-06,2022-08-12,2022-08-12,多头,1.0,1.0,28,11.960000000000997,9.860000000000007,2.100000000000991,是,是,已平仓
9,2022-08-23,2022-08-23,2022-08-23,多头,1.0,1.0,1,-0.429999999999979,-1.5000000000010143,1.0700000000010352,否,是,已平仓
10,2022-08-25,2022-08-30,2022-08-30,多头,1.0,1.0,4,0.09999999999902487,-0.3000000000009939,0.4000000000000188,是,是,已平仓
11,2022-09-05,2022-09-14,2022-09-14,多头,1.0,1.0,7,-1.1900000000009818,-3.99,2.7999999999990184,否,是,已平仓
12,2022-09-21,2022-09-22,2022-09-22,多头,1.0,1.0,2,0.14000000000097268,1.3900000000000023,-1.2499999999990297,是,是,已平仓
13,2022-09-26,2022-10-11,2022-10-11,多头,1.0,1.0,7,-2.510000000000984,-6.239999999999995,3.729999999999011,否,是,已平仓
14,2022-10-19,2022-10-19,2022-10-19,多头,1.0,1.0,1,0.3099999999999978,-0.4999999999999796,0.8099999999999774,是,是,已平仓
15,2022-11-07,2022-11-11,2022-11-11,多头,1.0,1.0,5,-1.7499999999999807,-3.3100000000000143,1.5600000000000336,否,是,已平仓
16,2022-11-21,2022-11-21,2022-11-21,多头,1.0,1.0,1,1.7400000000000055,0.7000000000000062,1.0399999999999994,是,是,已平仓
17,2022-11-23,2022-11-23,2022-11-23,多头,1.0,1.0,1,1.7900000000009921,3.009999999999992,-1.2199999999989997,是,是,已平仓
18,2022-11-25,2022-11-28,2022-11-28,多头,1.0,1.0,2,-4.630000000000016,-6.500000000000012,1.8699999999999966,否,是,已平仓
19,2022-11-30,2022-12-02,2022-12-02,多头,1.0,1.0,3,3.639999999999997,1.2399999999999909,2.400000000000006,是,是,已平仓
20,2022-12-22,2022-12-23,2022-12-23,多头,1.0,1.0,2,0.2399999999999971,3.5500000000000114,-3.3100000000000143,是,是,已平仓
21,2023-01-19,2023-01-19,2023-01-19,多头,1.0,1.0,1,0.4999999999999796,0.770000000001013,-0.27000000000103336,是,是,已平仓
22,2023-04-07,2023-04-07,2023-04-07,多头,1.0,1.0,1,1.570000000000009,1.4099999999999877,0.16000000000002124,是,是,已平仓
23,2023-04-18,2023-04-18,2023-04-18,多头,1.0,1.0,1,0.7100000000000162,1.1299999999999852,-0.41999999999996906,是,是,已平仓
24,2023-05-04,2023-05-09,2023-05-09,多头,1.0,1.0,4,3.9600000000000053,4.049999999999991,-0.08999999999998565,是,是,已平仓
25,2023-06-02,2023-06-02,2023-06-02,多头,1.0,1.0,1,-2.2199999999989934,-1.2599999999999765,-0.959999999999017,否,是,已平仓
26,2023-07-07,2023-07-14,2023-07-14,多头,1.0,1.0,6,6.369999999999987,-0.5199999999999996,6.889999999999986,是,是,已平仓
27,2023-08-10,2023-08-10,2023-08-10,多头,1.0,1.0,1,1.1599999999999806,-0.14000000000000123,1.2999999999999818,是,是,已平仓
28,2023-09-19,2023-09-22,2023-09-22,多头,1.0,1.0,4,-3.780000000001005,-2.7600000000000193,-1.0200000000009855,否,是,已平仓
29,2023-11-10,2023-11-10,2023-11-10,多头,1.0,1.0,1,1.0399999999999991,0.5000000000000143,0.5399999999999848,是,是,已平仓
30,2023-11-14,2023-11-29,2023-11-29,多头,1.0,1.0,12,-1.9300000000000221,-3.7200000000000086,1.7899999999999865,否,是,已平仓
31,2023-12-07,2023-12-07,2023-12-07,多头,1.0,1.0,1,0.0,0.8499999999999828,-0.8499999999999828,否,是,已平仓
32,2023-12-11,2023-12-21,2023-12-21,多头,1.0,1.0,9,7.960000000000015,7.349999999999996,0.610000000000019,是,是,已平仓
33,2024-01-11,2024-01-11,2024-01-11,多头,1.0,1.0,1,1.4799999999999882,-0.09999999999999593,1.579999999999984,是,是,已平仓
34,2024-01-16,2024-01-19,2024-01-19,多头,1.0,1.0,4,4.200000000001009,1.8499999999999768,2.3500000000010326,是,是,已平仓
35,2024-02-07,2024-02-08,2024-02-08,多头,1.0,1.0,2,1.090000000000015,1.460000000001009,-0.370000000000994,是,是,已平仓
36,2024-02-21,2024-02-21,2024-02-21,多头,1.0,1.0,1,0.6399999999999808,0.14999999999997654,0.49000000000000427,是,是,已平仓
37,2024-03-04,2024-03-05,2024-03-05,多头,1.0,1.0,2,3.359999999999995,5.06000000000003,-1.7000000000000348,是,是,已平仓
38,2024-03-13,2024-03-13,2024-03-13,多头,1.0,1.0,1,0.16000000000099268,1.5000000000000082,-1.3399999999990155,是,是,已平仓
39,2024-03-15,2024-03-15,2024-03-15,多头,1.0,1.0,1,1.2600000000000111,2.2499999999990234,-0.9899999999990123,是,是,已平仓
40,2024-04-03,2024-04-17,2024-04-17,多头,1.0,1.0,9,5.670000000000016,3.189999999999998,2.4800000000000177,是,是,已平仓
41,2024-04-22,2024-04-25,2024-04-25,多头,1.0,1.0,4,3.709999999999998,-0.7199999999999913,4.429999999999989,是,是,已平仓
42,2024-04-29,2024-04-29,2024-04-29,多头,1.0,1.0,1,-5.889999999999993,-4.460000000000991,-1.4299999999990014,否,是,已平仓
43,2024-05-10,2024-05-13,2024-05-13,多头,1.0,1.0,2,2.459999999999997,2.8599999999999803,-0.3999999999999835,是,是,已平仓
44,2024-05-15,2024-05-15,2024-05-15,多头,1.0,1.0,1,0.10000000000003062,-0.8199999999999874,0.920000000000018,是,是,已平仓
45,2024-05-21,2024-05-21,2024-05-21,多头,1.0,1.0,1,-1.3100000000000265,-0.3599999999999784,-0.9500000000000481,否,是,已平仓
46,2024-06-04,2024-06-12,2024-06-12,多头,1.0,1.0,6,5.64000000000002,0.9299999999999933,4.710000000000027,是,是,已平仓
47,2024-06-20,2024-06-20,2024-06-20,多头,1.0,1.0,1,-0.11999999999900979,-0.15999999999998654,0.040000000000976754,否,是,已平仓
48,2024-07-03,2024-07-03,2024-07-03,多头,1.0,1.0,1,2.149999999999999,-0.5699999999990089,2.7199999999990077,是,是,已平仓
49,2024-07-05,2024-07-05,2024-07-05,多头,1.0,1.0,1,-0.3200000000000078,-2.5199999999999876,2.1999999999999797,否,是,已平仓
50,2024-07-19,2024-07-23,2024-07-23,多头,1.0,1.0,3,1.0000000000000286,3.5099999999999714,-2.509999999999943,是,是,已平仓
51,2024-07-25,2024-07-25,2024-07-25,多头,1.0,1.0,1,2.0500000000000034,2.1300000000000137,-0.08000000000001029,是,是,已平仓
52,2024-08-08,2024-08-08,2024-08-08,多头,1.0,1.0,1,-0.8200000000009935,-3.9600000000000053,3.139999999999012,否,是,已平仓
53,2024-09-05,2024-09-06,2024-09-06,多头,1.0,1.0,2,1.1699999999990192,-0.5199999999989935,1.6899999999980126,是,是,已平仓
54,2024-10-14,2024-10-16,2024-10-16,多头,1.0,1.0,3,3.2899999999999943,0.6100000000000202,2.679999999999974,是,是,已平仓
55,2024-11-07,2024-11-15,2024-11-15,多头,1.0,1.0,7,1.849999999999977,2.8599999999999803,-1.0100000000000033,是,是,已平仓
56,2024-12-17,2024-12-17,2024-12-17,多头,1.0,1.0,1,-1.610000000000014,-0.21999999999997716,-1.390000000000037,否,是,已平仓
57,2024-12-19,2024-12-19,2024-12-19,多头,1.0,1.0,1,-1.1699999999999906,1.470000000000013,-2.6400000000000037,否,是,已平仓
