指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-07-14,2026-07-14
交易日数,trading_days,1086,1086
期末净值,final_nav,1.1014841435381084,1.0364530086986943
累计收益率,total_return,0.10148414353810842,0.03645300869869428
年化收益率,annual_return,0.02270360543255867,0.008350513633696544
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.00870360543255867,-0.005649486366303457
年化波动率,annual_volatility,0.010399910141239309,0.010998126746706199
夏普比率,sharpe,0.8368923687182458,-0.5136771467009513
最大回撤,max_drawdown,-0.01081578150361373,-0.012962596964035566
最大回撤起点,max_drawdown_start,2022-02-10,2022-02-08
最大回撤终点,max_drawdown_end,2022-04-21,2022-04-20
Calmar比率,calmar,2.0991183508073847,0.6442006688061702
日胜率_参考,win_rate,0.16574585635359115,0.1445672191528545
调仓周期数,signal_period_count,1068,1068
盈利调仓周期数,winning_signal_periods,180,157
调仓周期胜率,signal_period_win_rate,0.16853932584269662,0.14700374531835206
单周期平均收益,avg_signal_period_return,9.072638635680016e-05,3.376921256719728e-05
累计资本利得_BP（收益率变动）,capital_gain_total_bp,78.27999999999804,11.589999999998096
年化资本利得_BP,capital_gain_annualized_bp,18.181161290322127,2.6918709677414934
资本利得交易笔数,capital_gain_trade_count,89,89
已平仓交易笔数,capital_gain_closed_trade_count,89,89
资本利得盈利笔数,capital_gain_winning_trades,55,47
资本利得亏损笔数,capital_gain_losing_trades,32,42
资本利得持平笔数,capital_gain_flat_trades,2,0
资本利得交易胜率,capital_gain_trade_win_rate,0.6179775280898876,0.5280898876404494
平均单笔资本利得_BP,capital_gain_avg_trade_bp,0.8795505617977308,0.13022471910110223
资本利得中位数_BP,capital_gain_median_trade_bp,0.4999999999999796,0.14999999999997654
平均盈利交易_BP,capital_gain_avg_win_bp,2.434363636363675,2.2010638297872545
平均亏损交易_BP,capital_gain_avg_loss_bp,-1.7378125000001265,-2.1871428571429257
资本利得盈亏比,capital_gain_profit_loss_ratio,1.4008206503080727,1.0063649123782037
最佳交易_BP,capital_gain_best_trade_bp,11.960000000000997,9.860000000000007
最差交易_BP,capital_gain_worst_trade_bp,-6.6300000000000034,-8.650000000000984
平均每笔持有交易日,capital_gain_avg_holding_days,3.168539325842697,3.168539325842697
最长单笔持有交易日,capital_gain_max_holding_days,28,28
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-15.509999999999032,-25.560000000001978
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-02-09,2022-02-08
资本利得最大回撤终点,capital_gain_max_drawdown_end,2022-04-29,2022-11-30
最长连续亏损笔数,capital_gain_longest_losing_streak,3,4
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
