交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-03-02,2022-03-02,2022-03-02,多头,1.0,1.0,1,0.5399999999999849,-1.4999999999999736,2.0399999999999583,是,是,已平仓
2,2022-08-09,2022-08-10,2022-08-10,多头,1.0,1.0,2,-0.460000000000009,0.429999999999979,-0.889999999999988,否,是,已平仓
3,2022-09-07,2022-09-07,2022-09-07,多头,1.0,1.0,1,-0.470000000000019,-0.7499999999999868,0.2799999999999678,否,是,已平仓
4,2022-09-09,2022-09-09,2022-09-09,多头,1.0,1.0,1,-1.4999999999990021,-0.9400000000009747,-0.5599999999980274,否,是,已平仓
5,2022-11-25,2022-11-25,2022-11-25,多头,1.0,1.0,1,-2.5599999999990213,-3.499999999999996,0.9400000000009747,否,是,已平仓
6,2022-12-01,2022-12-01,2022-12-01,多头,1.0,1.0,1,0.5000000000000143,2.499999999998996,-1.9999999999989817,是,是,已平仓
7,2022-12-22,2022-12-22,2022-12-22,多头,1.0,1.0,1,-1.0699999999999945,1.0300000000009955,-2.10000000000099,否,是,已平仓
8,2023-01-19,2023-01-19,2023-01-19,多头,1.0,1.0,1,0.4999999999999796,0.770000000001013,-0.27000000000103336,是,是,已平仓
9,2023-05-04,2023-05-05,2023-05-05,多头,1.0,1.0,2,2.8500000000010117,4.49999999999999,-1.6499999999989785,是,是,已平仓
10,2023-09-21,2023-09-22,2023-09-22,多头,1.0,1.0,2,-2.260000000000005,-1.2600000000000111,-0.999999999999994,否,是,已平仓
11,2023-11-09,2023-11-09,2023-11-09,多头,1.0,1.0,1,0.5000000000000143,-0.3000000000009939,0.8000000000010082,是,是,已平仓
12,2023-11-14,2023-11-29,2023-11-29,多头,1.0,1.0,12,-1.9300000000000221,-3.7200000000000086,1.7899999999999865,否,是,已平仓
13,2023-12-01,2023-12-01,2023-12-01,多头,1.0,1.0,1,3.849999999999999,0.5499999999999949,3.3000000000000043,是,是,已平仓
14,2023-12-06,2024-01-04,2024-01-04,多头,1.0,1.0,21,12.350000000000001,12.82000000000099,-0.4700000000009883,是,是,已平仓
15,2024-01-11,2024-01-11,2024-01-11,多头,1.0,1.0,1,1.4799999999999882,-0.09999999999999593,1.579999999999984,是,是,已平仓
16,2024-02-08,2024-02-08,2024-02-08,多头,1.0,1.0,1,-2.3499999999999908,-2.260000000000005,-0.08999999999998565,否,是,已平仓
17,2024-02-21,2024-02-21,2024-02-21,多头,1.0,1.0,1,0.6399999999999808,0.14999999999997654,0.49000000000000427,是,是,已平仓
18,2024-03-07,2024-03-07,2024-03-07,多头,1.0,1.0,1,3.0900000000000025,-1.2600000000000111,4.350000000000014,是,是,已平仓
19,2024-04-03,2024-04-08,2024-04-08,多头,1.0,1.0,2,1.2100000000010018,1.0500000000000091,0.16000000000099268,是,是,已平仓
20,2024-10-17,2024-10-17,2024-10-17,多头,1.0,1.0,1,2.470000000000007,2.470000000000007,0.0,是,是,已平仓
21,2024-11-07,2024-11-08,2024-11-08,多头,1.0,1.0,2,0.5499999999999949,1.6700000000000048,-1.1200000000000099,是,是,已平仓
22,2024-12-24,2024-12-25,2024-12-25,多头,1.0,1.0,2,-1.4000000000000123,-3.459999999999991,2.0599999999999787,否,是,已平仓
23,2025-01-03,2025-01-06,2025-01-06,多头,1.0,1.0,2,2.3899999999999966,1.1099999999989938,1.2800000000010028,是,是,已平仓
24,2025-02-13,2025-02-14,2025-02-14,多头,1.0,1.0,2,-0.3500000000000031,-2.1000000000000187,1.7500000000000155,否,是,已平仓
25,2025-03-24,2025-03-24,2025-03-24,多头,1.0,1.0,1,-0.1299999999990198,0.449999999999999,-0.5799999999990189,否,是,已平仓
26,2025-03-31,2025-04-07,2025-04-07,多头,1.0,1.0,5,17.629999999999,18.080000000000005,-0.4500000000010047,是,是,已平仓
27,2025-04-16,2025-04-23,2025-04-23,多头,1.0,1.0,6,3.1900000000010045,-0.28000000000000247,3.470000000001007,是,是,已平仓
28,2025-04-29,2025-05-08,2025-05-08,多头,1.0,1.0,5,5.60999999999999,1.5200000000000282,4.089999999999962,是,是,已平仓
29,2025-05-15,2025-05-15,2025-05-15,多头,1.0,1.0,1,0.4999999999999796,-0.6199999999999956,1.1199999999999752,是,是,已平仓
30,2025-05-23,2025-05-23,2025-05-23,多头,1.0,1.0,1,-0.2500000000009786,-0.22000000000001185,-0.030000000000966753,否,是,已平仓
31,2025-07-11,2025-07-11,2025-07-11,多头,1.0,1.0,1,-0.439999999999989,-0.3700000000000231,-0.06999999999996592,否,是,已平仓
32,2025-09-03,2025-09-03,2025-09-03,多头,1.0,1.0,1,1.250000000000001,1.8299999999999914,-0.5799999999999903,是,是,已平仓
33,2025-10-10,2025-10-14,2025-10-14,多头,1.0,1.0,3,1.4899999999999982,0.9800000000000086,0.5099999999999896,是,是,已平仓
34,2026-05-06,2026-05-06,2026-05-06,多头,1.0,1.0,1,-2.489999999999992,-1.810000000000006,-0.6799999999999862,否,是,已平仓
35,2026-05-12,2026-05-12,2026-05-12,多头,1.0,1.0,1,1.1800000000000006,0.2999999999999878,0.8800000000000128,是,是,已平仓
