指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-07-14,2026-07-14
交易日数,trading_days,1088,1088
期末净值,final_nav,1.1004544462985304,1.0495196234864248
累计收益率,total_return,0.1004544462985304,0.0495196234864248
年化收益率,annual_return,0.022439650213811335,0.011267982881956629
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.008439650213811335,-0.0027320171180433717
年化波动率,annual_volatility,0.009541886263794727,0.010214114373721682
夏普比率,sharpe,0.8844844698929536,-0.2674746941420743
最大回撤,max_drawdown,-0.009214469235245604,-0.015752389038046988
最大回撤起点,max_drawdown_start,2022-02-10,2022-01-18
最大回撤终点,max_drawdown_end,2022-04-19,2022-07-08
Calmar比率,calmar,2.435262372788553,0.7153189814409038
日胜率_参考,win_rate,0.1323529411764706,0.1130514705882353
调仓周期数,signal_period_count,1070,1070
盈利调仓周期数,winning_signal_periods,137,118
调仓周期胜率,signal_period_win_rate,0.1280373831775701,0.1102803738317757
单周期平均收益,avg_signal_period_return,8.966021134176738e-05,4.53896675086209e-05
累计资本利得_BP（收益率变动）,capital_gain_total_bp,84.4100000000008,31.919999999997195
年化资本利得_BP,capital_gain_annualized_bp,19.568831646734317,7.400036798527409
资本利得交易笔数,capital_gain_trade_count,80,80
已平仓交易笔数,capital_gain_closed_trade_count,80,80
资本利得盈利笔数,capital_gain_winning_trades,54,40
资本利得亏损笔数,capital_gain_losing_trades,24,39
资本利得持平笔数,capital_gain_flat_trades,2,1
资本利得交易胜率,capital_gain_trade_win_rate,0.675,0.5
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.0551250000000099,0.39899999999996494
资本利得中位数_BP,capital_gain_median_trade_bp,0.5699999999999976,0.04000000000000531
平均盈利交易_BP,capital_gain_avg_win_bp,2.3020370370370724,2.3580000000000263
平均亏损交易_BP,capital_gain_avg_loss_bp,-1.6625000000000465,-1.6000000000000985
资本利得盈亏比,capital_gain_profit_loss_ratio,1.3846839320523356,1.4737499999999257
最佳交易_BP,capital_gain_best_trade_bp,16.450000000000006,18.11
最差交易_BP,capital_gain_worst_trade_bp,-7.410000000000991,-9.469999999999999
平均每笔持有交易日,capital_gain_avg_holding_days,2.675,2.675
最长单笔持有交易日,capital_gain_max_holding_days,18,18
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-12.48000000000006,-21.15999999999996
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-02-09,2022-01-18
资本利得最大回撤终点,capital_gain_max_drawdown_end,2022-04-19,2022-07-08
最长连续亏损笔数,capital_gain_longest_losing_streak,3,7
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
