training_rank,training_objective,training_capital_gain_total_bp,training_capital_gain_excess_bp,oos_capital_gain_total_bp,oos_capital_gain_excess_bp
1,83.00280769230982,79.49000000000382,47.57000000000569,5.169999999996983,5.529999999997932
2,82.85650000000281,67.62000000000086,45.650000000002684,6.049999999998973,6.549999999999958
3,82.85552830188911,66.48000000000084,54.660000000004665,5.7199999999999624,5.870000000000943
4,82.822018518517,72.37999999999892,36.149999999998755,6.049999999998973,5.809999999999946
5,82.56990909091145,64.02000000000193,44.340000000003855,2.609999999997962,4.329999999998918
6,82.38561320754636,62.15000000000002,38.95000000000093,5.739999999999981,8.430000000001975
7,82.37502830188555,71.13999999999896,37.72999999999979,6.049999999998973,5.809999999999946
8,82.25016666666755,53.63000000000198,35.87000000000208,5.499999999997971,1.939999999998955
9,81.84652830188934,68.01000000000184,45.60000000000472,4.869999999999981,7.080000000000976
10,81.63683333333258,50.07999999999995,39.99000000000089,7.629999999998958,5.0899999999999554
11,81.58123584905492,70.97999999999799,42.229999999998824,7.85999999999898,7.129999999999948
12,81.5482272727262,72.0899999999999,36.26999999999974,3.7799999999989593,4.959999999999965
13,81.4809999999978,52.52999999999793,42.29999999999689,3.909999999998951,5.119999999999953
14,80.45737037037249,60.91000000000197,34.38000000000289,3.509999999997995,5.889999999998952
15,80.38968292683305,55.010000000003984,28.94000000000403,5.629999999997962,4.5199999999989675
16,80.35750000000213,71.54999999999991,40.83000000000065,5.759999999996983,6.179999999997957
17,80.33031481481358,70.68999999999897,42.34999999999981,3.909999999998951,5.119999999999953
18,80.33031481481358,70.68999999999897,42.34999999999981,5.589999999998966,6.2799999999999665
19,80.22301515151752,77.27000000000379,48.39000000000665,5.169999999996983,5.529999999997932
20,79.98449999999947,51.209999999999944,40.810000000001864,10.239999999998965,6.979999999999936
