交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-01-13,2022-01-13,2022-01-13,多头,1.0,1.0,1,0.0,0.0,0.0,否,是,已平仓
2,2022-01-28,2022-01-28,2022-01-28,多头,1.0,1.0,1,1.0400000000010055,3.269999999999003,-2.2299999999979976,是,是,已平仓
3,2022-02-08,2022-02-16,2022-02-16,多头,1.0,1.0,7,-6.6300000000000034,-6.360000000000011,-0.26999999999999247,否,是,已平仓
4,2022-02-28,2022-02-28,2022-02-28,空头,-1.0,1.0,1,1.0200000000000486,0.0,1.0200000000000486,是,是,已平仓
5,2022-03-02,2022-03-03,2022-03-03,多头,1.0,1.0,2,-1.4300000000000423,-2.7499999999999747,1.3199999999999323,否,是,已平仓
6,2022-03-09,2022-03-23,2022-03-23,空头,-1.0,1.0,11,0.5999999999999756,0.0,0.5999999999999756,是,是,已平仓
7,2022-03-29,2022-03-29,2022-03-29,空头,-1.0,1.0,1,0.6300000000000056,0.0,0.6300000000000056,是,是,已平仓
8,2022-04-06,2022-04-06,2022-04-06,多头,1.0,1.0,1,0.25000000000000716,1.3900000000000023,-1.1399999999999952,是,是,已平仓
9,2022-04-08,2022-04-15,2022-04-15,多头,1.0,1.0,6,0.379999999999999,-1.8400000000009729,2.220000000000972,是,是,已平仓
10,2022-04-21,2022-04-21,2022-04-21,多头,1.0,1.0,1,-1.3400000000000216,0.7100000000000162,-2.050000000000038,否,是,已平仓
11,2022-04-27,2022-05-06,2022-05-06,多头,1.0,1.0,5,5.900000000000002,-0.12999999999999096,6.029999999999993,是,是,已平仓
12,2022-05-19,2022-05-25,2022-05-25,空头,-1.0,1.0,5,0.13000000000002576,0.0,0.13000000000002576,是,是,已平仓
13,2022-05-27,2022-05-27,2022-05-27,空头,-1.0,1.0,1,1.2500000000010072,0.0,1.2500000000010072,是,是,已平仓
14,2022-05-31,2022-06-01,2022-06-01,空头,-1.0,1.0,2,2.8699999999989845,0.0,2.8699999999989845,是,是,已平仓
15,2022-06-08,2022-06-23,2022-06-23,空头,-1.0,1.0,12,2.149999999999999,0.0,2.149999999999999,是,是,已平仓
16,2022-06-27,2022-06-27,2022-06-27,空头,-1.0,1.0,1,0.6700000000009823,0.0,0.6700000000009823,是,是,已平仓
17,2022-07-04,2022-07-04,2022-07-04,多头,1.0,1.0,1,0.3500000000000031,-1.9000000000000266,2.2500000000000298,是,是,已平仓
18,2022-07-06,2022-08-12,2022-08-12,多头,1.0,1.0,28,11.960000000000997,9.860000000000007,2.100000000000991,是,是,已平仓
19,2022-08-26,2022-08-30,2022-08-30,多头,1.0,1.0,3,2.009999999999998,2.5999999999989925,-0.5899999999989944,是,是,已平仓
20,2022-09-05,2022-09-05,2022-09-05,多头,1.0,1.0,1,0.04999999999900917,0.460000000000009,-0.41000000000099984,是,是,已平仓
21,2022-09-07,2022-09-14,2022-09-14,多头,1.0,1.0,5,-2.79999999999999,-4.8499999999999925,2.0500000000000025,否,是,已平仓
22,2022-09-21,2022-09-21,2022-09-21,多头,1.0,1.0,1,-0.010000000000010001,1.8900000000000166,-1.9000000000000266,否,是,已平仓
23,2022-09-26,2022-10-11,2022-10-11,多头,1.0,1.0,7,-2.510000000000984,-6.239999999999995,3.729999999999011,否,是,已平仓
24,2022-10-27,2022-11-01,2022-11-01,空头,-1.0,1.0,4,-2.389999999999996,0.0,-2.389999999999996,否,是,已平仓
25,2022-11-03,2022-11-03,2022-11-03,多头,1.0,1.0,1,-0.6899999999999962,0.779999999999982,-1.4699999999999782,否,是,已平仓
26,2022-11-07,2022-11-11,2022-11-11,多头,1.0,1.0,5,-1.7499999999999807,-3.3100000000000143,1.5600000000000336,否,是,已平仓
27,2022-11-21,2022-11-21,2022-11-21,多头,1.0,1.0,1,1.7400000000000055,0.7000000000000062,1.0399999999999994,是,是,已平仓
28,2022-11-23,2022-11-23,2022-11-23,多头,1.0,1.0,1,1.7900000000009921,3.009999999999992,-1.2199999999989997,是,是,已平仓
29,2022-11-25,2022-12-01,2022-12-01,多头,1.0,1.0,5,-3.480000000000011,-6.500000000000012,3.0200000000000014,否,是,已平仓
30,2022-12-22,2022-12-26,2022-12-26,多头,1.0,1.0,3,-0.8800000000000128,2.2799999999999905,-3.1600000000000033,否,是,已平仓
