指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-07-14,2026-07-14
交易日数,trading_days,1088,1088
期末净值,final_nav,1.1214337865171213,1.066429088431066
累计收益率,total_return,0.12143378651712133,0.0664290884310661
年化收益率,annual_return,0.02692578413060831,0.015022085068002289
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.01292578413060831,0.0010220850680022885
年化波动率,annual_volatility,0.009986436281868592,0.01094046602403878
夏普比率,sharpe,1.2943340112304533,0.09342244340931427
最大回撤,max_drawdown,-0.010899365688086693,-0.01925188254681831
最大回撤起点,max_drawdown_start,2022-08-09,2022-01-13
最大回撤终点,max_drawdown_end,2022-11-25,2022-11-30
Calmar比率,calmar,2.4703991866277994,0.7802917471302013
日胜率_参考,win_rate,0.14705882352941177,0.12040441176470588
调仓周期数,signal_period_count,1070,1070
盈利调仓周期数,winning_signal_periods,151,123
调仓周期胜率,signal_period_win_rate,0.1411214953271028,0.11495327102803739
单周期平均收益,avg_signal_period_return,0.00010734125164617581,6.0397980915847705e-05
累计资本利得_BP（收益率变动）,capital_gain_total_bp,104.74999999999993,48.90000000000307
年化资本利得_BP,capital_gain_annualized_bp,24.284268629254814,11.336522539099146
资本利得交易笔数,capital_gain_trade_count,76,76
已平仓交易笔数,capital_gain_closed_trade_count,76,76
资本利得盈利笔数,capital_gain_winning_trades,53,38
资本利得亏损笔数,capital_gain_losing_trades,21,37
资本利得持平笔数,capital_gain_flat_trades,2,1
资本利得交易胜率,capital_gain_trade_win_rate,0.6973684210526315,0.5
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.37828947368421,0.6434210526316192
资本利得中位数_BP,capital_gain_median_trade_bp,0.5699999999999976,0.07499999999998827
平均每笔盈利_BP,capital_gain_avg_win_bp,2.696037735849018,2.9905263157895012
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.8161904761903824,-1.7497297297296748
资本利得盈亏比,capital_gain_profit_loss_ratio,1.4844465771586866,1.7091361397005718
最佳交易_BP,capital_gain_best_trade_bp,15.530000000000022,15.499999999999993
最差交易_BP,capital_gain_worst_trade_bp,-5.4700000000009945,-8.699999999999992
平均每笔持有交易日,capital_gain_avg_holding_days,2.973684210526316,2.973684210526316
最长单笔持有交易日,capital_gain_max_holding_days,21,21
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-15.77999999999701,-28.86999999999595
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-08-09,2022-01-13
资本利得最大回撤终点,capital_gain_max_drawdown_end,2022-11-25,2022-11-30
最长连续亏损笔数,capital_gain_longest_losing_streak,5,5
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
