交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-01-13,2022-01-13,2022-01-13,多头,1.0,1.0,1,0.0,0.0,0.0,否,是,已平仓
2,2022-01-18,2022-01-18,2022-01-18,多头,1.0,1.0,1,2.9599999999999764,4.45000000000001,-1.4900000000000335,是,是,已平仓
3,2022-02-07,2022-02-11,2022-02-11,多头,1.0,1.0,5,-5.4700000000009945,-8.699999999999992,3.2299999999989977,否,是,已平仓
4,2022-03-02,2022-03-02,2022-03-02,多头,1.0,1.0,1,0.5399999999999849,-1.4999999999999736,2.0399999999999583,是,是,已平仓
5,2022-04-08,2022-04-13,2022-04-13,多头,1.0,1.0,4,-2.8100000000000342,-2.3700000000009824,-0.4399999999990518,否,是,已平仓
6,2022-04-15,2022-04-18,2022-04-18,多头,1.0,1.0,2,0.6700000000000108,-4.51,5.18000000000001,是,是,已平仓
7,2022-04-28,2022-04-28,2022-04-28,多头,1.0,1.0,1,2.2400000000009914,-0.7499999999990153,2.990000000000007,是,是,已平仓
8,2022-05-05,2022-05-06,2022-05-06,多头,1.0,1.0,2,5.58999999999997,1.1300000000000199,4.459999999999949,是,是,已平仓
9,2022-05-17,2022-05-17,2022-05-17,多头,1.0,1.0,1,0.9300000000009995,0.3799999999999984,0.550000000001001,是,是,已平仓
10,2022-07-01,2022-07-04,2022-07-04,多头,1.0,1.0,2,-0.5600000000000049,-2.400000000000006,1.8400000000000012,否,是,已平仓
11,2022-07-07,2022-07-13,2022-07-13,多头,1.0,1.0,5,5.920000000000022,2.8899999999999757,3.0300000000000464,是,是,已平仓
12,2022-07-15,2022-07-21,2022-07-21,多头,1.0,1.0,5,4.959999999999999,2.720000000000014,2.239999999999985,是,是,已平仓
13,2022-07-28,2022-08-12,2022-08-12,多头,1.0,1.0,12,2.6800000000009794,3.5399999999989955,-0.8599999999980161,是,是,已平仓
14,2022-08-24,2022-08-30,2022-08-30,多头,1.0,1.0,5,0.6000000000000103,-0.5499999999999947,1.150000000000005,是,是,已平仓
15,2022-09-05,2022-09-05,2022-09-05,多头,1.0,1.0,1,0.04999999999900917,0.460000000000009,-0.41000000000099984,是,是,已平仓
16,2022-09-07,2022-09-07,2022-09-07,多头,1.0,1.0,1,-0.470000000000019,-0.7499999999999868,0.2799999999999678,否,是,已平仓
17,2022-09-09,2022-09-09,2022-09-09,多头,1.0,1.0,1,-1.4999999999990021,-0.9400000000009747,-0.5599999999980274,否,是,已平仓
18,2022-09-14,2022-09-14,2022-09-14,多头,1.0,1.0,1,-2.489999999999992,-1.9800000000000026,-0.5099999999999896,否,是,已平仓
19,2022-09-21,2022-09-23,2022-09-23,多头,1.0,1.0,3,-1.3499999999990255,-1.6199999999999894,0.2700000000009639,否,是,已平仓
20,2022-09-27,2022-10-11,2022-10-11,多头,1.0,1.0,6,-0.43000000000098526,-2.720000000000985,2.29,否,是,已平仓
