交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-01-17,2022-05-06,2022-05-06,多头,0.5,0.5714285714285714,70,1.4250000000000027,-2.7300000000004894,4.155000000000492,是,是,已平仓
2,2022-05-16,2022-06-10,2022-06-10,多头,0.5,0.5,19,0.4149999999999983,3.07,-2.6550000000000016,是,是,已平仓
3,2022-06-20,2022-11-11,2022-11-11,多头,0.5,0.5959595959595959,99,9.564999999998982,3.1249999999999853,6.439999999998996,是,是,已平仓
4,2022-11-21,2023-01-13,2023-01-13,多头,0.5,0.5,39,0.10500000000000131,-3.799999999999499,3.9049999999995,是,是,已平仓
5,2023-02-27,2023-03-24,2023-03-24,多头,0.5,0.5,20,1.5050000000004993,2.249999999999995,-0.7449999999994958,是,是,已平仓
6,2023-04-10,2023-04-21,2023-04-21,多头,0.5,0.5,10,1.3849999999999971,1.0300000000000065,0.35499999999999066,是,是,已平仓
7,2023-05-04,2024-04-30,2024-04-30,多头,0.5,0.6012396694214877,242,42.19999999999951,30.435,11.764999999999514,是,是,已平仓
8,2024-05-13,2024-05-17,2024-05-17,多头,0.5,0.5,5,1.5750000000004998,0.22499999999949638,1.3500000000010033,是,是,已平仓
9,2024-05-27,2024-06-14,2024-06-14,多头,0.5,0.5,14,4.20999999999951,2.880000000000486,1.3299999999990235,是,是,已平仓
10,2024-06-24,2024-08-23,2024-08-23,多头,0.5,0.5,45,5.175000000000004,5.1199999999995,0.0550000000005042,是,是,已平仓
11,2024-09-02,2024-09-06,2024-09-06,多头,0.5,0.5,5,1.625000000000012,1.5800000000000012,0.04500000000001081,是,是,已平仓
12,2024-09-18,2024-10-08,2024-10-08,多头,0.5,0.5,10,-6.525000000000002,-6.020000000000001,-0.5050000000000008,否,是,已平仓
13,2025-03-03,2025-03-11,2025-03-11,多头,0.5,0.5,7,-6.8399999999995025,-8.504999999999502,1.6649999999999991,否,是,已平仓
14,2025-07-28,2025-08-21,2025-08-21,多头,0.5,0.5,19,-5.96000000000001,-1.714999999999998,-4.245000000000012,否,是,已平仓
15,2026-06-22,,2026-07-14,多头,0.5,0.5,17,0.48000000000001175,-0.515000000000012,0.9950000000000238,是,否,未平仓
