信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,供给_发行量_得分,供给_发行量_定性,供给_发行占比_得分,供给_发行占比_定性,供给_10Y以上发行_得分,供给_10Y以上发行_定性,供给_发飞惩罚_得分,供给_发飞惩罚_定性,银行需求_得分,银行需求_定性,利差_地方债国债_得分,利差_地方债国债_定性,利差_周度变化_得分,利差_周度变化_定性,利差_地方债NCD_得分,利差_地方债NCD_定性,非银情绪_得分,非银情绪_定性
2022-01-13,2022-01-14,1.0,看多,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,10.0,中性,15.0,利多,2.5,中性,0.0,中性,10.0,利多,0.0,利空,7.5,中性,0.0,利空,25.0,利多
2022-01-14,2022-01-17,1.0,看多,0.00012473015873015747,-0.0005535168393521195,0.000678246998082277,0.00012473015873015874,0.0,0.0,-0.7699999999990006,0.7699999999990006,否,其他,否,否,其他,10.0,中性,7.5,中性,2.5,中性,0.0,中性,10.0,利多,10.0,利多,7.5,中性,0.0,利空,25.0,利多
2022-01-17,2022-01-18,0.5,中性,0.0010150376819628715,0.0003787068740974675,0.000636330807865404,6.236507936507937e-05,0.0009526726025976845,1.1250000000000149,0.37499999999950767,0.7500000000005071,是,有效进攻,是,否,有效进攻,10.0,中性,7.5,中性,2.5,中性,0.0,中性,0.0,利空,0.0,利空,7.5,中性,0.0,利空,25.0,利多
2022-01-18,2022-01-19,0.5,中性,0.0013166476031734042,0.001974145645928349,-0.0006574980427549448,6.19186507936508e-05,0.0012547289523798038,1.4799999999999882,2.225000000000005,-0.7450000000000168,是,低仓少吃,是,否,低仓少吃,10.0,中性,7.5,中性,2.5,中性,0.0,中性,0.0,利空,0.0,利空,15.0,利多,0.0,中性,25.0,利多
2022-01-19,2022-01-20,0.5,中性,0.000719359128054764,0.000490909202828016,0.000228449925226748,6.133134920634921e-05,0.0006580277788483784,0.7750000000000118,0.5050000000004877,0.26999999999952407,是,有效进攻,是,否,有效进攻,0.0,利空,0.0,利空,0.0,利空,0.0,中性,5.0,中性,0.0,利空,15.0,利多,0.0,中性,25.0,利多
2022-01-20,2022-01-21,0.5,中性,0.0019729356829503164,0.00024013363914132668,0.0017328020438089897,6.102380952380952e-05,0.001911911873426416,2.249999999999995,0.21499999999950378,2.0350000000004913,是,有效进攻,是,否,有效进攻,0.0,利空,0.0,利空,0.0,利空,0.0,中性,0.0,利空,0.0,利空,15.0,利多,0.0,利多,25.0,利多
2022-01-21,2022-01-24,0.5,中性,-0.00031035407562152173,0.0007937051191038158,-0.0011040591947253375,6.013095238095238e-05,-0.0003704850280024941,-0.4350000000000014,0.8550000000000051,-1.2900000000000065,否,低仓少吃,是,是,低仓少吃,0.0,利空,7.5,中性,0.0,利空,0.0,中性,5.0,中性,0.0,利空,15.0,利多,0.0,利多,25.0,利多
2022-01-24,2022-01-25,0.5,中性,0.0017331316232016558,0.0015645648106403787,0.00016856681256127715,6.030357142857143e-05,0.0016728280517729745,1.965000000000005,1.744999999999993,0.22000000000001196,是,有效进攻,是,否,有效进攻,0.0,利空,0.0,利空,0.0,利空,0.0,中性,5.0,中性,0.0,利空,15.0,利多,0.0,中性,25.0,利多
2022-01-25,2022-01-26,0.5,中性,5.952380952378711e-05,-0.0009356906289600397,0.0009952144384838268,5.9523809523809524e-05,0.0,0.0,-1.1399999999999952,1.1399999999999952,否,有效防守,否,否,有效防守,0.0,利空,0.0,利空,0.0,利空,0.0,中性,10.0,利多,5.0,中性,7.5,中性,0.0,利多,25.0,利多
2022-01-26,2022-01-27,0.5,中性,5.952380952378711e-05,-0.0006698506409107408,0.0007293744504345279,5.9523809523809524e-05,0.0,0.0,-0.8350000000000024,0.8350000000000024,否,有效防守,否,否,有效防守,0.0,利空,7.5,中性,0.0,利空,0.0,中性,10.0,利多,0.0,利空,15.0,利多,0.0,中性,25.0,利多
