指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-07-14,2026-07-14
交易日数,trading_days,1088,1088
期末净值,final_nav,1.1662830709151983,1.1170682241883114
累计收益率,total_return,0.16628307091519834,0.11706822418831142
年化收益率,annual_return,0.036304092663328014,0.025997615327949974
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.022304092663328015,0.011997615327949974
年化波动率,annual_volatility,0.012163128951290196,0.013440499415443683
夏普比率,sharpe,1.8337462960928423,0.8926465421488895
最大回撤,max_drawdown,-0.009937326329049867,-0.013822347817162628
最大回撤起点,max_drawdown_start,2022-01-26,2022-08-18
最大回撤终点,max_drawdown_end,2022-03-21,2022-11-14
Calmar比率,calmar,3.653305875364077,1.880839324247783
日胜率_参考,win_rate,0.4834558823529412,0.45496323529411764
调仓周期数,signal_period_count,1070,1070
盈利调仓周期数,winning_signal_periods,516,486
调仓周期胜率,signal_period_win_rate,0.4822429906542056,0.4542056074766355
单周期平均收益,avg_signal_period_return,0.00014408205612082128,0.00010385196711628019
累计资本利得_BP（收益率变动）,capital_gain_total_bp,118.84499999999886,73.66499999999567
年化资本利得_BP,capital_gain_annualized_bp,27.551922723090815,17.077810487579494
资本利得交易笔数,capital_gain_trade_count,53,53
已平仓交易笔数,capital_gain_closed_trade_count,52,52
资本利得盈利笔数,capital_gain_winning_trades,35,32
资本利得亏损笔数,capital_gain_losing_trades,17,20
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.6730769230769231,0.6153846153846154
平均单笔资本利得_BP,capital_gain_avg_trade_bp,2.271346153846122,1.4307692307691562
资本利得中位数_BP,capital_gain_median_trade_bp,0.4374999999997523,0.45750000000000646
平均每笔盈利_BP,capital_gain_avg_win_bp,4.472571428571397,3.6993749999998307
平均每笔亏损_BP,capital_gain_avg_loss_bp,-2.2605882352941506,-2.1989999999999212
资本利得盈亏比,capital_gain_profit_loss_ratio,1.9784989405597877,1.6822987721691511
最佳交易_BP,capital_gain_best_trade_bp,28.039999999999,27.689999999999483
最差交易_BP,capital_gain_worst_trade_bp,-6.8399999999995025,-9.005000000000523
平均每笔持有交易日,capital_gain_avg_holding_days,16.11320754716981,16.11320754716981
最长单笔持有交易日,capital_gain_max_holding_days,80,80
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-13.995000000000035,-20.31500000000098
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-01-24,2022-08-18
资本利得最大回撤终点,capital_gain_max_drawdown_end,2022-03-22,2023-01-20
最长连续亏损笔数,capital_gain_longest_losing_streak,4,5
当前未平仓交易数,capital_gain_open_trade_count,1,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.7350000000004923,-0.7350000000004919
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
