training_rank,training_objective,training_capital_gain_total_bp,training_capital_gain_excess_bp,oos_capital_gain_total_bp,oos_capital_gain_excess_bp
1,116.6475000000002,62.24999999999998,34.71000000000096,7.879999999998063,8.779999999999
2,116.6475000000002,62.24999999999998,34.71000000000096,7.879999999998063,8.779999999999
3,116.02000000000015,61.599999999999966,32.72000000000085,-1.0053069487980792e-12,-1.1800000000010389
4,116.02000000000015,61.599999999999966,32.72000000000085,-3.4100000000009807,2.109999999999026
5,115.91800000000063,62.74000000000099,31.40000000000195,7.759999999998048,12.949999999998
6,115.28850000000065,59.230000000000985,31.690000000001962,14.619999999998072,12.799999999998995
7,114.5590000000011,59.720000000001995,28.380000000002955,15.109999999998077,13.969999999998986
8,114.5590000000011,59.720000000001995,28.380000000002955,16.599999999998076,11.049999999997976
9,114.02700000000019,56.75999999999998,28.62000000000091,-1.3000000000009875,3.2499999999990203
10,114.02700000000019,56.75999999999998,28.62000000000091,-1.3000000000009875,3.2499999999990203
11,114.02700000000019,56.75999999999998,28.62000000000091,-1.3000000000009875,3.2499999999990203
12,114.02700000000019,56.75999999999998,28.62000000000091,-1.3000000000009875,3.2499999999990203
13,114.02700000000019,56.75999999999998,28.62000000000091,-1.3000000000009875,3.2499999999990203
14,114.02700000000019,56.75999999999998,28.62000000000091,-1.3000000000009875,3.2499999999990203
15,114.02700000000019,56.75999999999998,28.62000000000091,-1.3000000000009875,3.2499999999990203
16,114.02700000000019,56.75999999999998,28.62000000000091,-1.3000000000009875,3.2499999999990203
17,114.02700000000019,56.75999999999998,28.62000000000091,-1.3000000000009875,3.2499999999990203
18,114.02700000000019,56.75999999999998,28.62000000000091,-1.3000000000009875,3.2499999999990203
19,113.73950000000019,55.459999999999994,28.5100000000009,-3.3000000000010106,6.989999999998006
20,113.73950000000019,55.459999999999994,28.5100000000009,-3.3000000000010106,6.989999999998006
