交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-04-06,2022-04-15,2022-04-15,多头,1.0,1.0,8,2.410000000000017,1.6500000000000195,0.7599999999999976,是,是,已平仓
2,2022-05-05,2022-05-06,2022-05-06,多头,1.0,1.0,2,5.58999999999997,1.1300000000000199,4.459999999999949,是,是,已平仓
3,2022-07-11,2022-07-15,2022-07-15,多头,1.0,1.0,5,5.229999999999958,5.269999999999997,-0.040000000000039115,是,是,已平仓
4,2022-11-21,2022-12-02,2022-12-02,多头,1.0,1.0,10,3.250000000000023,-4.259999999999994,7.510000000000017,是,是,已平仓
5,2023-11-20,2023-12-01,2023-12-01,多头,1.0,1.0,10,3.849999999999999,-1.0100000000000042,4.860000000000003,是,是,已平仓
6,2023-12-11,2024-01-19,2024-01-19,多头,1.0,1.0,29,22.400000000000997,16.089999999999993,6.310000000001004,是,是,已平仓
7,2024-04-01,2024-04-12,2024-04-12,多头,1.0,1.0,8,4.329999999999994,0.6399999999990091,3.6900000000009845,是,是,已平仓
8,2024-10-14,2024-10-18,2024-10-18,多头,1.0,1.0,5,4.270000000000003,1.830000000000026,2.4399999999999773,是,是,已平仓
9,2024-11-04,2024-11-08,2024-11-08,多头,1.0,1.0,5,3.799999999999012,3.3900000000000254,0.40999999999898673,是,是,已平仓
10,2025-01-27,2025-01-27,2025-01-27,多头,1.0,1.0,1,2.0900000000000087,2.660000000000995,-0.5700000000009862,是,是,已平仓
11,2025-03-10,2025-03-14,2025-03-14,多头,1.0,1.0,5,-7.339999999999986,-3.1499999999999946,-4.189999999999991,否,是,已平仓
12,2025-04-28,2025-04-30,2025-04-30,多头,1.0,1.0,3,5.04000000000001,3.6299999999999875,1.4100000000000223,是,是,已平仓
13,2025-05-12,2025-05-16,2025-05-16,多头,1.0,1.0,5,-2.5000000000000027,-4.4199999999999795,1.9199999999999768,否,是,已平仓
14,2025-09-01,2025-09-05,2025-09-05,多头,1.0,1.0,5,0.479999999999023,1.1900000000000102,-0.7100000000009872,是,是,已平仓
15,2025-10-09,2025-10-17,2025-10-17,多头,1.0,1.0,7,2.5299999999989917,3.5900000000000167,-1.060000000001025,是,是,已平仓
16,2025-12-15,2025-12-31,2025-12-31,多头,1.0,1.0,13,-1.1500000000000052,-0.7700000000000065,-0.3799999999999988,否,是,已平仓
17,2026-03-09,2026-03-13,2026-03-13,多头,1.0,1.0,5,-0.09999999999999609,-3.3299999999999996,3.2300000000000035,否,是,已平仓
