指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-07-14,2026-07-14
交易日数,trading_days,1088,1088
期末净值,final_nav,1.1187935014856951,1.053468121703278
累计收益率,total_return,0.11879350148569512,0.05346812170327797
年化收益率,annual_return,0.02636476157138512,0.012148731594632922
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.01236476157138512,-0.0018512684053670781
年化波动率,annual_volatility,0.00997640376839862,0.01088266578684438
夏普比率,sharpe,1.2394006756775313,-0.17011166580205034
最大回撤,max_drawdown,-0.00787883364427866,-0.014582761068033245
最大回撤起点,max_drawdown_start,2022-02-10,2022-08-04
最大回撤终点,max_drawdown_end,2022-04-08,2022-11-30
Calmar比率,calmar,3.3462772234733387,0.8330885720444299
日胜率_参考,win_rate,0.14705882352941177,0.12408088235294118
调仓周期数,signal_period_count,1070,1070
盈利调仓周期数,winning_signal_periods,153,130
调仓周期胜率,signal_period_win_rate,0.14299065420560747,0.12149532710280374
单周期平均收益,avg_signal_period_return,0.00010512523388226194,4.892786457744604e-05
累计资本利得_BP（收益率变动）,capital_gain_total_bp,101.27000000000186,34.410000000003194
年化资本利得_BP,capital_gain_annualized_bp,23.477497700092425,7.977295308188413
资本利得交易笔数,capital_gain_trade_count,76,76
已平仓交易笔数,capital_gain_closed_trade_count,76,76
资本利得盈利笔数,capital_gain_winning_trades,53,36
资本利得亏损笔数,capital_gain_losing_trades,20,39
资本利得持平笔数,capital_gain_flat_trades,3,1
资本利得交易胜率,capital_gain_trade_win_rate,0.6973684210526315,0.47368421052631576
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.3325000000000242,0.4527631578947788
资本利得中位数_BP,capital_gain_median_trade_bp,0.6750000000004842,-0.059999999999990616
平均每笔盈利_BP,capital_gain_avg_win_bp,2.566415094339641,2.9125000000000583
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.7374999999999559,-1.8061538461538185
资本利得盈亏比,capital_gain_profit_loss_ratio,1.4770734355911979,1.6125425894378764
最佳交易_BP,capital_gain_best_trade_bp,15.800000000000015,14.610000000000005
最差交易_BP,capital_gain_worst_trade_bp,-8.400000000000004,-8.71
平均每笔持有交易日,capital_gain_avg_holding_days,3.0789473684210527,3.0789473684210527
最长单笔持有交易日,capital_gain_max_holding_days,19,19
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-10.329999999999053,-25.419999999999916
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-02-09,2022-01-13
资本利得最大回撤终点,capital_gain_max_drawdown_end,2022-04-08,2022-11-30
最长连续亏损笔数,capital_gain_longest_losing_streak,3,5
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
