指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-07-14,2026-07-14
交易日数,trading_days,1088,1088
期末净值,final_nav,1.1197777093942598,1.048133932168409
累计收益率,total_return,0.1197777093942598,0.04813393216840911
年化收益率,annual_return,0.02657401036186835,0.010958288349614431
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.01257401036186835,-0.003041711650385569
年化波动率,annual_volatility,0.009932891740379816,0.010623239808850207
夏普比率,sharpe,1.2658962455768739,-0.28632617780608915
最大回撤,max_drawdown,-0.005768900595631399,-0.014805546992378682
最大回撤起点,max_drawdown_start,2022-02-10,2022-01-13
最大回撤终点,max_drawdown_end,2022-04-08,2022-11-30
Calmar比率,calmar,4.60642542220124,0.7401474835921517
日胜率_参考,win_rate,0.14613970588235295,0.1213235294117647
调仓周期数,signal_period_count,1070,1070
盈利调仓周期数,winning_signal_periods,152,127
调仓周期胜率,signal_period_win_rate,0.14205607476635515,0.11869158878504672
单周期平均收益,avg_signal_period_return,0.00010594536369791459,4.4172201168603744e-05
累计资本利得_BP（收益率变动）,capital_gain_total_bp,102.90000000000185,29.230000000004182
年化资本利得_BP,capital_gain_annualized_bp,23.85538178472904,6.77641214351523
资本利得交易笔数,capital_gain_trade_count,76,76
已平仓交易笔数,capital_gain_closed_trade_count,76,76
资本利得盈利笔数,capital_gain_winning_trades,53,36
资本利得亏损笔数,capital_gain_losing_trades,20,39
资本利得持平笔数,capital_gain_flat_trades,3,1
资本利得交易胜率,capital_gain_trade_win_rate,0.6973684210526315,0.47368421052631576
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.3539473684210768,0.38460526315794974
资本利得中位数_BP,capital_gain_median_trade_bp,0.6750000000004842,-0.059999999999990616
平均每笔盈利_BP,capital_gain_avg_win_bp,2.566415094339641,2.9125000000000583
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.6559999999999557,-1.9389743589743051
资本利得盈亏比,capital_gain_profit_loss_ratio,1.5497675690457184,1.502082782332788
最佳交易_BP,capital_gain_best_trade_bp,15.800000000000015,14.610000000000005
最差交易_BP,capital_gain_worst_trade_bp,-5.4700000000009945,-8.699999999999992
平均每笔持有交易日,capital_gain_avg_holding_days,3.026315789473684,3.026315789473684
最长单笔持有交易日,capital_gain_max_holding_days,19,19
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-10.009999999999012,-25.409999999999908
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-08-04,2022-01-13
资本利得最大回撤终点,capital_gain_max_drawdown_end,2022-11-25,2022-11-30
最长连续亏损笔数,capital_gain_longest_losing_streak,3,5
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
