指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-07-14,2026-07-14
交易日数,trading_days,1086,1086
期末净值,final_nav,1.0833446467426808,1.0350246223064499
累计收益率,total_return,0.08334464674268083,0.03502462230644987
年化收益率,annual_return,0.01876691575314804,0.008027583706033958
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.004766915753148039,-0.005972416293966042
年化波动率,annual_volatility,0.008086314962852625,0.007924598095634009
夏普比率,sharpe,0.5895040911770774,-0.7536554184692968
最大回撤,max_drawdown,-0.005309397539657756,-0.011257520644085584
最大回撤起点,max_drawdown_start,2024-11-12,2024-11-12
最大回撤终点,max_drawdown_end,2025-03-11,2025-05-12
Calmar比率,calmar,3.534660121599739,0.71308629669282
日胜率_参考,win_rate,0.11878453038674033,0.09576427255985268
调仓周期数,signal_period_count,220,220
盈利调仓周期数,winning_signal_periods,34,27
调仓周期胜率,signal_period_win_rate,0.15454545454545454,0.12272727272727273
单周期平均收益,avg_signal_period_return,0.0003648798921929456,0.00015730230436268613
累计资本利得_BP（收益率变动）,capital_gain_total_bp,71.76999999999902,21.279999999999074
年化资本利得_BP,capital_gain_annualized_bp,16.669161290322354,4.942451612903011
资本利得交易笔数,capital_gain_trade_count,23,23
已平仓交易笔数,capital_gain_closed_trade_count,23,23
资本利得盈利笔数,capital_gain_winning_trades,20,14
资本利得亏损笔数,capital_gain_losing_trades,3,9
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.8695652173913043,0.6086956521739131
平均单笔资本利得_BP,capital_gain_avg_trade_bp,3.1204347826086534,0.9252173913043077
资本利得中位数_BP,capital_gain_median_trade_bp,2.7500000000000098,0.6399999999990091
平均每笔盈利_BP,capital_gain_avg_win_bp,3.977999999999902,3.1671428571427183
平均每笔亏损_BP,capital_gain_avg_loss_bp,-2.5966666666663376,-2.5622222222221094
资本利得盈亏比,capital_gain_profit_loss_ratio,1.5319640564828265,1.236092181885764
最佳交易_BP,capital_gain_best_trade_bp,22.400000000000997,16.089999999999993
最差交易_BP,capital_gain_worst_trade_bp,-5.6999999999990045,-8.509999999999005
平均每笔持有交易日,capital_gain_avg_holding_days,7.913043478260869,7.913043478260869
最长单笔持有交易日,capital_gain_max_holding_days,29,29
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-6.399999999999011,-13.600000000000001
资本利得最大回撤起点,capital_gain_max_drawdown_start,2024-11-12,2022-09-01
资本利得最大回撤终点,capital_gain_max_drawdown_end,2025-03-11,2023-11-27
最长连续亏损笔数,capital_gain_longest_losing_streak,1,4
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
