指标,字段,策略,基准
起始日期,start_date,2022-01-12,2022-01-12
结束日期,end_date,2026-07-17,2026-07-17
交易日数,trading_days,1092,1092
期末净值,final_nav,1.0783738407683912,1.0269846448882964
累计收益率,total_return,0.07837384076839116,0.02698464488829644
年化收益率,annual_return,0.01758123055854699,0.006169271767497708
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.0035812305585469894,-0.007830728232502292
年化波动率,annual_volatility,0.010007601320943997,0.011023775406501509
夏普比率,sharpe,0.35785104179281785,-0.7103490359467911
最大回撤,max_drawdown,-0.006159320234208954,-0.017332273566815992
最大回撤起点,max_drawdown_start,2022-08-04,2022-08-04
最大回撤终点,max_drawdown_end,2022-11-08,2023-11-27
Calmar比率,calmar,2.854410858669205,0.3559412874320924
日胜率_参考,win_rate,0.13095238095238096,0.1163003663003663
调仓周期数,signal_period_count,1064,1064
盈利调仓周期数,winning_signal_periods,140,125
调仓周期胜率,signal_period_win_rate,0.13157894736842105,0.1174812030075188
单周期平均收益,avg_signal_period_return,7.111840854764926e-05,2.526730696128886e-05
累计资本利得_BP（收益率变动）,capital_gain_total_bp,59.409999999994156,5.790000000004053
年化资本利得_BP,capital_gain_annualized_bp,13.72256645279425,1.3373785517882872
资本利得交易笔数,capital_gain_trade_count,82,82
已平仓交易笔数,capital_gain_closed_trade_count,82,82
资本利得盈利笔数,capital_gain_winning_trades,47,38
资本利得亏损笔数,capital_gain_losing_trades,34,43
资本利得持平笔数,capital_gain_flat_trades,1,1
资本利得交易胜率,capital_gain_trade_win_rate,0.573170731707317,0.4634146341463415
平均单笔资本利得_BP,capital_gain_avg_trade_bp,0.7245121951218799,0.07060975609761046
资本利得中位数_BP,capital_gain_median_trade_bp,0.3650000000000007,-0.15000000000001124
平均每笔盈利_BP,capital_gain_avg_win_bp,2.3544680851062787,2.4815789473684484
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.507352941176498,-2.058372093023186
资本利得盈亏比,capital_gain_profit_loss_ratio,1.5619885832899905,1.2056026972867122
最佳交易_BP,capital_gain_best_trade_bp,11.069999999998998,10.030000000000005
最差交易_BP,capital_gain_worst_trade_bp,-7.410000000000991,-9.469999999999999
平均每笔持有交易日,capital_gain_avg_holding_days,2.7804878048780486,2.7804878048780486
最长单笔持有交易日,capital_gain_max_holding_days,15,15
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-12.200000000003907,-30.75999999999896
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-08-04,2022-01-12
资本利得最大回撤终点,capital_gain_max_drawdown_end,2023-12-08,2023-11-27
最长连续亏损笔数,capital_gain_longest_losing_streak,3,6
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
