交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-01-12,2022-01-12,2022-01-12,多头,1.0,1.0,1,0.0,0.0,0.0,否,是,已平仓
2,2022-02-07,2022-02-15,2022-02-15,多头,1.0,1.0,7,-7.410000000000991,-9.469999999999999,2.0599999999990075,否,是,已平仓
3,2022-03-01,2022-03-02,2022-03-02,多头,1.0,1.0,2,1.490000000000033,-4.249999999999983,5.740000000000016,是,是,已平仓
4,2022-04-07,2022-04-08,2022-04-08,多头,1.0,1.0,2,1.3900000000000023,0.750000000000993,0.6399999999990094,是,是,已平仓
5,2022-04-13,2022-04-13,2022-04-13,多头,1.0,1.0,1,-3.4200000000000204,0.7400000000000115,-4.160000000000032,否,是,已平仓
6,2022-04-26,2022-04-27,2022-04-27,多头,1.0,1.0,2,0.4799999999999943,-2.510000000000984,2.990000000000978,是,是,已平仓
7,2022-05-05,2022-05-05,2022-05-05,多头,1.0,1.0,1,2.849999999999971,1.0400000000010055,1.8099999999989653,是,是,已平仓
8,2022-06-02,2022-06-02,2022-06-02,多头,1.0,1.0,1,0.27999999999899633,-0.5000000000000143,0.7799999999990106,是,是,已平仓
9,2022-07-01,2022-07-01,2022-07-01,多头,1.0,1.0,1,-0.910000000000008,-0.4999999999999796,-0.4100000000000284,否,是,已平仓
10,2022-07-05,2022-07-25,2022-07-25,多头,1.0,1.0,15,9.440000000000005,6.550000000000029,2.8899999999999757,是,是,已平仓
11,2022-07-28,2022-08-11,2022-08-11,多头,1.0,1.0,11,1.8400000000000007,3.8399999999989833,-1.9999999999989826,是,是,已平仓
12,2022-08-22,2022-08-29,2022-08-29,多头,1.0,1.0,6,-1.889999999999982,-3.4999999999999964,1.6100000000000145,否,是,已平仓
13,2022-09-02,2022-09-02,2022-09-02,多头,1.0,1.0,1,0.5800000000009964,-1.010000000000004,1.5900000000010004,是,是,已平仓
14,2022-09-06,2022-09-06,2022-09-06,多头,1.0,1.0,1,1.559999999999999,0.3999999999999837,1.1600000000000152,是,是,已平仓
15,2022-09-08,2022-09-09,2022-09-09,多头,1.0,1.0,2,-1.5199999999989875,-1.349999999999997,-0.16999999999899051,否,是,已平仓
16,2022-09-20,2022-09-30,2022-09-30,多头,1.0,1.0,9,-5.070000000000006,-8.51000000000001,3.440000000000005,否,是,已平仓
17,2022-11-04,2022-11-10,2022-11-10,多头,1.0,1.0,5,-1.4499999999999929,-2.5199999999999876,1.0699999999999947,否,是,已平仓
18,2022-11-24,2022-11-24,2022-11-24,多头,1.0,1.0,1,1.269999999999015,0.25000000000000716,1.019999999999008,是,是,已平仓
19,2022-11-29,2022-11-30,2022-11-30,多头,1.0,1.0,2,0.6499999999999908,-2.4999999999989964,3.149999999998987,是,是,已平仓
