交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-01-12,2022-01-12,2022-01-12,多头,1.0,1.0,1,0.0,0.0,0.0,否,是,已平仓
2,2022-01-17,2022-01-17,2022-01-17,多头,1.0,1.0,1,2.2500000000000298,0.7499999999990153,1.5000000000010143,是,是,已平仓
3,2022-01-19,2022-01-20,2022-01-20,多头,1.0,1.0,2,6.050000000000014,1.439999999999983,4.610000000000031,是,是,已平仓
4,2022-01-25,2022-01-25,2022-01-25,多头,1.0,1.0,1,0.0,-2.2799999999999905,2.2799999999999905,否,是,已平仓
5,2022-01-27,2022-01-27,2022-01-27,多头,1.0,1.0,1,-2.380000000000021,-2.0199999999990017,-0.3600000000010195,否,是,已平仓
6,2022-02-07,2022-02-15,2022-02-15,多头,1.0,1.0,7,-7.410000000000991,-9.469999999999999,2.0599999999990075,否,是,已平仓
7,2022-02-18,2022-02-21,2022-02-21,多头,1.0,1.0,2,-0.9699999999999988,-5.009999999999979,4.0399999999999805,否,是,已平仓
8,2022-03-01,2022-03-02,2022-03-02,多头,1.0,1.0,2,1.490000000000033,-4.249999999999983,5.740000000000016,是,是,已平仓
9,2022-04-07,2022-04-11,2022-04-11,多头,1.0,1.0,3,3.4500000000000157,-0.7599999999989906,4.209999999999006,是,是,已平仓
10,2022-04-14,2022-04-20,2022-04-20,多头,1.0,1.0,5,-1.4199999999999626,-6.990000000000017,5.5700000000000545,否,是,已平仓
11,2022-04-22,2022-04-22,2022-04-22,多头,1.0,1.0,1,1.7500000000000155,-1.5000000000000082,3.250000000000024,是,是,已平仓
12,2022-04-26,2022-05-11,2022-05-11,多头,1.0,1.0,9,8.710000000000003,-0.8000000000000025,9.510000000000005,是,是,已平仓
13,2022-05-13,2022-05-17,2022-05-17,多头,1.0,1.0,3,5.630000000001017,-1.230000000000016,6.860000000001033,是,是,已平仓
14,2022-06-02,2022-06-02,2022-06-02,多头,1.0,1.0,1,0.27999999999899633,-0.5000000000000143,0.7799999999990106,是,是,已平仓
15,2022-06-27,2022-07-01,2022-07-01,多头,1.0,1.0,5,-3.4500000000009865,-2.7699999999999942,-0.6800000000009923,否,是,已平仓
16,2022-07-05,2022-08-10,2022-08-10,多头,1.0,1.0,27,14.579999999999975,10.790000000000001,3.7899999999999743,是,是,已平仓
17,2022-08-24,2022-08-29,2022-08-29,多头,1.0,1.0,4,-2.319999999999996,-1.4999999999999734,-0.8200000000000225,否,是,已平仓
18,2022-09-02,2022-09-13,2022-09-13,多头,1.0,1.0,7,1.8800000000000066,-3.020000000000002,4.900000000000008,是,是,已平仓
19,2022-09-20,2022-10-12,2022-10-12,多头,1.0,1.0,12,-4.210000000000013,-6.019999999999012,1.8099999999989986,否,是,已平仓
20,2022-10-14,2022-10-14,2022-10-14,多头,1.0,1.0,1,0.060000000000996756,2.7499999999999747,-2.689999999998978,是,是,已平仓
21,2022-10-18,2022-10-24,2022-10-24,多头,1.0,1.0,5,1.09999999999999,-1.5099999999999834,2.6099999999999737,是,是,已平仓
