日期,信号日期,总分,结论,目标仓位,仓位,止盈止损事件,条件基准仓位,交易标的到期收益率_百分比,比较基准到期收益率_百分比,策略日收益率,基准日收益率,策略票息Carry收益,策略资本利得收益,基准票息Carry收益,基准资本利得收益,票息Carry超额,资本利得超额,策略资本利得_BP,基准资本利得_BP,资本利得超额_BP,策略累计资本利得_BP,基准累计资本利得_BP,累计资本利得超额_BP,策略累计票息Carry,策略累计资本利得,基准累计票息Carry,基准累计资本利得,策略净值,基准净值,超额净值
2022-01-12,2022-01-12,80.0,看多,1.0,1.0,,1.0,3.1524,2.7957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2022-01-13,2022-01-13,45.0,中性,0.0,0.0,,0.0,3.1432,2.7858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2022-01-14,2022-01-14,60.0,中性,0.0,0.0,,0.0,3.1432,2.7935,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2022-01-17,2022-01-17,70.0,看多,1.0,1.0,,1.0,3.1207,2.786,0.002030075363925528,0.0007574137481949736,0.00012473015873015874,0.001905345205195369,0.00011085317460317421,0.0006465605735917994,1.3876984126984536e-05,0.0012587846316035696,2.2500000000000298,0.7499999999990153,1.5000000000010143,2.2500000000000298,0.7499999999990153,1.5000000000010143,0.00012473015873015874,0.001905345205195369,0.00011085317460317421,0.0006465605735917994,1.0020300753639255,1.000757413748195,1.0012716984138683
2022-01-18,2022-01-18,65.0,中性,0.0,0.0,,0.0,3.0911,2.7415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2500000000000298,0.7499999999990153,1.5000000000010143,0.00012473015873015874,0.001905345205195369,0.00011085317460317421,0.0006465605735917994,1.0020300753639255,1.000757413748195,1.0012716984138683
2022-01-19,2022-01-19,70.0,看多,1.0,1.0,,1.0,3.0756,2.7314,0.0014387182561094553,0.0009818184056558507,0.00012266269841269841,0.0013160555576967568,0.00010878968253968253,0.0008730287231161682,1.3873015873015881e-05,0.0004430268345805887,1.5500000000000236,1.0100000000009755,0.5399999999990481,3.800000000000053,1.759999999999991,2.040000000000062,0.00024739285714285716,0.003221400762892126,0.00021964285714285673,0.0015195892967079677,1.0034717143265224,1.0017399757966094,1.001728730580544
2022-01-20,2022-01-20,75.0,看多,1.0,1.0,,1.0,3.0306,2.7271,0.003945871365900451,0.0004802672782827111,0.00012204761904761904,0.003823823746852832,0.0001083888888888885,0.0003718783893938226,1.365873015873054e-05,0.003451945357459009,4.49999999999999,0.42999999999900756,4.070000000000983,8.300000000000043,2.1899999999989985,6.110000000001045,0.0003694404761904762,0.007045224509744957,0.00032803174603174523,0.0018914676861017904,1.0074312846305744,1.0022210787283323,1.00519865927072
2022-01-21,2022-01-21,65.0,中性,0.0,0.0,,0.0,3.0393,2.71,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,8.300000000000043,2.1899999999989985,6.110000000001045,0.0003694404761904762,0.007045224509744957,0.00032803174603174523,0.0018914676861017904,1.0074312846305744,1.0022210787283323,1.00519865927072
2022-01-24,2022-01-24,67.5,中性,0.0,0.0,,0.0,3.0,2.6751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.300000000000043,2.1899999999989985,6.110000000001045,0.0003694404761904762,0.007045224509744957,0.00032803174603174523,0.0018914676861017904,1.0074312846305744,1.0022210787283323,1.00519865927072
2022-01-25,2022-01-25,80.0,看多,1.0,1.0,,1.0,3.0,2.6979,0.00011904761904761905,-0.0018713812579201812,0.00011904761904761905,-0.0,0.00010615476190476191,-0.001977536019824943,1.2892857142857137e-05,0.001977536019824943,-0.0,-2.2799999999999905,2.2799999999999905,8.300000000000043,-0.09000000000099195,8.390000000001034,0.0004884880952380952,0.007045224509744957,0.0004341865079365071,-8.606833372315275e-05,1.0075512169263636,1.0003455409853075,1.007203186944742
2022-01-26,2022-01-26,65.0,中性,0.0,0.0,,0.0,3.0,2.7146,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,8.300000000000043,-0.09000000000099195,8.390000000001034,0.0004884880952380952,0.007045224509744957,0.0004341865079365071,-8.606833372315275e-05,1.0075512169263636,1.0003455409853075,1.007203186944742
2022-01-27,2022-01-27,75.0,看多,1.0,1.0,,1.0,3.0238,2.7348,-0.0019111406561050464,-0.0016407501817588487,0.00011904761904761905,-0.0020301882751526655,0.00010772222222222223,-0.0017484724039810709,1.132539682539682e-05,-0.0002817158711715946,-2.380000000000021,-2.0199999999990017,-0.3600000000010195,5.920000000000022,-2.1099999999999937,8.030000000000015,0.0006075357142857143,0.005015036234592292,0.0005419087301587294,-0.0018345407377042236,1.0056256448325875,0.9987042238571142,1.00693040122404
2022-01-28,2022-01-28,55.0,中性,0.0,0.0,,0.0,3.0134,2.7021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.920000000000022,-2.1099999999999937,8.030000000000015,0.0006075357142857143,0.005015036234592292,0.0005419087301587294,-0.0018345407377042236,1.0056256448325875,0.9987042238571142,1.00693040122404
2022-02-07,2022-02-07,85.0,看多,1.0,1.0,,1.0,3.0311,2.7256,-0.0013892345462191659,-0.0019281952288328482,0.00011957936507936469,-0.0015088139112985305,0.00010722619047619048,-0.002035421419309039,1.2353174603174213e-05,0.0005266075080105083,-1.7700000000000007,-2.3499999999999908,0.5799999999999901,4.150000000000022,-4.459999999999985,8.610000000000005,0.000727115079365079,0.003506222323293762,0.0006491349206349199,-0.0038699621570132624,1.0042285949462222,0.9967785271376578,1.0074741455656735
2022-02-08,2022-02-07,85.0,看多,1.0,1.0,,1.0,3.0303,2.7227,0.0001884151863466618,0.000359035185612969,0.00012028174603174564,6.813344031491617e-05,0.00010815873015873015,0.00025087645545423886,1.2123015873015486e-05,-0.0001827430151393227,0.07999999999900448,0.2899999999999778,-0.2100000000009733,4.229999999999026,-4.170000000000007,8.399999999999032,0.0008473968253968247,0.003574355763608678,0.00075729365079365,-0.0036190857015590237,1.0044178068640737,0.9971364057011636,1.0073023120219846
2022-02-09,2022-02-09,85.0,看多,1.0,1.0,,1.0,3.0123,2.7328,0.0016533149487413328,-0.0007658287001727479,0.00012025,0.0015330649487413329,0.0001080436507936508,-0.0008738723509663987,1.2206349206349192e-05,0.0024069372997077313,1.799999999999996,-1.010000000000004,2.81,6.029999999999022,-5.180000000000011,11.209999999999033,0.0009676468253968247,0.005107420712350011,0.0008653373015873008,-0.004492958052525422,1.0060784258389441,0.9963727700236905,1.0097409886211792
