指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-07-17,2026-07-17
交易日数,trading_days,1091,1091
期末净值,final_nav,1.0970896388097588,1.0524863451500464
累计收益率,total_return,0.09708963880975885,0.052486345150046354
年化收益率,annual_return,0.02165362733542131,0.011896945184704855
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.00765362733542131,-0.0021030548152951457
年化波动率,annual_volatility,0.010391141145859463,0.011791687784296893
夏普比率,sharpe,0.7365531107688817,-0.17835061899245708
最大回撤,max_drawdown,-0.006243225367345229,-0.016320300805512722
最大回撤起点,max_drawdown_start,2022-02-10,2022-01-13
最大回撤终点,max_drawdown_end,2022-04-08,2022-07-08
Calmar比率,calmar,3.4683398502125447,0.728966048265867
日胜率_参考,win_rate,0.13565536205316223,0.12373968835930339
调仓周期数,signal_period_count,1072,1072
盈利调仓周期数,winning_signal_periods,141,129
调仓周期胜率,signal_period_win_rate,0.13152985074626866,0.12033582089552239
单周期平均收益,avg_signal_period_return,8.665682443196553e-05,4.799266869644587e-05
累计资本利得_BP（收益率变动）,capital_gain_total_bp,79.67000000000283,33.659999999998135
年化资本利得_BP,capital_gain_annualized_bp,18.4191192660557,7.78194495412801
资本利得交易笔数,capital_gain_trade_count,77,77
已平仓交易笔数,capital_gain_closed_trade_count,77,77
资本利得盈利笔数,capital_gain_winning_trades,44,42
资本利得亏损笔数,capital_gain_losing_trades,32,35
资本利得持平笔数,capital_gain_flat_trades,1,0
资本利得交易胜率,capital_gain_trade_win_rate,0.5714285714285714,0.5454545454545454
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.0346753246753615,0.4371428571428329
资本利得中位数_BP,capital_gain_median_trade_bp,0.24000000000003185,0.24999999999997247
平均每笔盈利_BP,capital_gain_avg_win_bp,2.797272727272794,2.765714285714238
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.3565625000000034,-2.357142857142854
资本利得盈亏比,capital_gain_profit_loss_ratio,2.0620301145526185,1.1733333333333147
最佳交易_BP,capital_gain_best_trade_bp,15.530000000000022,14.65000000000001
最差交易_BP,capital_gain_worst_trade_bp,-7.410000000000991,-9.469999999999999
平均每笔持有交易日,capital_gain_avg_holding_days,2.961038961038961,2.961038961038961
最长单笔持有交易日,capital_gain_max_holding_days,20,20
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-8.389999999999993,-25.33000000000191
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-02-09,2022-01-13
资本利得最大回撤终点,capital_gain_max_drawdown_end,2022-04-08,2022-11-30
最长连续亏损笔数,capital_gain_longest_losing_streak,3,5
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
