交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-01-17,2022-01-21,2022-01-21,多头,1.0,1.0,5,8.139999999999988,7.600000000000003,0.5399999999999849,是,是,已平仓
2,2022-02-14,2022-02-18,2022-02-18,多头,1.0,1.0,5,-2.2799999999999905,-0.8400000000000074,-1.439999999999983,否,是,已平仓
3,2022-04-11,2022-04-22,2022-04-22,多头,1.0,1.0,10,-3.4299999999999957,-8.800000000000994,5.3700000000009975,否,是,已平仓
4,2022-05-05,2022-05-06,2022-05-06,多头,1.0,1.0,2,5.58999999999997,1.1300000000000199,4.459999999999949,是,是,已平仓
5,2022-07-04,2022-08-12,2022-08-12,多头,1.0,1.0,30,13.930000000000991,9.07999999999999,4.8500000000010015,是,是,已平仓
6,2022-08-29,2022-09-16,2022-09-16,多头,1.0,1.0,14,2.459999999998992,-3.000000000000016,5.459999999999008,是,是,已平仓
7,2022-09-26,2022-10-14,2022-10-14,多头,1.0,1.0,10,-2.899999999999986,-1.7500000000000147,-1.1499999999999715,否,是,已平仓
8,2022-11-07,2022-11-11,2022-11-11,多头,1.0,1.0,5,-1.7499999999999807,-3.3100000000000143,1.5600000000000336,否,是,已平仓
9,2022-11-21,2022-11-25,2022-11-25,多头,1.0,1.0,5,2.360000000001007,-0.49999999999997957,2.8600000000009866,是,是,已平仓
10,2023-01-03,2023-01-06,2023-01-06,多头,1.0,1.0,4,0.7199999999999913,0.25000000000000705,0.46999999999998426,是,是,已平仓
11,2023-05-04,2023-05-12,2023-05-12,多头,1.0,1.0,7,6.460000000000007,7.300000000000016,-0.8400000000000087,是,是,已平仓
12,2023-07-10,2023-07-14,2023-07-14,多头,1.0,1.0,5,4.409999999998998,-0.4099999999999937,4.819999999998992,是,是,已平仓
13,2023-11-20,2023-12-01,2023-12-01,多头,1.0,1.0,10,3.849999999999999,-1.0100000000000042,4.860000000000003,是,是,已平仓
14,2023-12-11,2024-01-05,2024-01-05,多头,1.0,1.0,19,15.800000000000015,14.610000000000005,1.1900000000000102,是,是,已平仓
15,2024-03-04,2024-03-08,2024-03-08,多头,1.0,1.0,5,7.9299999999999855,8.500000000000002,-0.5700000000000163,是,是,已平仓
16,2024-04-08,2024-04-26,2024-04-26,多头,1.0,1.0,15,7.43999999999901,-2.469999999999,9.90999999999801,是,是,已平仓
17,2024-05-13,2024-05-17,2024-05-17,多头,1.0,1.0,5,3.1500000000009996,0.44999999999899276,2.7000000000020066,是,是,已平仓
18,2024-06-11,2024-06-14,2024-06-14,多头,1.0,1.0,4,2.8300000000000196,2.7500000000009805,0.07999999999903906,是,是,已平仓
19,2024-07-22,2024-07-26,2024-07-26,多头,1.0,1.0,5,3.9800000000009965,6.700000000000976,-2.7199999999999798,是,是,已平仓
20,2024-10-14,2024-10-18,2024-10-18,多头,1.0,1.0,5,4.270000000000003,1.830000000000026,2.4399999999999773,是,是,已平仓
21,2024-11-11,2024-11-15,2024-11-15,多头,1.0,1.0,5,1.299999999999982,1.189999999999976,0.11000000000000609,是,是,已平仓
22,2025-04-21,2025-04-25,2025-04-25,多头,1.0,1.0,5,1.4399999999999828,-1.1299999999999852,2.5699999999999683,是,是,已平仓
23,2025-05-06,2025-05-16,2025-05-16,多头,1.0,1.0,9,-1.5000000000000084,-5.499999999999984,3.9999999999999756,否,是,已平仓
24,2025-06-03,2025-06-06,2025-06-06,多头,1.0,1.0,4,1.9500000000000073,1.6500000000000195,0.29999999999998783,是,是,已平仓
25,2025-06-16,2025-06-20,2025-06-20,多头,1.0,1.0,5,1.7100000000000102,0.439999999999989,1.2700000000000211,是,是,已平仓
26,2025-06-30,2025-07-04,2025-07-04,多头,1.0,1.0,5,2.7500000000000098,0.29000000000001247,2.4599999999999973,是,是,已平仓
27,2025-08-04,2025-08-08,2025-08-08,多头,1.0,1.0,5,-0.21000000000000163,1.6800000000000148,-1.8900000000000166,否,是,已平仓
28,2025-09-01,2025-09-05,2025-09-05,多头,1.0,1.0,5,0.479999999999023,1.1900000000000102,-0.7100000000009872,是,是,已平仓
29,2025-10-09,2025-10-10,2025-10-10,多头,1.0,1.0,2,-0.9200000000009895,1.449999999999993,-2.3700000000009824,否,是,已平仓
30,2025-11-03,2025-11-14,2025-11-14,多头,1.0,1.0,10,3.6399999999999975,-1.8599999999999868,5.499999999999984,是,是,已平仓
31,2025-12-29,2025-12-31,2025-12-31,多头,1.0,1.0,3,-2.109999999999994,-0.9699999999999984,-1.1399999999999957,否,是,已平仓
32,2026-03-09,2026-03-13,2026-03-13,多头,1.0,1.0,5,-0.09999999999999609,-3.3299999999999996,3.2300000000000035,否,是,已平仓
33,2026-03-30,2026-04-17,2026-04-17,多头,1.0,1.0,14,8.82999999999901,5.490000000000009,3.3399999999990015,是,是,已平仓
34,2026-05-06,2026-05-08,2026-05-08,多头,1.0,1.0,3,0.6000000000000103,-1.7500000000000155,2.350000000000026,是,是,已平仓
35,2026-05-18,2026-05-22,2026-05-22,多头,1.0,1.0,5,1.7400000000000053,1.3900000000000023,0.350000000000003,是,是,已平仓
36,2026-06-08,2026-06-12,2026-06-12,多头,1.0,1.0,5,-4.010000000000993,-2.1999999999990085,-1.8100000000019842,否,是,已平仓
