交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-02-10,2022-02-14,2022-02-14,多头,1.0,1.0,3,-5.959999999999993,-6.899999999999996,0.940000000000003,否,是,已平仓
2,2022-03-01,2022-03-01,2022-03-01,多头,1.0,1.0,1,0.950000000000048,-2.7500000000000093,3.7000000000000575,是,是,已平仓
3,2022-04-07,2022-04-07,2022-04-07,多头,1.0,1.0,1,1.7800000000000107,2.10000000000099,-0.3200000000009793,是,是,已平仓
4,2022-04-11,2022-04-12,2022-04-12,多头,1.0,1.0,2,0.9999999999999942,-1.7600000000009968,2.760000000000991,是,是,已平仓
5,2022-04-14,2022-04-18,2022-04-18,多头,1.0,1.0,3,3.3000000000000393,-4.760000000000007,8.060000000000047,是,是,已平仓
6,2022-07-08,2022-07-11,2022-07-11,多头,1.0,1.0,2,3.459999999999991,0.8999999999999981,2.559999999999993,是,是,已平仓
7,2022-08-26,2022-08-29,2022-08-29,多头,1.0,1.0,2,-0.9100000000000079,1.6499999999990136,-2.5599999999990217,否,是,已平仓
8,2022-09-07,2022-09-09,2022-09-09,多头,1.0,1.0,3,-1.9899999999990063,-2.0999999999999837,0.11000000000097732,否,是,已平仓
9,2022-09-21,2022-09-22,2022-09-22,多头,1.0,1.0,2,0.14000000000097268,1.3900000000000023,-1.2499999999990297,是,是,已平仓
10,2022-11-18,2022-11-21,2022-11-21,多头,1.0,1.0,2,2.6299999999999937,-1.5400000000000136,4.170000000000007,是,是,已平仓
11,2022-11-25,2022-11-25,2022-11-25,多头,1.0,1.0,1,-2.5599999999990213,-3.499999999999996,0.9400000000009747,否,是,已平仓
12,2022-11-30,2022-12-01,2022-12-01,多头,1.0,1.0,2,1.8299999999999912,1.9999999999999878,-0.1699999999999966,是,是,已平仓
13,2023-06-01,2023-06-01,2023-06-01,多头,1.0,1.0,1,0.9399999999999686,0.24999999999997247,0.6899999999999962,是,是,已平仓
14,2023-11-14,2023-11-30,2023-11-30,多头,1.0,1.0,13,0.7400000000000115,-2.2600000000000056,3.000000000000017,是,是,已平仓
15,2023-12-06,2023-12-19,2023-12-19,多头,1.0,1.0,10,3.4000000000010067,4.590000000000011,-1.1899999999990047,是,是,已平仓
16,2023-12-21,2023-12-21,2023-12-21,多头,1.0,1.0,1,1.7300000000000302,3.2099999999999835,-1.4799999999999534,是,是,已平仓
17,2024-01-04,2024-01-04,2024-01-04,多头,1.0,1.0,1,1.8399999999989953,1.6300000000010058,0.20999999999798957,是,是,已平仓
18,2024-01-15,2024-01-15,2024-01-15,多头,1.0,1.0,1,0.879999999999978,-0.3999999999999837,1.2799999999999616,是,是,已平仓
19,2024-02-07,2024-02-19,2024-02-19,多头,1.0,1.0,3,1.2500000000000016,1.8100000000000058,-0.5600000000000043,是,是,已平仓
20,2024-03-29,2024-03-29,2024-03-29,多头,1.0,1.0,1,0.4900000000000043,1.2500000000010072,-0.7600000000010029,是,是,已平仓
21,2024-04-03,2024-04-08,2024-04-08,多头,1.0,1.0,2,1.2100000000010018,1.0500000000000091,0.16000000000099268,是,是,已平仓
22,2024-04-10,2024-04-11,2024-04-11,多头,1.0,1.0,2,0.30999999999999783,-1.2600000000000111,1.570000000000009,是,是,已平仓
