指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-07-17,2026-07-17
交易日数,trading_days,1091,1091
期末净值,final_nav,1.1838891487041092,1.0865217611092872
累计收益率,total_return,0.18388914870410922,0.08652176110928722
年化收益率,annual_return,0.03979799188977373,0.019369934463592697
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.025797991889773733,0.005369934463592697
年化波动率,annual_volatility,0.014667699551662533,0.015467205051200505
夏普比率,sharpe,1.7588301286720602,0.3471819534180096
最大回撤,max_drawdown,-0.00887906020359408,-0.017461039605579765
最大回撤起点,max_drawdown_start,2022-02-10,2022-01-28
最大回撤终点,max_drawdown_end,2022-04-08,2022-11-30
Calmar比率,calmar,4.482230210992852,1.109323093076482
日胜率_参考,win_rate,0.26397800183318054,0.2392300641613199
调仓周期数,signal_period_count,1072,1072
盈利调仓周期数,winning_signal_periods,280,254
调仓周期胜率,signal_period_win_rate,0.26119402985074625,0.23694029850746268
单周期平均收益,avg_signal_period_return,0.0001579108857361917,7.788416550750838e-05
累计资本利得_BP（收益率变动）,capital_gain_total_bp,140.98000000000502,47.0199999999953
年化资本利得_BP,capital_gain_annualized_bp,32.59354128440483,10.870678899081481
资本利得交易笔数,capital_gain_trade_count,105,105
已平仓交易笔数,capital_gain_closed_trade_count,104,104
资本利得盈利笔数,capital_gain_winning_trades,62,55
资本利得亏损笔数,capital_gain_losing_trades,39,49
资本利得持平笔数,capital_gain_flat_trades,3,0
资本利得交易胜率,capital_gain_trade_win_rate,0.5961538461538461,0.5288461538461539
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.3483653846154329,0.4489423076922623
资本利得中位数_BP,capital_gain_median_trade_bp,0.3249999999999954,0.20499999999951113
平均每笔盈利_BP,capital_gain_avg_win_bp,3.3222580645161495,3.0898181818181105
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.6858974358973393,-2.5153061224489965
资本利得盈亏比,capital_gain_profit_loss_ratio,1.9706169508157756,1.2284064171122628
最佳交易_BP,capital_gain_best_trade_bp,18.010000000000005,14.940000000000023
最差交易_BP,capital_gain_worst_trade_bp,-7.359999999998999,-12.309999999999995
平均每笔持有交易日,capital_gain_avg_holding_days,4.390476190476191,4.390476190476191
最长单笔持有交易日,capital_gain_max_holding_days,28,28
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-14.080000000001974,-32.53999999999993
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-08-04,2022-01-28
资本利得最大回撤终点,capital_gain_max_drawdown_end,2022-11-25,2022-11-30
最长连续亏损笔数,capital_gain_longest_losing_streak,5,7
当前未平仓交易数,capital_gain_open_trade_count,1,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.7499999999999868,0.3300000000000178
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
