交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-01-17,2022-02-25,2022-02-25,多头,1.0,1.0,25,-1.8599999999999879,1.0999999999999892,-2.959999999999977,否,是,已平仓
2,2022-04-11,2022-04-15,2022-04-15,多头,1.0,1.0,5,0.7700000000000071,-0.49000000000097554,1.2600000000009826,是,是,已平仓
3,2022-05-05,2022-05-06,2022-05-06,多头,1.0,1.0,2,5.58999999999997,1.1300000000000199,4.459999999999949,是,是,已平仓
4,2022-05-16,2022-05-20,2022-05-20,多头,1.0,1.0,5,4.110000000000988,2.399999999999972,1.710000000001016,是,是,已平仓
5,2022-07-04,2022-08-12,2022-08-12,多头,1.0,1.0,30,13.930000000000991,9.07999999999999,4.8500000000010015,是,是,已平仓
6,2022-08-22,2022-09-16,2022-09-16,多头,1.0,1.0,19,-0.42000000000000326,-8.550000000000017,8.130000000000013,否,是,已平仓
7,2022-09-26,2022-10-28,2022-10-28,多头,1.0,1.0,20,0.7499999999990152,1.490000000001004,-0.7400000000019888,是,是,已平仓
8,2022-11-07,2022-11-11,2022-11-11,多头,1.0,1.0,5,-1.7499999999999807,-3.3100000000000143,1.5600000000000336,否,是,已平仓
9,2022-12-26,2023-01-06,2023-01-06,多头,1.0,1.0,9,-1.3900000000000023,-0.7700000000000071,-0.6199999999999952,否,是,已平仓
10,2023-02-27,2023-03-03,2023-03-03,多头,1.0,1.0,5,0.6300000000000056,0.999999999999994,-0.36999999999998845,是,是,已平仓
11,2023-04-17,2023-04-21,2023-04-21,多头,1.0,1.0,5,1.270000000000021,0.23000000000002196,1.039999999999999,是,是,已平仓
12,2023-05-04,2023-05-12,2023-05-12,多头,1.0,1.0,7,6.460000000000007,7.300000000000016,-0.8400000000000087,是,是,已平仓
13,2023-05-29,2023-06-02,2023-06-02,多头,1.0,1.0,5,0.18000000000097804,2.540000000000007,-2.359999999999029,是,是,已平仓
14,2023-07-10,2023-07-21,2023-07-21,多头,1.0,1.0,10,6.759999999999023,3.240000000000985,3.5199999999980376,是,是,已平仓
15,2023-08-07,2023-08-11,2023-08-11,多头,1.0,1.0,5,2.370000000000011,0.879999999999978,1.490000000000033,是,是,已平仓
16,2023-08-28,2023-09-01,2023-09-01,多头,1.0,1.0,5,-0.5000000000000142,-1.4799999999990172,0.979999999999003,否,是,已平仓
17,2023-09-25,2023-10-13,2023-10-13,多头,1.0,1.0,9,-1.8199999999999812,0.7400000000000118,-2.559999999999993,否,是,已平仓
18,2023-11-13,2023-12-01,2023-12-01,多头,1.0,1.0,15,3.300000000000004,-1.8100000000000058,5.11000000000001,是,是,已平仓
19,2023-12-11,2024-01-05,2024-01-05,多头,1.0,1.0,19,15.800000000000015,14.610000000000005,1.1900000000000102,是,是,已平仓
20,2024-01-22,2024-01-26,2024-01-26,多头,1.0,1.0,5,1.3499999999989911,0.3300000000000178,1.0199999999989733,是,是,已平仓
21,2024-03-04,2024-03-08,2024-03-08,多头,1.0,1.0,5,7.9299999999999855,8.500000000000002,-0.5700000000000163,是,是,已平仓
22,2024-04-08,2024-04-30,2024-04-30,多头,1.0,1.0,17,7.430000000000005,-1.9100000000000046,9.34000000000001,是,是,已平仓
23,2024-05-13,2024-05-17,2024-05-17,多头,1.0,1.0,5,3.1500000000009996,0.44999999999899276,2.7000000000020066,是,是,已平仓
24,2024-05-27,2024-05-31,2024-05-31,多头,1.0,1.0,5,0.6699999999990047,2.0799999999999983,-1.4100000000009936,是,是,已平仓
25,2024-06-11,2024-06-14,2024-06-14,多头,1.0,1.0,4,2.8300000000000196,2.7500000000009805,0.07999999999903906,是,是,已平仓
