信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,供给_发行量_得分,供给_发行量_定性,供给_发行占比_得分,供给_发行占比_定性,供给_10Y以上发行_得分,供给_10Y以上发行_定性,供给_发飞惩罚_得分,供给_发飞惩罚_定性,银行需求_得分,银行需求_定性,利差_地方债国债_得分,利差_地方债国债_定性,利差_周度变化_得分,利差_周度变化_定性,利差_地方债NCD_得分,利差_地方债NCD_定性,非银情绪_得分,非银情绪_定性
2022-01-13,2022-01-14,1.0,看多,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,0.0,中性,5.0,中性,0.0,中性,0.0,利多,0.0,利空,25.0,利多,0.0,利空,40.0,利多
2022-01-14,2022-01-17,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,中性,0.0,中性,5.0,中性,0.0,中性,0.0,利多,5.0,中性,0.0,利空,0.0,利空,40.0,利多
2022-01-17,2022-01-18,1.0,看多,0.002030075363925521,0.000757413748194935,0.001272661615730586,0.00012473015873015874,0.001905345205195369,2.2500000000000298,0.7499999999990153,1.5000000000010143,是,有效进攻,是,否,有效进攻,0.0,利空,0.0,中性,5.0,中性,0.0,中性,0.0,利空,0.0,利空,25.0,利多,0.0,利空,40.0,利多
2022-01-18,2022-01-19,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,0.0,利空,0.0,利空,0.0,中性,0.0,利空,0.0,利空,25.0,利多,0.0,中性,40.0,利多
2022-01-19,2022-01-20,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,0.0,利空,0.0,利空,0.0,中性,0.0,中性,0.0,利空,25.0,利多,0.0,中性,40.0,利多
2022-01-20,2022-01-21,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,0.0,利空,0.0,利空,0.0,中性,0.0,利空,0.0,利空,25.0,利多,0.0,利多,40.0,利多
2022-01-21,2022-01-24,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,0.0,利空,0.0,利空,0.0,中性,0.0,中性,0.0,利空,25.0,利多,0.0,利多,40.0,利多
2022-01-24,2022-01-25,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,0.0,利空,0.0,利空,0.0,中性,0.0,中性,0.0,利空,25.0,利多,0.0,中性,40.0,利多
2022-01-25,2022-01-26,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,0.0,利空,0.0,利空,0.0,中性,0.0,利多,5.0,中性,12.5,中性,0.0,利多,40.0,利多
2022-01-26,2022-01-27,1.0,看多,0.00011904761904757422,-0.0013397012818213705,0.0014587489008689447,0.00011904761904761905,0.0,0.0,-1.6700000000000048,1.6700000000000048,否,其他,否,否,其他,7.5,中性,0.0,中性,0.0,利空,0.0,中性,0.0,利多,0.0,利空,25.0,利多,0.0,中性,40.0,利多
2022-01-27,2022-01-28,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,中性,0.0,利空,0.0,利空,0.0,中性,0.0,利多,5.0,中性,0.0,利空,0.0,利多,40.0,利多
2022-01-28,2022-02-07,1.0,看多,0.0010060566023295525,0.0029360353060963185,-0.001929978703766766,0.0001199920634920635,0.0008860645388375815,1.0400000000010055,3.269999999999003,-2.2299999999979976,是,有效进攻,是,否,有效进攻,15.0,利多,0.0,利空,5.0,中性,0.0,中性,0.0,中性,0.0,利空,25.0,利多,0.0,利多,40.0,利多
2022-02-07,2022-02-08,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,中性,0.0,利多,5.0,中性,0.0,中性,0.0,中性,5.0,中性,0.0,利空,0.0,利多,40.0,利多
2022-02-08,2022-02-09,1.0,看多,0.00018841518634671317,0.00035903518561286596,-0.0001706199992661528,0.00012028174603174564,6.813344031491617e-05,0.07999999999900448,0.2899999999999778,-0.2100000000009733,是,有效进攻,是,否,有效进攻,7.5,中性,0.0,利多,5.0,中性,0.0,中性,0.0,中性,0.0,利空,25.0,利多,0.0,中性,40.0,利多
2022-02-09,2022-02-10,1.0,看多,0.0016533149487414356,-0.0007658287001727215,0.002419143648914157,0.00012025,0.0015330649487413329,1.799999999999996,-1.010000000000004,2.81,是,其他,否,否,其他,15.0,利多,0.0,利多,5.0,中性,0.0,中性,0.0,中性,0.0,利空,12.5,中性,0.0,中性,40.0,利多
2022-02-10,2022-02-11,1.0,看多,8.543631118018702e-05,0.00010844444444435553,-2.3008133264168507e-05,0.00011953571428571429,-3.4099403105600515e-05,-0.04000000000000531,0.0,-0.04000000000000531,否,其他,是,否,有效进攻,15.0,利多,0.0,利多,5.0,中性,0.0,中性,0.0,中性,0.0,利空,25.0,利多,0.0,中性,40.0,利多
2022-02-11,2022-02-14,1.0,看多,-0.004603119365178099,-0.004760217762742713,0.00015709839756461452,0.00011955158730158731,-0.004722670952479685,-5.539999999999989,-5.629999999999975,0.08999999999998565,否,其他,否,是,其他,15.0,利多,0.0,利多,10.0,利多,0.0,中性,0.0,中性,0.0,利空,25.0,利多,0.0,利多,40.0,利多
2022-02-14,2022-02-15,1.0,看多,-0.0002012740665595647,-0.0009844111541446043,0.0007831370875850396,0.00012175,-0.00032302406655951613,-0.3799999999999984,-1.2700000000000211,0.8900000000000228,否,其他,否,是,其他,15.0,利多,0.0,利多,5.0,中性,0.0,中性,0.0,利多,5.0,中性,12.5,中性,0.0,利多,40.0,利多
2022-02-15,2022-02-16,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,中性,0.0,利多,5.0,中性,0.0,中性,0.0,利多,0.0,利空,12.5,中性,0.0,利多,40.0,利多
2022-02-16,2022-02-17,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,0.0,中性,0.0,利空,0.0,中性,0.0,利多,5.0,中性,12.5,中性,0.0,利多,40.0,利多
2022-02-17,2022-02-18,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,0.0,中性,0.0,利空,0.0,中性,0.0,利多,5.0,中性,0.0,利空,0.0,利多,40.0,利多
2022-02-18,2022-02-21,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,0.0,利空,0.0,利空,0.0,中性,0.0,中性,5.0,中性,0.0,利空,0.0,利多,40.0,利多
2022-02-21,2022-02-22,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,0.0,利空,0.0,利空,0.0,中性,0.0,中性,0.0,利空,25.0,利多,0.0,利多,40.0,利多
2022-02-22,2022-02-23,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,0.0,利空,0.0,利空,0.0,中性,0.0,中性,0.0,利空,25.0,利多,0.0,中性,40.0,利多
2022-02-23,2022-02-24,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,0.0,利空,0.0,利空,0.0,中性,0.0,中性,5.0,中性,12.5,中性,0.0,利多,40.0,利多
2022-02-24,2022-02-25,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,中性,0.0,利空,0.0,利空,0.0,中性,0.0,中性,5.0,中性,0.0,利空,0.0,利多,40.0,利多
2022-02-25,2022-02-28,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,中性,0.0,利空,0.0,利空,0.0,中性,0.0,中性,5.0,中性,0.0,利空,0.0,中性,40.0,利多
2022-02-28,2022-03-01,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,7.5,中性,0.0,中性,5.0,中性,0.0,中性,0.0,中性,10.0,利多,0.0,利空,0.0,中性,0.0,利空
