日期,信号日期,总分,结论,目标仓位,仓位,止盈止损事件,条件基准仓位,交易标的到期收益率_百分比,比较基准到期收益率_百分比,策略日收益率,基准日收益率,策略票息Carry收益,策略资本利得收益,基准票息Carry收益,基准资本利得收益,票息Carry超额,资本利得超额,策略资本利得_BP,基准资本利得_BP,资本利得超额_BP,策略累计资本利得_BP,基准累计资本利得_BP,累计资本利得超额_BP,策略累计票息Carry,策略累计资本利得,基准累计票息Carry,基准累计资本利得,策略净值,基准净值,超额净值
2022-01-13,2022-01-13,70.0,看多,1.0,1.0,,1.0,3.1432,2.7858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2022-01-14,2022-01-14,57.5,中性,0.0,0.0,,0.0,3.1432,2.7935,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2022-01-17,2022-01-17,70.0,看多,1.0,1.0,,1.0,3.1207,2.786,0.002030075363925528,0.0007574137481949736,0.00012473015873015874,0.001905345205195369,0.00011085317460317421,0.0006465605735917994,1.3876984126984536e-05,0.0012587846316035696,2.2500000000000298,0.7499999999990153,1.5000000000010143,2.2500000000000298,0.7499999999990153,1.5000000000010143,0.00012473015873015874,0.001905345205195369,0.00011085317460317421,0.0006465605735917994,1.0020300753639255,1.000757413748195,1.0012716984138683
2022-01-18,2022-01-18,65.0,中性,0.0,0.0,,0.0,3.0911,2.7415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2500000000000298,0.7499999999990153,1.5000000000010143,0.00012473015873015874,0.001905345205195369,0.00011085317460317421,0.0006465605735917994,1.0020300753639255,1.000757413748195,1.0012716984138683
2022-01-19,2022-01-19,65.0,中性,0.0,0.0,,0.0,3.0756,2.7314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2500000000000298,0.7499999999990153,1.5000000000010143,0.00012473015873015874,0.001905345205195369,0.00011085317460317421,0.0006465605735917994,1.0020300753639255,1.000757413748195,1.0012716984138683
2022-01-20,2022-01-20,65.0,中性,0.0,0.0,,0.0,3.0306,2.7271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2500000000000298,0.7499999999990153,1.5000000000010143,0.00012473015873015874,0.001905345205195369,0.00011085317460317421,0.0006465605735917994,1.0020300753639255,1.000757413748195,1.0012716984138683
2022-01-21,2022-01-21,65.0,中性,0.0,0.0,,0.0,3.0393,2.71,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,2.2500000000000298,0.7499999999990153,1.5000000000010143,0.00012473015873015874,0.001905345205195369,0.00011085317460317421,0.0006465605735917994,1.0020300753639255,1.000757413748195,1.0012716984138683
2022-01-24,2022-01-24,65.0,中性,0.0,0.0,,0.0,3.0,2.6751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2500000000000298,0.7499999999990153,1.5000000000010143,0.00012473015873015874,0.001905345205195369,0.00011085317460317421,0.0006465605735917994,1.0020300753639255,1.000757413748195,1.0012716984138683
2022-01-25,2022-01-25,57.5,中性,0.0,0.0,,0.0,3.0,2.6979,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,2.2500000000000298,0.7499999999990153,1.5000000000010143,0.00012473015873015874,0.001905345205195369,0.00011085317460317421,0.0006465605735917994,1.0020300753639255,1.000757413748195,1.0012716984138683
2022-01-26,2022-01-26,72.5,看多,1.0,1.0,,1.0,3.0,2.7146,0.00011904761904761905,-0.001339701281821383,0.00011904761904761905,-0.0,0.00010705952380952381,-0.0014467608056309069,1.1988095238095236e-05,0.0014467608056309069,-0.0,-1.6700000000000048,1.6700000000000048,2.2500000000000298,-0.9200000000009895,3.170000000001019,0.0002437777777777778,0.001905345205195369,0.00021791269841269802,-0.0008002002320391075,1.0021493646586117,0.9994166977582042,1.0027342618014459
2022-01-27,2022-01-27,52.5,中性,0.0,0.0,,0.0,3.0238,2.7348,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,2.2500000000000298,-0.9200000000009895,3.170000000001019,0.0002437777777777778,0.001905345205195369,0.00021791269841269802,-0.0008002002320391075,1.0021493646586117,0.9994166977582042,1.0027342618014459
2022-01-28,2022-01-28,85.0,看多,1.0,1.0,,1.0,3.0134,2.7021,0.0010060566023296451,0.002936035306096271,0.0001199920634920635,0.0008860645388375815,0.00010852380952380913,0.002827511496572462,1.1468253968254365e-05,-0.0019414469577348804,1.0400000000010055,3.269999999999003,-2.2299999999979976,3.290000000001035,2.3499999999980137,0.9400000000030215,0.0003637698412698413,0.0027914097440329506,0.00032643650793650713,0.0020273112645333544,1.0031575836434468,1.0023510204683244,1.0008046713762466
2022-02-07,2022-02-07,57.5,中性,0.0,0.0,,0.0,3.0311,2.7256,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,3.290000000001035,2.3499999999980137,0.9400000000030215,0.0003637698412698413,0.0027914097440329506,0.00032643650793650713,0.0020273112645333544,1.0031575836434468,1.0023510204683244,1.0008046713762466
2022-02-08,2022-02-08,77.5,看多,1.0,1.0,,1.0,3.0303,2.7227,0.0001884151863466618,0.000359035185612969,0.00012028174603174564,6.813344031491617e-05,0.00010815873015873015,0.00025087645545423886,1.2123015873015486e-05,-0.0001827430151393227,0.07999999999900448,0.2899999999999778,-0.2100000000009733,3.3700000000000396,2.6399999999979915,0.7300000000020482,0.0004840515873015869,0.002859543184347867,0.0004345952380952373,0.002278187719987593,1.003346593766504,1.0027108997530074,1.0006339753698232
2022-02-09,2022-02-09,72.5,看多,1.0,1.0,,1.0,3.0123,2.7328,0.0016533149487413328,-0.0007658287001727479,0.00012025,0.0015330649487413329,0.0001080436507936508,-0.0008738723509663987,1.2206349206349192e-05,0.0024069372997077313,1.799999999999996,-1.010000000000004,2.81,5.1700000000000355,1.6299999999979875,3.540000000002048,0.0006043015873015869,0.0043926081330891995,0.0005426388888888881,0.0014043153690211944,1.005005441688747,1.0019429949680005,1.003056507941197
2022-02-10,2022-02-10,85.0,看多,1.0,1.0,,1.0,3.0127,2.7328,8.543631118011378e-05,0.00010844444444444446,0.00011953571428571429,-3.4099403105600515e-05,0.00010844444444444446,-0.0,1.1091269841269832e-05,-3.4099403105600515e-05,-0.04000000000000531,-0.0,-0.04000000000000531,5.13000000000003,1.6299999999979875,3.500000000002043,0.0007238373015873012,0.004358508729983599,0.0006510833333333325,0.0014043153690211944,1.005091305646401,1.0020516501194547,1.0030334319858503
2022-02-11,2022-02-11,90.0,看多,1.0,1.0,,1.0,3.0681,2.7891,-0.004603119365178098,-0.004760217762742729,0.00011955158730158731,-0.004722670952479685,0.00010844444444444446,-0.004868662207187174,1.110714285714285e-05,0.00014599125470748844,-5.539999999999989,-5.629999999999975,0.08999999999998565,-0.4099999999999593,-4.000000000001988,3.5900000000020285,0.0008433888888888885,-0.00036416222249608613,0.0007595277777777769,-0.0034643468381659794,1.000464750393608,0.9972816660553705,1.0031917606094451
2022-02-14,2022-02-14,77.5,看多,1.0,1.0,,1.0,3.0719,2.8018,-0.00020127406655951613,-0.0009844111541446427,0.00012175,-0.00032302406655951613,0.00011067857142857143,-0.0010950897255732142,1.107142857142858e-05,0.000772065659013698,-0.3799999999999984,-1.2700000000000211,0.8900000000000228,-0.7899999999999576,-5.270000000002009,4.480000000002051,0.0009651388888888885,-0.0006871862890556023,0.0008702063492063484,-0.004559436563739193,1.0002633827848466,0.9962999308594817,1.0039781714347262
2022-02-15,2022-02-15,65.0,中性,0.0,0.0,,0.0,3.0875,2.7968,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.7899999999999576,-5.270000000002009,4.480000000002051,0.0009651388888888885,-0.0006871862890556023,0.0008702063492063484,-0.004559436563739193,1.0002633827848466,0.9962999308594817,1.0039781714347262
2022-02-16,2022-02-16,57.5,中性,0.0,0.0,,0.0,3.0974,2.7892,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.7899999999999576,-5.270000000002009,4.480000000002051,0.0009651388888888885,-0.0006871862890556023,0.0008702063492063484,-0.004559436563739193,1.0002633827848466,0.9962999308594817,1.0039781714347262
2022-02-17,2022-02-17,45.0,中性,0.0,0.0,,0.0,3.0986,2.7799,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.7899999999999576,-5.270000000002009,4.480000000002051,0.0009651388888888885,-0.0006871862890556023,0.0008702063492063484,-0.004559436563739193,1.0002633827848466,0.9962999308594817,1.0039781714347262
2022-02-18,2022-02-18,45.0,中性,0.0,0.0,,0.0,3.0909,2.7975,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.7899999999999576,-5.270000000002009,4.480000000002051,0.0009651388888888885,-0.0006871862890556023,0.0008702063492063484,-0.004559436563739193,1.0002633827848466,0.9962999308594817,1.0039781714347262
2022-02-21,2022-02-21,65.0,中性,0.0,0.0,,0.0,3.1083,2.83,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.7899999999999576,-5.270000000002009,4.480000000002051,0.0009651388888888885,-0.0006871862890556023,0.0008702063492063484,-0.004559436563739193,1.0002633827848466,0.9962999308594817,1.0039781714347262
