指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-07-20,2026-07-20
交易日数,trading_days,1090,1090
期末净值,final_nav,1.171305083077733,1.1369527915195168
累计收益率,total_return,0.17130508307773296,0.13695279151951678
年化收益率,annual_return,0.03726705655682694,0.03014669906406886
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.02326705655682694,0.016146699064068862
年化波动率,annual_volatility,0.01433809059553736,0.01504134812004247
夏普比率,sharpe,1.6227444234498465,1.0734874916267325
最大回撤,max_drawdown,-0.011431558357732574,-0.012473781099144765
最大回撤起点,max_drawdown_start,2022-01-26,2022-08-04
最大回撤终点,max_drawdown_end,2022-04-13,2022-09-30
Calmar比率,calmar,3.2600154231482033,2.4168052032062515
日胜率_参考,win_rate,0.25779816513761467,0.24403669724770644
调仓周期数,signal_period_count,221,221
盈利调仓周期数,winning_signal_periods,69,63
调仓周期胜率,signal_period_win_rate,0.31221719457013575,0.2850678733031674
单周期平均收益,avg_signal_period_return,0.0007180958501156102,0.000583643701082774
累计资本利得_BP（收益率变动）,capital_gain_total_bp,131.1399999999981,99.8100000000019
年化资本利得_BP,capital_gain_annualized_bp,30.3464462809913,23.096528925620273
资本利得交易笔数,capital_gain_trade_count,47,47
已平仓交易笔数,capital_gain_closed_trade_count,46,46
资本利得盈利笔数,capital_gain_winning_trades,32,33
资本利得亏损笔数,capital_gain_losing_trades,14,13
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.6956521739130435,0.717391304347826
平均单笔资本利得_BP,capital_gain_avg_trade_bp,2.84978260869561,2.1804347826087374
资本利得中位数_BP,capital_gain_median_trade_bp,1.2850000000000015,1.159999999999998
平均每笔盈利_BP,capital_gain_avg_win_bp,4.99624999999997,4.099393939393998
平均每笔亏损_BP,capital_gain_avg_loss_bp,-2.0564285714286377,-2.6907692307692317
资本利得盈亏比,capital_gain_profit_loss_ratio,2.4295762417505147,1.5235026075506564
最佳交易_BP,capital_gain_best_trade_bp,33.769999999999015,31.879999999999995
最差交易_BP,capital_gain_worst_trade_bp,-7.929999999999014,-8.550000000000017
平均每笔持有交易日,capital_gain_avg_holding_days,9.553191489361701,9.553191489361701
最长单笔持有交易日,capital_gain_max_holding_days,41,41
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-16.350000000000012,-18.090000000001027
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-01-24,2022-08-04
资本利得最大回撤终点,capital_gain_max_drawdown_end,2022-04-13,2022-09-30
最长连续亏损笔数,capital_gain_longest_losing_streak,2,2
当前未平仓交易数,capital_gain_open_trade_count,1,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.05000000000001531,-0.4900000000000043
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
