交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-01-13,2022-01-14,2022-01-14,多头,1.0,1.0,2,0.0,-0.7699999999990006,0.7699999999990006,否,是,已平仓
2,2022-01-26,2022-01-26,2022-01-26,多头,1.0,1.0,1,0.0,-1.6700000000000048,1.6700000000000048,否,是,已平仓
3,2022-01-28,2022-02-15,2022-02-15,多头,1.0,1.0,8,-6.369999999999987,-6.200000000000996,-0.16999999999899096,否,是,已平仓
4,2022-03-01,2022-03-03,2022-03-03,多头,1.0,1.0,3,-0.4799999999999942,-5.499999999999984,5.01999999999999,否,是,已平仓
5,2022-04-08,2022-04-11,2022-04-11,多头,1.0,1.0,2,1.670000000000005,-2.859999999999981,4.529999999999986,是,是,已平仓
6,2022-04-14,2022-04-18,2022-04-18,多头,1.0,1.0,3,3.3000000000000393,-4.760000000000007,8.060000000000047,是,是,已平仓
7,2022-04-28,2022-05-05,2022-05-05,多头,1.0,1.0,3,2.5999999999999983,1.290000000000978,1.3099999999990204,是,是,已平仓
8,2022-06-30,2022-07-04,2022-07-04,多头,1.0,1.0,3,1.1299999999999852,-1.5100000000000182,2.6400000000000032,是,是,已平仓
9,2022-07-06,2022-08-12,2022-08-12,多头,1.0,1.0,28,11.960000000000997,9.860000000000007,2.100000000000991,是,是,已平仓
10,2022-08-23,2022-08-23,2022-08-23,多头,1.0,1.0,1,-0.429999999999979,-1.5000000000010143,1.0700000000010352,否,是,已平仓
11,2022-08-25,2022-08-30,2022-08-30,多头,1.0,1.0,4,0.09999999999902487,-0.3000000000009939,0.4000000000000188,是,是,已平仓
12,2022-09-05,2022-09-05,2022-09-05,多头,1.0,1.0,1,0.04999999999900917,0.460000000000009,-0.41000000000099984,是,是,已平仓
13,2022-09-07,2022-09-07,2022-09-07,多头,1.0,1.0,1,-0.470000000000019,-0.7499999999999868,0.2799999999999678,否,是,已平仓
