training_rank,training_objective,training_capital_gain_total_bp,training_capital_gain_excess_bp,oos_capital_gain_total_bp,oos_capital_gain_excess_bp
1,122.53945652174511,100.43000000000401,64.09000000000785,40.70999999999905,37.18000000000003
2,122.53945652174511,100.43000000000401,64.09000000000785,40.70999999999905,37.18000000000003
3,122.53945652174511,100.43000000000401,64.09000000000785,40.70999999999905,37.18000000000003
4,122.53945652174511,100.43000000000401,64.09000000000785,40.70999999999905,37.18000000000003
5,122.53945652174511,100.43000000000401,64.09000000000785,40.70999999999905,37.18000000000003
6,122.53945652174511,100.43000000000401,64.09000000000785,40.70999999999905,37.18000000000003
7,122.53945652174511,100.43000000000401,64.09000000000785,40.70999999999905,37.18000000000003
8,122.53945652174511,100.43000000000401,64.09000000000785,40.70999999999905,37.18000000000003
9,122.53945652174511,100.43000000000401,64.09000000000785,40.70999999999905,37.18000000000003
10,122.53945652174511,100.43000000000401,64.09000000000785,40.70999999999905,37.18000000000003
11,122.53945652174511,100.43000000000401,64.09000000000785,40.70999999999905,37.18000000000003
12,122.53945652174511,100.43000000000401,64.09000000000785,40.70999999999905,37.18000000000003
13,122.53945652174511,100.43000000000401,64.09000000000785,40.70999999999905,37.18000000000003
14,122.53945652174511,100.43000000000401,64.09000000000785,40.70999999999905,37.18000000000003
15,122.53945652174511,100.43000000000401,64.09000000000785,40.70999999999905,37.18000000000003
16,122.53945652174511,100.43000000000401,64.09000000000785,40.70999999999905,37.18000000000003
17,122.53945652174511,100.43000000000401,64.09000000000785,40.70999999999905,37.18000000000003
18,122.53945652174511,100.43000000000401,64.09000000000785,40.70999999999905,37.18000000000003
19,122.53945652174511,100.43000000000401,64.09000000000785,40.70999999999905,37.18000000000003
20,122.53945652174511,100.43000000000401,64.09000000000785,40.70999999999905,37.18000000000003
