交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-03-01,2022-03-01,2022-03-01,多头,1.0,1.0,1,0.950000000000048,-2.7500000000000093,3.7000000000000575,是,是,已平仓
2,2022-04-07,2022-04-07,2022-04-07,多头,1.0,1.0,1,1.7800000000000107,2.10000000000099,-0.3200000000009793,是,是,已平仓
3,2023-10-27,2023-10-30,2023-10-30,多头,1.0,1.0,2,3.060000000000007,0.11000000000000593,2.950000000000001,是,是,已平仓
4,2023-11-02,2023-11-02,2023-11-02,多头,1.0,1.0,1,1.269999999999015,2.999999999999982,-1.7300000000009668,是,是,已平仓
5,2023-11-08,2023-11-23,2023-11-23,多头,1.0,1.0,12,1.3699999999990111,-3.9099999999999904,5.279999999999001,是,是,已平仓
6,2023-11-29,2023-12-01,2023-12-01,多头,1.0,1.0,3,4.3300000000000285,2.7299999999999893,1.6000000000000392,是,是,已平仓
7,2023-12-06,2023-12-14,2023-12-14,多头,1.0,1.0,7,1.3200000000000016,2.74,-1.4199999999999986,是,是,已平仓
8,2023-12-18,2023-12-19,2023-12-19,多头,1.0,1.0,2,1.000000000001,0.3600000000000132,0.6400000000009869,是,是,已平仓
9,2025-03-05,2025-03-14,2025-03-14,多头,1.0,1.0,8,-13.939999999999994,-12.379999999999995,-1.5599999999999987,否,是,已平仓
10,2025-03-27,2025-04-08,2025-04-08,多头,1.0,1.0,8,15.779999999999994,13.100000000000021,2.679999999999973,是,是,已平仓
11,2025-04-14,2025-04-14,2025-04-14,多头,1.0,1.0,1,0.04000000000000531,-0.16000000000002124,0.20000000000002655,是,是,已平仓
12,2025-04-16,2025-04-23,2025-04-23,多头,1.0,1.0,6,3.1900000000010045,-0.28000000000000247,3.470000000001007,是,是,已平仓
13,2025-04-28,2025-05-08,2025-05-08,多头,1.0,1.0,6,6.040000000000004,2.7500000000000098,3.289999999999994,是,是,已平仓
14,2025-09-03,2025-09-03,2025-09-03,多头,1.0,1.0,1,1.250000000000001,1.8299999999999914,-0.5799999999999903,是,是,已平仓
15,2025-09-30,2025-10-14,2025-10-14,多头,1.0,1.0,5,1.770000000000001,5.020000000000024,-3.2500000000000235,是,是,已平仓
16,2025-12-09,2025-12-11,2025-12-11,多头,1.0,1.0,3,0.8999999999999981,0.9500000000000134,-0.050000000000015254,是,是,已平仓
