指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-07-17,2026-07-17
交易日数,trading_days,1091,1091
期末净值,final_nav,1.0332196327500007,1.0193323389805027
累计收益率,total_return,0.03321963275000073,0.019332338980502684
年化收益率,annual_return,0.0075839396897730005,0.004436653781429767
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,-0.006416060310227,-0.009563346218570233
年化波动率,annual_volatility,0.0069078950763298745,0.008259608317837496
夏普比率,sharpe,-0.9288010659298862,-1.1578450031240801
最大回撤,max_drawdown,-0.01294642175181604,-0.016366561043195227
最大回撤起点,max_drawdown_start,2023-12-19,2023-12-13
最大回撤终点,max_drawdown_end,2025-03-27,2025-03-11
Calmar比率,calmar,0.5857942708153452,0.2710803918868715
日胜率_参考,win_rate,0.04216315307057745,0.03758020164986251
调仓周期数,signal_period_count,1072,1072
盈利调仓周期数,winning_signal_periods,46,41
调仓周期胜率,signal_period_win_rate,0.04291044776119403,0.03824626865671642
单周期平均收益,avg_signal_period_return,3.058158290289064e-05,1.7999558313672646e-05
累计资本利得_BP（收益率变动）,capital_gain_total_bp,30.110000000000134,15.210000000001022
年化资本利得_BP,capital_gain_annualized_bp,6.961211009174343,3.5164403669727133
资本利得交易笔数,capital_gain_trade_count,16,16
已平仓交易笔数,capital_gain_closed_trade_count,16,16
资本利得盈利笔数,capital_gain_winning_trades,15,11
资本利得亏损笔数,capital_gain_losing_trades,1,5
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.9375,0.6875
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.8818750000000084,0.950625000000064
资本利得中位数_BP,capital_gain_median_trade_bp,1.3449999999995064,1.3900000000000023
平均每笔盈利_BP,capital_gain_avg_win_bp,2.936666666666676,3.153636363636458
平均每笔亏损_BP,capital_gain_avg_loss_bp,-13.939999999999994,-3.8960000000000035
资本利得盈亏比,capital_gain_profit_loss_ratio,0.21066475370636134,0.8094549187978581
最佳交易_BP,capital_gain_best_trade_bp,15.779999999999994,13.100000000000021
最差交易_BP,capital_gain_worst_trade_bp,-13.939999999999994,-12.379999999999995
平均每笔持有交易日,capital_gain_avg_holding_days,4.1875,4.1875
最长单笔持有交易日,capital_gain_max_holding_days,12,12
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-15.270000000000005,-18.879999999999
资本利得最大回撤起点,capital_gain_max_drawdown_start,2023-12-19,2023-12-13
资本利得最大回撤终点,capital_gain_max_drawdown_end,2025-03-27,2025-03-11
最长连续亏损笔数,capital_gain_longest_losing_streak,1,2
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
