training_rank,training_objective,training_capital_gain_total_bp,training_capital_gain_excess_bp,oos_capital_gain_total_bp,oos_capital_gain_excess_bp
1,122.64100000000043,81.33000000000102,54.460000000001,15.379999999997064,23.459999999996022
2,122.64100000000043,81.33000000000102,54.460000000001,15.379999999997064,23.459999999996022
3,122.64100000000043,81.33000000000102,54.460000000001,15.379999999997064,23.459999999996022
4,122.64100000000043,81.33000000000102,54.460000000001,15.379999999997064,23.459999999996022
5,122.64100000000043,81.33000000000102,54.460000000001,15.379999999997064,23.459999999996022
6,122.64100000000043,81.33000000000102,54.460000000001,15.379999999997064,23.459999999996022
7,122.64100000000043,81.33000000000102,54.460000000001,15.379999999997064,23.459999999996022
8,122.64100000000043,81.33000000000102,54.460000000001,15.379999999997064,23.459999999996022
9,122.64100000000043,81.33000000000102,54.460000000001,15.379999999997064,23.459999999996022
10,122.64100000000043,81.33000000000102,54.460000000001,15.379999999997064,23.459999999996022
11,122.64100000000043,81.33000000000102,54.460000000001,15.379999999997064,23.459999999996022
12,122.64100000000043,81.33000000000102,54.460000000001,15.379999999997064,23.459999999996022
13,122.64100000000043,81.33000000000102,54.460000000001,15.379999999997064,23.459999999996022
14,122.64100000000043,81.33000000000102,54.460000000001,15.379999999997064,23.459999999996022
15,122.64100000000043,81.33000000000102,54.460000000001,15.379999999997064,23.459999999996022
16,122.64100000000043,81.33000000000102,54.460000000001,15.379999999997064,23.459999999996022
17,122.64100000000043,81.33000000000102,54.460000000001,15.379999999997064,23.459999999996022
18,122.64100000000043,81.33000000000102,54.460000000001,15.379999999997064,23.459999999996022
19,122.64100000000043,81.33000000000102,54.460000000001,15.379999999997064,23.459999999996022
20,122.64100000000043,81.33000000000102,54.460000000001,15.379999999997064,23.459999999996022
