交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-01-13,2022-01-24,2022-01-24,多头,1.0,1.0,8,14.320000000000027,11.070000000000004,3.250000000000023,是,是,已平仓
2,2022-01-26,2022-01-26,2022-01-26,多头,1.0,1.0,1,0.0,-1.6700000000000048,1.6700000000000048,否,是,已平仓
3,2022-01-28,2022-02-17,2022-02-17,多头,1.0,1.0,10,-7.479999999999987,-4.510000000001005,-2.969999999998982,否,是,已平仓
4,2022-02-21,2022-02-21,2022-02-21,多头,1.0,1.0,1,-1.7400000000000055,-3.249999999999989,1.5099999999999834,否,是,已平仓
5,2022-03-01,2022-03-01,2022-03-01,多头,1.0,1.0,1,0.950000000000048,-2.7500000000000093,3.7000000000000575,是,是,已平仓
6,2022-03-03,2022-03-03,2022-03-03,多头,1.0,1.0,1,-1.9700000000000273,-1.250000000000001,-0.7200000000000262,否,是,已平仓
7,2022-03-14,2022-03-14,2022-03-14,空头,-1.0,1.0,1,-3.880000000000064,0.0,-3.880000000000064,否,是,已平仓
8,2022-03-17,2022-03-17,2022-03-17,空头,-1.0,1.0,1,-1.7800000000000455,0.0,-1.7800000000000455,否,是,已平仓
9,2022-03-29,2022-04-01,2022-04-01,空头,-1.0,1.0,4,-2.3299999999999708,0.0,-2.3299999999999708,否,是,已平仓
10,2022-04-08,2022-04-11,2022-04-11,多头,1.0,1.0,2,1.670000000000005,-2.859999999999981,4.529999999999986,是,是,已平仓
11,2022-04-26,2022-05-11,2022-05-11,多头,1.0,1.0,9,8.710000000000003,-0.8000000000000025,9.510000000000005,是,是,已平仓
12,2022-05-13,2022-05-18,2022-05-18,多头,1.0,1.0,4,7.660000000000029,2.5400000000000076,5.1200000000000205,是,是,已平仓
13,2022-06-01,2022-06-01,2022-06-01,空头,-1.0,1.0,1,1.2199999999989997,0.0,1.2199999999989997,是,是,已平仓
14,2022-06-10,2022-06-14,2022-06-14,空头,-1.0,1.0,3,-1.1500000000000052,0.0,-1.1500000000000052,否,是,已平仓
15,2022-06-28,2022-07-04,2022-07-04,多头,1.0,1.0,5,-2.4300000000000015,-1.1600000000000152,-1.2699999999999863,否,是,已平仓
16,2022-07-06,2022-08-12,2022-08-12,多头,1.0,1.0,28,11.960000000000997,9.860000000000007,2.100000000000991,是,是,已平仓
17,2022-08-17,2022-08-30,2022-08-30,多头,1.0,1.0,10,3.620000000000012,2.1599999999990027,1.4600000000010094,是,是,已平仓
18,2022-09-05,2022-09-05,2022-09-05,多头,1.0,1.0,1,0.04999999999900917,0.460000000000009,-0.41000000000099984,是,是,已平仓
19,2022-09-07,2022-09-07,2022-09-07,多头,1.0,1.0,1,-0.470000000000019,-0.7499999999999868,0.2799999999999678,否,是,已平仓
20,2022-09-09,2022-09-14,2022-09-14,多头,1.0,1.0,3,-2.3099999999999854,-3.690000000000984,1.3800000000009987,否,是,已平仓
21,2022-09-21,2022-10-13,2022-10-13,多头,1.0,1.0,12,-4.3100000000000085,-6.119999999999978,1.8099999999999694,否,是,已平仓
22,2022-10-17,2022-10-25,2022-10-25,多头,1.0,1.0,7,0.7099999999990103,-3.0099999999989855,3.719999999997996,是,是,已平仓
23,2022-11-03,2022-11-11,2022-11-11,多头,1.0,1.0,7,-3.27000000000098,-5.000000000000004,1.7299999999990243,否,是,已平仓
24,2022-11-25,2022-11-25,2022-11-25,多头,1.0,1.0,1,-2.5599999999990213,-3.499999999999996,0.9400000000009747,否,是,已平仓
