信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,供给_发行量_得分,供给_发行量_定性,供给_发行占比_得分,供给_发行占比_定性,供给_10Y以上发行_得分,供给_10Y以上发行_定性,供给_发飞惩罚_得分,供给_发飞惩罚_定性,银行需求_得分,银行需求_定性,利差_地方债国债_得分,利差_地方债国债_定性,利差_周度变化_得分,利差_周度变化_定性,利差_地方债NCD_得分,利差_地方债NCD_定性,非银情绪_得分,非银情绪_定性
2022-01-13,2022-01-14,1.0,看多,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,12.5,中性,0.0,中性,0.0,中性,0.0,利多,0.0,利空,15.0,利多,0.0,利空,50.0,利多
2022-01-14,2022-01-17,1.0,看多,0.00012473015873015747,-0.0005535168393521195,0.000678246998082277,0.00012473015873015874,0.0,0.0,-0.7699999999990006,0.7699999999990006,否,其他,否,否,其他,0.0,中性,12.5,中性,0.0,中性,0.0,中性,0.0,利多,0.0,利多,7.5,中性,0.0,利空,50.0,利多
2022-01-17,2022-01-18,1.0,看多,0.002030075363925521,0.000757413748194935,0.001272661615730586,0.00012473015873015874,0.001905345205195369,2.2500000000000298,0.7499999999990153,1.5000000000010143,是,有效进攻,是,否,有效进攻,0.0,利空,12.5,中性,0.0,中性,0.0,中性,0.0,利空,0.0,利空,15.0,利多,0.0,利空,50.0,利多
2022-01-18,2022-01-19,1.0,看多,0.0026332952063468085,0.003948291291856698,-0.0013149960855098897,0.0001238373015873016,0.0025094579047596076,2.9599999999999764,4.45000000000001,-1.4900000000000335,是,有效进攻,是,否,有效进攻,0.0,利空,0.0,利空,0.0,利空,0.0,中性,0.0,利空,0.0,利空,15.0,利多,5.0,中性,50.0,利多
2022-01-19,2022-01-20,1.0,看多,0.001438718256109528,0.00098181840565581,0.00045689985045371806,0.00012266269841269841,0.0013160555576967568,1.5500000000000236,1.0100000000009755,0.5399999999990481,是,有效进攻,是,否,有效进攻,0.0,利空,0.0,利空,0.0,利空,0.0,中性,0.0,中性,0.0,利空,15.0,利多,5.0,中性,50.0,利多
2022-01-20,2022-01-21,1.0,看多,0.003945871365900411,0.00048026727828265336,0.0034656040876177574,0.00012204761904761904,0.003823823746852832,4.49999999999999,0.42999999999900756,4.070000000000983,是,有效进攻,是,否,有效进攻,0.0,利空,0.0,利空,0.0,利空,0.0,中性,0.0,利空,0.0,利空,15.0,利多,10.0,利多,50.0,利多
2022-01-21,2022-01-24,1.0,看多,-0.0006207081512430435,0.0015874102382076316,-0.002208118389450675,0.00012026190476190477,-0.0007409700560049882,-0.8700000000000028,1.7100000000000102,-2.580000000000013,否,其他,是,是,其他,0.0,利空,0.0,利空,0.0,利空,0.0,中性,0.0,中性,0.0,利空,15.0,利多,10.0,利多,50.0,利多
2022-01-24,2022-01-25,1.0,看多,0.0034662632464030896,0.0031291296212809794,0.0003371336251221102,0.00012060714285714286,0.003345656103545949,3.93000000000001,3.489999999999986,0.4400000000000239,是,有效进攻,是,否,有效进攻,0.0,利空,0.0,利空,0.0,利空,0.0,中性,0.0,中性,0.0,利空,15.0,利多,5.0,中性,50.0,利多
2022-01-25,2022-01-26,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,0.0,利空,0.0,利空,0.0,中性,0.0,利多,0.0,中性,7.5,中性,10.0,利多,50.0,利多
2022-01-26,2022-01-27,1.0,看多,0.00011904761904757422,-0.0013397012818213705,0.0014587489008689447,0.00011904761904761905,0.0,0.0,-1.6700000000000048,1.6700000000000048,否,其他,否,否,其他,0.0,中性,12.5,中性,0.0,利空,0.0,中性,0.0,利多,0.0,利空,15.0,利多,10.0,利多,50.0,利多
