交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-01-13,2022-01-13,2022-01-13,多头,1.0,1.0,1,0.0,0.0,0.0,否,是,已平仓
2,2022-02-08,2022-02-15,2022-02-15,多头,1.0,1.0,6,-5.640000000000991,-7.120000000000008,1.4799999999990172,否,是,已平仓
3,2022-03-01,2022-03-03,2022-03-03,多头,1.0,1.0,3,-0.4799999999999942,-5.499999999999984,5.01999999999999,否,是,已平仓
4,2022-04-08,2022-04-11,2022-04-11,多头,1.0,1.0,2,1.670000000000005,-2.859999999999981,4.529999999999986,是,是,已平仓
5,2022-04-14,2022-04-15,2022-04-15,多头,1.0,1.0,2,3.1900000000000333,0.5300000000000096,2.6600000000000237,是,是,已平仓
6,2022-04-28,2022-05-05,2022-05-05,多头,1.0,1.0,3,2.5999999999999983,1.290000000000978,1.3099999999990204,是,是,已平仓
7,2022-07-01,2022-07-04,2022-07-04,多头,1.0,1.0,2,-0.5600000000000049,-2.400000000000006,1.8400000000000012,否,是,已平仓
8,2022-07-06,2022-07-13,2022-07-13,多头,1.0,1.0,6,2.6500000000000137,2.6599999999999886,-0.009999999999974918,是,是,已平仓
9,2022-07-19,2022-08-11,2022-08-11,多头,1.0,1.0,18,6.859999999999021,5.199999999999997,1.659999999999024,是,是,已平仓
10,2022-08-23,2022-08-23,2022-08-23,多头,1.0,1.0,1,-0.429999999999979,-1.5000000000010143,1.0700000000010352,否,是,已平仓
11,2022-08-25,2022-08-30,2022-08-30,多头,1.0,1.0,4,0.09999999999902487,-0.3000000000009939,0.4000000000000188,是,是,已平仓
12,2022-09-05,2022-09-05,2022-09-05,多头,1.0,1.0,1,0.04999999999900917,0.460000000000009,-0.41000000000099984,是,是,已平仓
13,2022-09-07,2022-09-07,2022-09-07,多头,1.0,1.0,1,-0.470000000000019,-0.7499999999999868,0.2799999999999678,否,是,已平仓
14,2022-09-09,2022-09-14,2022-09-14,多头,1.0,1.0,3,-2.3099999999999854,-3.690000000000984,1.3800000000009987,否,是,已平仓
15,2022-09-21,2022-10-10,2022-10-10,多头,1.0,1.0,9,-3.499999999999025,-7.619999999999987,4.120000000000962,否,是,已平仓
16,2022-11-04,2022-11-11,2022-11-11,多头,1.0,1.0,6,-2.580000000000984,-5.779999999999987,3.1999999999990028,否,是,已平仓
17,2022-11-18,2022-11-21,2022-11-21,多头,1.0,1.0,2,2.6299999999999937,-1.5400000000000136,4.170000000000007,是,是,已平仓
18,2022-11-25,2022-11-25,2022-11-25,多头,1.0,1.0,1,-2.5599999999990213,-3.499999999999996,0.9400000000009747,否,是,已平仓
19,2022-11-30,2022-12-01,2022-12-01,多头,1.0,1.0,2,1.8299999999999912,1.9999999999999878,-0.1699999999999966,是,是,已平仓
20,2022-12-22,2022-12-23,2022-12-23,多头,1.0,1.0,2,0.2399999999999971,3.5500000000000114,-3.3100000000000143,是,是,已平仓
21,2023-01-19,2023-01-20,2023-01-20,多头,1.0,1.0,2,-0.6500000000000257,-1.0899999999999799,0.4399999999999542,否,是,已平仓
22,2023-04-18,2023-04-18,2023-04-18,多头,1.0,1.0,1,0.7100000000000162,1.1299999999999852,-0.41999999999996906,是,是,已平仓
23,2023-05-04,2023-05-04,2023-05-04,多头,1.0,1.0,1,2.380000000000021,1.7500000000000155,0.6300000000000057,是,是,已平仓
24,2023-05-08,2023-05-09,2023-05-09,多头,1.0,1.0,2,1.1099999999989936,-0.44999999999999907,1.5599999999989926,是,是,已平仓
25,2023-06-01,2023-06-01,2023-06-01,多头,1.0,1.0,1,0.9399999999999686,0.24999999999997247,0.6899999999999962,是,是,已平仓
26,2023-07-06,2023-07-13,2023-07-13,多头,1.0,1.0,6,0.9099999999990018,-0.11000000000000593,1.0199999999990077,是,是,已平仓
27,2023-08-08,2023-08-08,2023-08-08,多头,1.0,1.0,1,1.2000000000009918,0.08000000000001062,1.120000000000981,是,是,已平仓
28,2023-09-20,2023-09-20,2023-09-20,多头,1.0,1.0,1,-0.7700000000000068,-0.25000000000000716,-0.5199999999999996,否,是,已平仓
29,2023-11-08,2023-11-08,2023-11-08,多头,1.0,1.0,1,1.3999999999990063,1.6800000000009863,-0.28000000000198,是,是,已平仓
30,2023-11-10,2023-11-10,2023-11-10,多头,1.0,1.0,1,1.0399999999999991,0.5000000000000143,0.5399999999999848,是,是,已平仓
31,2023-11-14,2023-11-29,2023-11-29,多头,1.0,1.0,12,-1.9300000000000221,-3.7200000000000086,1.7899999999999865,否,是,已平仓
