信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,供给_发行量_得分,供给_发行量_定性,供给_发行占比_得分,供给_发行占比_定性,供给_10Y以上发行_得分,供给_10Y以上发行_定性,供给_发飞惩罚_得分,供给_发飞惩罚_定性,银行需求_得分,银行需求_定性,利差_地方债国债_得分,利差_地方债国债_定性,利差_周度变化_得分,利差_周度变化_定性,利差_地方债NCD_得分,利差_地方债NCD_定性,非银情绪_得分,非银情绪_定性
2022-01-17,2022-01-24,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,5.0,中性,15.0,中性,0.0,中性,0.0,利空,0.0,利空,17.5,中性,0.0,利空,5.0,利多
2022-01-24,2022-02-14,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,0.0,利空,0.0,利空,0.0,中性,0.0,中性,0.0,利空,35.0,利多,2.5,中性,5.0,利多
2022-02-14,2022-02-21,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,5.0,利多,10.0,利多,15.0,中性,0.0,中性,0.0,利多,5.0,中性,17.5,中性,5.0,利多,5.0,利多
2022-02-21,2022-02-28,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,0.0,利空,0.0,利空,0.0,中性,0.0,中性,0.0,利空,35.0,利多,2.5,中性,5.0,利多
2022-02-28,2022-03-07,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,中性,0.0,利空,0.0,利空,0.0,中性,0.0,利空,10.0,利多,0.0,利空,2.5,中性,0.0,利空
2022-03-07,2022-03-14,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,中性,10.0,利多,0.0,利空,0.0,中性,0.0,利多,5.0,中性,35.0,利多,2.5,中性,0.0,利空
2022-03-14,2022-03-21,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,5.0,中性,0.0,利空,0.0,中性,0.0,利空,10.0,利多,0.0,利空,0.0,利空,0.0,利空
2022-03-21,2022-03-28,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,中性,5.0,中性,0.0,利空,0.0,中性,0.0,利空,10.0,利多,17.5,中性,2.5,中性,0.0,利空
2022-03-28,2022-04-04,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,5.0,利多,0.0,利空,15.0,中性,0.0,中性,0.0,中性,5.0,中性,17.5,中性,0.0,利空,0.0,利空
2022-04-04,2022-04-11,1.0,看多,0.0017610490349533325,0.0021733070047331715,-0.000412257969779839,0.000370797619047619,0.0013901123624985969,1.6400000000000097,2.1400000000009953,-0.5000000000009857,是,有效进攻,是,否,有效进攻,5.0,利多,10.0,利多,30.0,利多,0.0,中性,0.0,利多,5.0,中性,17.5,中性,2.5,中性,0.0,利空
2022-04-11,2022-04-18,1.0,看多,0.0012560089962778687,0.0001230747570133417,0.001132934239264527,0.0006159126984126985,0.0006481736023328387,0.7700000000000071,-0.49000000000097554,1.2600000000009826,是,其他,是,否,有效进攻,5.0,利多,10.0,利多,30.0,利多,0.0,中性,0.0,中性,5.0,中性,17.5,中性,5.0,利多,5.0,利多
2022-04-18,2022-04-25,1.0,看多,-0.002946447672324992,-0.006601410332734758,0.0036549626604097663,0.0006201587301587301,-0.00356487385558649,-4.200000000000001,-8.31000000000002,4.110000000000019,否,其他,否,是,其他,2.5,中性,10.0,利多,30.0,利多,0.0,中性,0.0,利多,5.0,中性,35.0,利多,5.0,利多,0.0,利空
2022-04-25,2022-05-02,1.0,看多,0.0012248147068461002,0.0007539258693942674,0.00047088883745183274,0.0006210396825396822,0.0006073747960371554,0.7200000000000264,0.22999999999998733,0.49000000000003907,是,有效进攻,是,否,有效进攻,5.0,利多,10.0,利多,15.0,中性,0.0,中性,0.0,中性,0.0,利空,35.0,利多,5.0,利多,0.0,利空
2022-05-02,2022-05-09,1.0,看多,0.004993285124373248,0.0011970067571169807,0.003796278367256267,0.00024751984126984125,0.0047395496360628855,5.58999999999997,1.1300000000000199,4.459999999999949,是,有效进攻,是,否,有效进攻,5.0,利多,10.0,利多,30.0,利多,0.0,中性,0.0,利空,0.0,利空,17.5,中性,5.0,利多,5.0,利多
2022-05-09,2022-05-16,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,5.0,中性,0.0,利空,0.0,中性,0.0,中性,0.0,利空,17.5,中性,5.0,利多,0.0,利空
2022-05-16,2022-05-23,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,0.0,利空,0.0,利空,0.0,中性,0.0,利空,0.0,利空,35.0,利多,5.0,利多,5.0,利多
2022-05-23,2022-05-30,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,0.0,利空,0.0,利空,0.0,中性,0.0,利空,5.0,中性,0.0,利空,5.0,利多,5.0,利多
2022-05-30,2022-06-06,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,中性,0.0,利空,15.0,中性,0.0,中性,0.0,利空,5.0,中性,0.0,利空,5.0,利多,5.0,利多
2022-06-06,2022-06-13,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,0.0,利空,15.0,中性,0.0,中性,0.0,利多,5.0,中性,17.5,中性,5.0,利多,0.0,利空
2022-06-13,2022-06-20,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,0.0,利空,0.0,利空,0.0,中性,0.0,利空,5.0,中性,0.0,利空,2.5,中性,0.0,利空
2022-06-20,2022-06-27,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,0.0,利空,0.0,利空,0.0,中性,0.0,中性,5.0,中性,17.5,中性,5.0,利多,0.0,利空
2022-06-27,2022-07-04,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,0.0,利空,0.0,利空,0.0,中性,0.0,中性,5.0,中性,17.5,中性,5.0,利多,0.0,利空
2022-07-04,2022-07-11,1.0,看多,0.0001859333972109578,-0.0005501213749095069,0.0007360547721204647,0.0006203928571428571,-0.0004277889560163255,-0.49999999999997957,-1.2900000000000063,0.7900000000000267,否,其他,否,否,其他,2.5,中性,10.0,利多,30.0,利多,0.0,中性,0.0,利空,5.0,中性,35.0,利多,5.0,利多,5.0,利多
2022-07-11,2022-07-18,1.0,看多,0.0050598887444748275,0.005105852485374429,-4.5963740899601646e-05,0.0006150079365079365,0.004436010503912853,5.229999999999958,5.269999999999997,-0.040000000000039115,是,有效进攻,是,否,有效进攻,5.0,利多,10.0,利多,30.0,利多,0.0,中性,0.0,利多,0.0,利空,35.0,利多,5.0,利多,5.0,利多
2022-07-18,2022-07-25,1.0,看多,0.0038561560914573967,0.0004341595109980112,0.0034219965804593855,0.0006069285714285711,0.003246464318543598,3.8200000000000034,-0.129999999999991,3.9499999999999944,是,其他,是,否,有效进攻,5.0,利多,10.0,利多,30.0,利多,0.0,中性,0.0,中性,0.0,利空,17.5,中性,5.0,利多,5.0,利多
2022-07-25,2022-08-01,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,5.0,利多,5.0,中性,30.0,利多,0.0,中性,0.0,利空,0.0,利空,17.5,中性,5.0,利多,5.0,利多
2022-08-01,2022-08-08,1.0,看多,0.003933547962432504,0.0024484977186796097,0.0014850502437528945,0.0005932539682539671,0.0033354656114997785,3.90999999999999,2.2099999999990185,1.7000000000009714,是,有效进攻,是,否,有效进攻,2.5,中性,10.0,利多,30.0,利多,0.0,中性,0.0,中性,0.0,利空,17.5,中性,5.0,利多,5.0,利多
2022-08-08,2022-08-15,1.0,看多,-0.0005819064260731421,0.0004733312748237406,-0.0010552377008968827,0.0005903730158730158,-0.0011709329277841774,-1.369999999999011,-0.08000000000001067,-1.2899999999990002,否,该空没空,是,是,其他,5.0,利多,10.0,利多,30.0,利多,0.0,中性,0.0,中性,0.0,利空,17.5,中性,5.0,利多,5.0,利多
2022-08-15,2022-08-22,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,中性,5.0,中性,30.0,利多,0.0,中性,0.0,利多,5.0,中性,17.5,中性,5.0,利多,0.0,利空
2022-08-22,2022-08-29,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,中性,10.0,利多,30.0,利多,0.0,中性,0.0,利空,5.0,中性,0.0,利空,5.0,利多,5.0,利多
2022-08-29,2022-09-05,1.0,看多,0.003428050939035421,0.0022911871359452274,0.0011368638030901934,0.0005796031746031742,0.002848410082649861,3.33,2.039999999999993,1.2900000000000071,是,有效进攻,是,否,有效进攻,5.0,利多,10.0,利多,30.0,利多,0.0,中性,0.0,中性,5.0,中性,35.0,利多,5.0,利多,5.0,利多
2022-09-05,2022-09-12,1.0,看多,0.00024670350629674154,-0.0005591143336954874,0.0008058178399922289,0.0005752103174603171,-0.00032673789474020273,-0.37999999999999834,-1.2399999999999909,0.8599999999999925,否,其他,否,否,其他,5.0,利多,10.0,利多,30.0,利多,0.0,中性,0.0,中性,5.0,中性,17.5,中性,5.0,利多,5.0,利多
2022-09-12,2022-09-19,1.0,看多,3.5600527816370686e-05,-0.002877635576420401,0.0029132361042367716,0.00046159126984126947,-0.0004221448747883452,-0.4900000000010103,-3.8000000000000185,3.3099999999990084,否,其他,否,否,其他,5.0,利多,10.0,利多,30.0,利多,0.0,中性,0.0,中性,5.0,中性,17.5,中性,5.0,利多,5.0,利多
2022-09-19,2022-09-26,1.0,看多,-0.001056949899621129,-0.00010481765345049521,-0.0009521322461706339,0.0005792777777777774,-0.0016360453500281525,-1.9099999999989958,-0.7199999999999913,-1.1899999999990045,否,该空没空,否,是,该空没空,2.5,中性,10.0,利多,30.0,利多,0.0,中性,0.0,利多,5.0,中性,17.5,中性,5.0,利多,0.0,利空
2022-09-26,2022-10-17,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,5.0,利多,5.0,中性,30.0,利多,0.0,中性,0.0,中性,0.0,利空,17.5,中性,5.0,利多,5.0,利多
2022-10-17,2022-10-24,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,5.0,中性,15.0,中性,0.0,中性,0.0,利空,0.0,利空,17.5,中性,2.5,中性,5.0,利多
2022-10-24,2022-10-31,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,0.0,利空,0.0,利空,0.0,中性,0.0,利多,0.0,利空,35.0,利多,2.5,中性,5.0,利多
2022-10-31,2022-11-07,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,中性,5.0,中性,15.0,中性,0.0,中性,0.0,利空,5.0,中性,0.0,利空,2.5,中性,0.0,利空
2022-11-07,2022-11-14,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,2.5,中性,10.0,利多,30.0,利多,0.0,中性,0.0,中性,0.0,利空,17.5,中性,2.5,中性,5.0,利多
2022-11-14,2022-11-21,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,5.0,利多,10.0,利多,15.0,中性,0.0,中性,0.0,中性,0.0,利空,35.0,利多,2.5,中性,0.0,利空
2022-11-21,2022-11-28,1.0,看多,0.0026023514727595565,0.0001143053831214047,0.0024880460896381518,0.000596380952380952,0.002008112214750956,2.360000000001007,-0.49999999999997957,2.8600000000009866,是,其他,是,否,有效进攻,5.0,利多,10.0,利多,30.0,利多,0.0,中性,0.0,利多,0.0,利空,35.0,利多,0.0,利空,0.0,利空
2022-11-28,2022-12-05,1.0,看多,0.0013534346832764221,-0.0026721209095267318,0.004025555592803154,0.0005993690476190473,0.0007569254225121501,0.8899999999990168,-3.760000000000013,4.64999999999903,是,其他,否,否,其他,5.0,利多,5.0,中性,30.0,利多,0.0,中性,0.0,中性,0.0,利空,35.0,利多,0.0,利空,0.0,利空
