交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-01-13,2022-01-26,2022-01-26,多头,1.0,1.0,10,14.320000000000027,7.120000000000008,7.200000000000019,是,是,已平仓
2,2022-01-28,2022-02-16,2022-02-16,多头,1.0,1.0,9,-7.359999999998999,-5.440000000000999,-1.9199999999980006,否,是,已平仓
3,2022-02-18,2022-02-21,2022-02-21,多头,1.0,1.0,2,-0.9699999999999988,-5.009999999999979,4.0399999999999805,否,是,已平仓
4,2022-02-23,2022-02-23,2022-02-23,多头,1.0,1.0,1,-2.7699999999999947,2.999999999999982,-5.7699999999999765,否,是,已平仓
5,2022-03-01,2022-03-03,2022-03-03,多头,1.0,1.0,3,-0.4799999999999942,-5.499999999999984,5.01999999999999,否,是,已平仓
6,2022-04-08,2022-04-11,2022-04-11,多头,1.0,1.0,2,1.670000000000005,-2.859999999999981,4.529999999999986,是,是,已平仓
7,2022-04-26,2022-05-11,2022-05-11,多头,1.0,1.0,9,8.710000000000003,-0.8000000000000025,9.510000000000005,是,是,已平仓
8,2022-05-13,2022-05-18,2022-05-18,多头,1.0,1.0,4,7.660000000000029,2.5400000000000076,5.1200000000000205,是,是,已平仓
9,2022-05-26,2022-05-26,2022-05-26,多头,1.0,1.0,1,2.430000000001008,4.749999999999997,-2.3199999999989895,是,是,已平仓
10,2022-05-30,2022-05-30,2022-05-30,多头,1.0,1.0,1,0.800000000000002,-2.5099999999999776,3.3099999999999796,是,是,已平仓
11,2022-06-24,2022-06-24,2022-06-24,多头,1.0,1.0,1,0.020000000000991447,-1.7499999999999807,1.7700000000009721,是,是,已平仓
12,2022-06-28,2022-07-04,2022-07-04,多头,1.0,1.0,5,-2.4300000000000015,-1.1600000000000152,-1.2699999999999863,否,是,已平仓
13,2022-07-06,2022-08-12,2022-08-12,多头,1.0,1.0,28,11.960000000000997,9.860000000000007,2.100000000000991,是,是,已平仓
14,2022-08-17,2022-08-30,2022-08-30,多头,1.0,1.0,10,3.620000000000012,2.1599999999990027,1.4600000000010094,是,是,已平仓
15,2022-09-05,2022-09-05,2022-09-05,多头,1.0,1.0,1,0.04999999999900917,0.460000000000009,-0.41000000000099984,是,是,已平仓
16,2022-09-07,2022-09-07,2022-09-07,多头,1.0,1.0,1,-0.470000000000019,-0.7499999999999868,0.2799999999999678,否,是,已平仓
17,2022-09-09,2022-09-14,2022-09-14,多头,1.0,1.0,3,-2.3099999999999854,-3.690000000000984,1.3800000000009987,否,是,已平仓
18,2022-09-21,2022-10-13,2022-10-13,多头,1.0,1.0,12,-4.3100000000000085,-6.119999999999978,1.8099999999999694,否,是,已平仓
19,2022-10-17,2022-10-25,2022-10-25,多头,1.0,1.0,7,0.7099999999990103,-3.0099999999989855,3.719999999997996,是,是,已平仓
20,2022-11-02,2022-11-11,2022-11-11,多头,1.0,1.0,8,-3.6299999999999875,-7.25,3.6200000000000125,否,是,已平仓
21,2022-11-25,2022-11-25,2022-11-25,多头,1.0,1.0,1,-2.5599999999990213,-3.499999999999996,0.9400000000009747,否,是,已平仓
22,2022-11-30,2022-12-01,2022-12-01,多头,1.0,1.0,2,1.8299999999999912,1.9999999999999878,-0.1699999999999966,是,是,已平仓
23,2022-12-22,2022-12-23,2022-12-23,多头,1.0,1.0,2,0.2399999999999971,3.5500000000000114,-3.3100000000000143,是,是,已平仓
24,2023-01-03,2023-01-03,2023-01-03,多头,1.0,1.0,1,1.0899999999999799,1.250000000000001,-0.16000000000002124,是,是,已平仓
25,2023-01-19,2023-01-20,2023-01-20,多头,1.0,1.0,2,-0.6500000000000257,-1.0899999999999799,0.4399999999999542,否,是,已平仓
26,2023-02-27,2023-02-27,2023-02-27,多头,1.0,1.0,1,0.3500000000000031,0.08999999999998592,0.26000000000001716,是,是,已平仓
27,2023-03-23,2023-03-24,2023-03-24,多头,1.0,1.0,2,0.3600000000009844,-0.9900000000009901,1.3500000000019745,是,是,已平仓
28,2023-04-18,2023-04-18,2023-04-18,多头,1.0,1.0,1,0.7100000000000162,1.1299999999999852,-0.41999999999996906,是,是,已平仓
29,2023-05-04,2023-05-10,2023-05-10,多头,1.0,1.0,5,5.980000000000013,5.779999999999987,0.20000000000002593,是,是,已平仓
30,2023-05-19,2023-05-19,2023-05-19,多头,1.0,1.0,1,0.10000000000100207,0.3299999999999831,-0.22999999999898102,是,是,已平仓
31,2023-05-26,2023-06-01,2023-06-01,多头,1.0,1.0,5,2.5099999999999776,2.3999999999999715,0.11000000000000609,是,是,已平仓
32,2023-06-09,2023-06-12,2023-06-12,多头,1.0,1.0,2,-0.019999999999985363,1.1800000000000004,-1.1999999999999857,否,是,已平仓
33,2023-07-05,2023-07-17,2023-07-17,多头,1.0,1.0,9,0.4299999999990075,1.1300000000000199,-0.7000000000010124,是,是,已平仓
34,2023-07-24,2023-07-24,2023-07-24,多头,1.0,1.0,1,1.229999999999981,1.4499999999990214,-0.2199999999990403,是,是,已平仓
35,2023-07-26,2023-07-26,2023-07-26,多头,1.0,1.0,1,1.460000000000003,1.9999999999990163,-0.5399999999990133,是,是,已平仓
36,2023-08-03,2023-08-17,2023-08-17,多头,1.0,1.0,11,7.18,8.470000000000006,-1.2900000000000063,是,是,已平仓
37,2023-08-23,2023-08-24,2023-08-24,多头,1.0,1.0,2,4.119999999999992,0.21000000000000185,3.9099999999999904,是,是,已平仓
38,2023-08-28,2023-08-30,2023-08-30,多头,1.0,1.0,3,0.37999999999999845,1.0199999999999791,-0.6399999999999807,是,是,已平仓
39,2023-09-04,2023-09-04,2023-09-04,多头,1.0,1.0,1,-1.7599999999999907,-2.7400000000010056,0.980000000001015,否,是,已平仓
40,2023-09-19,2023-09-19,2023-09-19,多头,1.0,1.0,1,-0.750000000000993,-1.250000000000001,0.4999999999990081,否,是,已平仓
41,2023-09-21,2023-09-28,2023-09-28,多头,1.0,1.0,6,-0.2500000000000071,-1.0100000000000038,0.7599999999999967,否,是,已平仓
42,2023-10-10,2023-10-10,2023-10-10,多头,1.0,1.0,1,-1.6799999999990087,-1.0899999999990084,-0.5900000000000003,否,是,已平仓
43,2023-11-08,2023-11-08,2023-11-08,多头,1.0,1.0,1,1.3999999999990063,1.6800000000009863,-0.28000000000198,是,是,已平仓
44,2023-11-10,2023-11-29,2023-11-29,多头,1.0,1.0,14,-2.1800000000000295,-3.3199999999999905,1.139999999999961,否,是,已平仓
45,2023-12-07,2024-01-05,2024-01-05,多头,1.0,1.0,21,15.530000000000022,15.499999999999993,0.03000000000002956,是,是,已平仓
46,2024-01-11,2024-01-11,2024-01-11,多头,1.0,1.0,1,1.4799999999999882,-0.09999999999999593,1.579999999999984,是,是,已平仓
47,2024-01-19,2024-01-22,2024-01-22,多头,1.0,1.0,2,2.0999999999999837,1.7,0.3999999999999837,是,是,已平仓
48,2024-02-06,2024-02-08,2024-02-08,多头,1.0,1.0,3,-1.7700000000000005,-3.7699999999990172,1.9999999999990168,否,是,已平仓
49,2024-02-21,2024-02-22,2024-02-22,多头,1.0,1.0,2,1.9999999999999878,1.010000000000004,0.9899999999999838,是,是,已平仓
50,2024-03-01,2024-03-07,2024-03-07,多头,1.0,1.0,5,5.089999999999991,5.989999999999989,-0.8999999999999977,是,是,已平仓
51,2024-03-13,2024-03-13,2024-03-13,多头,1.0,1.0,1,0.16000000000099268,1.5000000000000082,-1.3399999999990155,是,是,已平仓
52,2024-04-03,2024-04-08,2024-04-08,多头,1.0,1.0,2,1.2100000000010018,1.0500000000000091,0.16000000000099268,是,是,已平仓
53,2024-04-10,2024-04-29,2024-04-29,多头,1.0,1.0,14,0.21000000000000174,-7.279999999999996,7.4899999999999975,是,是,已平仓
54,2024-05-10,2024-05-13,2024-05-13,多头,1.0,1.0,2,2.459999999999997,2.8599999999999803,-0.3999999999999835,是,是,已平仓
55,2024-05-15,2024-05-15,2024-05-15,多头,1.0,1.0,1,0.10000000000003062,-0.8199999999999874,0.920000000000018,是,是,已平仓
56,2024-06-04,2024-06-12,2024-06-12,多头,1.0,1.0,6,5.64000000000002,0.9299999999999933,4.710000000000027,是,是,已平仓
57,2024-06-19,2024-06-24,2024-06-24,多头,1.0,1.0,4,0.0,0.8599999999990211,-0.8599999999990211,否,是,已平仓
58,2024-07-03,2024-07-03,2024-07-03,多头,1.0,1.0,1,2.149999999999999,-0.5699999999990089,2.7199999999990077,是,是,已平仓
59,2024-07-17,2024-07-30,2024-07-30,多头,1.0,1.0,10,6.909999999999972,11.329999999999012,-4.419999999999041,是,是,已平仓
60,2024-08-05,2024-08-07,2024-08-07,多头,1.0,1.0,3,3.120000000001004,-1.3699999999999821,4.490000000000986,是,是,已平仓
61,2024-08-09,2024-08-12,2024-08-12,多头,1.0,1.0,2,-7.739999999998998,-6.9800000000000075,-0.7599999999989908,否,是,已平仓
62,2024-10-17,2024-10-17,2024-10-17,多头,1.0,1.0,1,2.470000000000007,2.470000000000007,0.0,是,是,已平仓
63,2024-10-23,2024-10-23,2024-10-23,多头,1.0,1.0,1,-1.9100000000010082,-1.0100000000009755,-0.9000000000000328,否,是,已平仓
64,2024-11-07,2024-11-22,2024-11-22,多头,1.0,1.0,12,-0.3000000000000227,4.019999999999996,-4.320000000000019,否,是,已平仓
65,2024-11-28,2024-11-28,2024-11-28,多头,1.0,1.0,1,1.5000000000010143,2.489999999999992,-0.9899999999989779,是,是,已平仓
66,2024-12-03,2024-12-09,2024-12-09,多头,1.0,1.0,5,8.540000000000006,6.420000000000003,2.1200000000000037,是,是,已平仓
67,2024-12-13,2024-12-17,2024-12-17,多头,1.0,1.0,3,6.3899999999990005,9.350000000000017,-2.960000000001017,是,是,已平仓
68,2024-12-24,2025-01-06,2025-01-06,多头,1.0,1.0,9,10.77999999999999,10.529999999999985,0.25000000000000533,是,是,已平仓
69,2025-02-13,2025-02-14,2025-02-14,多头,1.0,1.0,2,-0.3500000000000031,-2.1000000000000187,1.7500000000000155,否,是,已平仓
70,2025-03-24,2025-03-24,2025-03-24,多头,1.0,1.0,1,-0.1299999999990198,0.449999999999999,-0.5799999999990189,否,是,已平仓
71,2025-04-01,2025-04-08,2025-04-08,多头,1.0,1.0,5,13.559999999999995,14.960000000000006,-1.400000000000011,是,是,已平仓
72,2025-04-16,2025-04-23,2025-04-23,多头,1.0,1.0,6,3.1900000000010045,-0.28000000000000247,3.470000000001007,是,是,已平仓
73,2025-04-28,2025-05-15,2025-05-15,多头,1.0,1.0,11,4.539999999999995,-1.9200000000000124,6.460000000000007,是,是,已平仓
74,2025-05-23,2025-05-28,2025-05-28,多头,1.0,1.0,4,-1.2500000000010072,3.540000000000002,-4.790000000001009,否,是,已平仓
75,2025-06-11,2025-06-16,2025-06-16,多头,1.0,1.0,4,4.019999999999996,1.370000000000017,2.649999999999979,是,是,已平仓
76,2025-06-19,2025-06-20,2025-06-20,多头,1.0,1.0,2,-0.5399999999999849,-0.12000000000001593,-0.419999999999969,否,是,已平仓
77,2025-06-30,2025-07-14,2025-07-14,多头,1.0,1.0,11,1.1800000000000008,-2.6400000000000032,3.820000000000004,是,是,已平仓
78,2025-08-04,2025-08-08,2025-08-08,多头,1.0,1.0,5,-0.21000000000000163,1.6800000000000148,-1.8900000000000166,否,是,已平仓
79,2025-09-01,2025-09-03,2025-09-03,多头,1.0,1.0,3,1.4799999999990168,3.949999999999995,-2.470000000000978,是,是,已平仓
80,2025-09-05,2025-09-08,2025-09-08,多头,1.0,1.0,2,-4.5000000000009965,-4.539999999999996,0.03999999999899906,否,是,已平仓
81,2025-09-22,2025-09-22,2025-09-22,多头,1.0,1.0,1,0.23000000000002185,1.4199999999999977,-1.189999999999976,是,是,已平仓
82,2025-10-22,2025-10-22,2025-10-22,多头,1.0,1.0,1,0.0,0.6399999999999808,-0.6399999999999808,否,是,已平仓
83,2025-10-27,2025-11-14,2025-11-14,多头,1.0,1.0,15,4.749999999999997,3.459999999999991,1.2900000000000063,是,是,已平仓
84,2025-11-18,2025-11-18,2025-11-18,多头,1.0,1.0,1,-0.05000000000001531,-0.12000000000001593,0.07000000000000062,否,是,已平仓
85,2025-11-20,2025-11-21,2025-11-21,多头,1.0,1.0,2,-0.059999999999990616,0.12999999999999123,-0.18999999999998185,否,是,已平仓
86,2025-12-29,2026-01-05,2026-01-05,多头,1.0,1.0,4,-2.0699999999999887,-2.0799999999999983,0.010000000000009557,否,是,已平仓
87,2026-01-22,2026-01-28,2026-01-28,多头,1.0,1.0,5,1.340000000000022,1.4799999999999884,-0.13999999999996637,是,是,已平仓
88,2026-02-03,2026-02-13,2026-02-13,多头,1.0,1.0,9,1.5000000000000082,2.720000000000014,-1.2200000000000057,是,是,已平仓
89,2026-02-25,2026-02-27,2026-02-27,多头,1.0,1.0,3,-2.5499999999990113,1.460000000000003,-4.009999999999014,否,是,已平仓
90,2026-03-05,2026-03-17,2026-03-17,多头,1.0,1.0,9,-2.8399999999999954,-5.460000000000013,2.620000000000018,否,是,已平仓
91,2026-03-19,2026-05-21,2026-05-21,多头,1.0,1.0,42,11.76,7.27000000000099,4.48999999999901,是,是,已平仓
92,2026-05-27,2026-06-02,2026-06-02,多头,1.0,1.0,5,5.770000000000012,3.6900000000000124,2.0799999999999996,是,是,已平仓
93,2026-06-04,2026-06-04,2026-06-04,多头,1.0,1.0,1,0.9499999999990072,0.470000000000019,0.4799999999989882,是,是,已平仓
94,2026-06-08,2026-06-10,2026-06-10,多头,1.0,1.0,3,-2.8200000000009817,-2.6899999999999844,-0.13000000000099732,否,是,已平仓
95,2026-06-30,2026-07-03,2026-07-03,多头,1.0,1.0,4,-0.4999999999990081,-2.929999999999981,2.430000000000973,否,是,已平仓
96,2026-07-14,2026-07-14,2026-07-14,多头,1.0,1.0,1,-0.6899999999999962,0.3999999999999837,-1.0899999999999799,否,是,已平仓
97,2026-07-17,2026-07-17,2026-07-17,多头,1.0,1.0,1,0.7499999999999868,0.3300000000000178,0.419999999999969,是,是,已平仓
98,2026-07-27,2026-07-28,2026-07-28,多头,1.0,1.0,2,0.779999999999982,-0.6899999999999962,1.4699999999999782,是,是,已平仓
99,2026-07-31,2026-07-31,2026-07-31,多头,1.0,1.0,1,0.36999999999901695,0.5499999999999949,-0.180000000000978,是,是,已平仓
100,2026-08-11,2026-08-14,2026-08-14,多头,1.0,1.0,4,0.7000000000000062,1.0999999999999899,-0.3999999999999837,是,是,已平仓
101,2026-08-28,2026-09-02,2026-09-02,多头,1.0,1.0,4,0.3100000000010039,1.2699999999999863,-0.9599999999989823,是,是,已平仓
