指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-09-04,2026-09-04
交易日数,trading_days,1126,1126
期末净值,final_nav,1.19626529192548,1.126325484371098
累计收益率,total_return,0.19626529192547992,0.12632548437109792
年化收益率,annual_return,0.0409583675758276,0.027005373640514474
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.026958367575827605,0.013005373640514474
年化波动率,annual_volatility,0.014084150539939751,0.015347648571724165
夏普比率,sharpe,1.9140925467516998,0.8473854206223489
最大回撤,max_drawdown,-0.009740747888106749,-0.019367691884081162
最大回撤起点,max_drawdown_start,2022-02-10,2022-08-18
最大回撤终点,max_drawdown_end,2022-04-08,2022-11-30
Calmar比率,calmar,4.20484833878484,1.3943516760874812
日胜率_参考,win_rate,0.2744227353463588,0.2477797513321492
调仓周期数,signal_period_count,1107,1107
盈利调仓周期数,winning_signal_periods,300,271
调仓周期胜率,signal_period_win_rate,0.27100271002710025,0.24480578139114725
单周期平均收益,avg_signal_period_return,0.00016229405871222993,0.00010793384309628353
累计资本利得_BP（收益率变动）,capital_gain_total_bp,151.48000000000505,85.59999999999613
年化资本利得_BP,capital_gain_annualized_bp,33.93152000000113,19.174399999999135
资本利得交易笔数,capital_gain_trade_count,101,101
已平仓交易笔数,capital_gain_closed_trade_count,101,101
资本利得盈利笔数,capital_gain_winning_trades,64,60
资本利得亏损笔数,capital_gain_losing_trades,35,41
资本利得持平笔数,capital_gain_flat_trades,2,0
资本利得交易胜率,capital_gain_trade_win_rate,0.6336633663366337,0.594059405940594
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.4998019801980698,0.8475247524752092
资本利得中位数_BP,capital_gain_median_trade_bp,0.4299999999990075,0.5499999999999949
平均每笔盈利_BP,capital_gain_avg_win_bp,3.3803125000000485,3.2318333333332823
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.8531428571428024,-2.641707317073191
资本利得盈亏比,capital_gain_profit_loss_ratio,1.824097093740444,1.223388114363065
最佳交易_BP,capital_gain_best_trade_bp,15.530000000000022,15.499999999999993
最差交易_BP,capital_gain_worst_trade_bp,-7.739999999998998,-7.279999999999996
平均每笔持有交易日,capital_gain_avg_holding_days,4.752475247524752,4.752475247524752
最长单笔持有交易日,capital_gain_max_holding_days,42,42
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-13.119999999999,-31.03000000000085
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-02-09,2022-01-24
资本利得最大回撤终点,capital_gain_max_drawdown_end,2022-04-08,2022-11-30
最长连续亏损笔数,capital_gain_longest_losing_streak,4,6
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
