指标,字段,策略,基准
起始日期,start_date,2025-01-02,2025-01-02
结束日期,end_date,2026-09-04,2026-09-04
交易日数,trading_days,407,407
期末净值,final_nav,1.039678700008262,1.0295041155173577
累计收益率,total_return,0.0396787000082619,0.029504115517357654
年化收益率,annual_return,0.024446128400840816,0.018211793601353277
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.010446128400840816,0.004211793601353276
年化波动率,annual_volatility,0.012335626131610196,0.014113406339659384
夏普比率,sharpe,0.8468259567361953,0.29842502227955586
最大回撤,max_drawdown,-0.011978657752554245,-0.007219665761386551
最大回撤起点,max_drawdown_start,2025-07-04,2025-08-07
最大回撤终点,max_drawdown_end,2026-01-14,2025-09-24
Calmar比率,calmar,2.040806984040269,2.522525862451514
日胜率_参考,win_rate,0.2702702702702703,0.21375921375921375
调仓周期数,signal_period_count,405,405
盈利调仓周期数,winning_signal_periods,110,87
调仓周期胜率,signal_period_win_rate,0.2716049382716049,0.21481481481481482
单周期平均收益,avg_signal_period_return,9.638609105304262e-05,7.219477575212747e-05
累计资本利得_BP（收益率变动）,capital_gain_total_bp,29.439999999998776,19.599999999996946
年化资本利得_BP,capital_gain_annualized_bp,18.2731034482751,12.165517241377415
资本利得交易笔数,capital_gain_trade_count,81,81
已平仓交易笔数,capital_gain_closed_trade_count,80,80
资本利得盈利笔数,capital_gain_winning_trades,46,43
资本利得亏损笔数,capital_gain_losing_trades,31,37
资本利得持平笔数,capital_gain_flat_trades,3,0
资本利得交易胜率,capital_gain_trade_win_rate,0.575,0.5375
平均单笔资本利得_BP,capital_gain_avg_trade_bp,0.3632499999999968,0.241249999999962
资本利得中位数_BP,capital_gain_median_trade_bp,0.2500000000000071,0.08500000000001559
平均每笔盈利_BP,capital_gain_avg_win_bp,1.3973913043478245,1.4981395348836988
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.1361290322580706,-1.2194594594595165
资本利得盈亏比,capital_gain_profit_loss_ratio,1.2299582746956936,1.228527544119997
最佳交易_BP,capital_gain_best_trade_bp,9.699999999999985,12.540000000000017
最差交易_BP,capital_gain_worst_trade_bp,-5.779999999999987,-3.509999999999972
平均每笔持有交易日,capital_gain_avg_holding_days,2.037037037037037,2.037037037037037
最长单笔持有交易日,capital_gain_max_holding_days,7,7
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-17.60000000000109,-11.410000000001055
资本利得最大回撤起点,capital_gain_max_drawdown_start,2025-07-04,2025-08-07
资本利得最大回撤终点,capital_gain_max_drawdown_end,2026-01-14,2026-07-13
最长连续亏损笔数,capital_gain_longest_losing_streak,4,4
当前未平仓交易数,capital_gain_open_trade_count,1,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.37999999999902695,0.29999999999998783
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
