交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2025-02-05,2025-02-07,2025-02-07,多头,1.0,1.0,3,1.3200000000000018,2.6699999999989927,-1.349999999998991,是,是,已平仓
2,2025-02-17,2025-02-21,2025-02-21,多头,1.0,1.0,5,-7.929999999999014,-6.539999999999984,-1.3899999999990298,否,是,已平仓
3,2025-03-24,2025-03-28,2025-03-28,多头,1.0,1.0,5,1.0300000000009955,3.3199999999999896,-2.289999999998994,是,是,已平仓
4,2025-04-07,2025-04-11,2025-04-11,多头,1.0,1.0,5,2.7599999999999847,6.120000000000014,-3.3600000000000296,是,是,已平仓
5,2025-04-21,2025-05-16,2025-05-16,多头,1.0,1.0,17,4.979999999999983,-2.9999999999999822,7.979999999999965,是,是,已平仓
6,2025-05-26,2025-06-06,2025-06-06,多头,1.0,1.0,9,0.7499999999999868,6.610000000000019,-5.860000000000032,是,是,已平仓
7,2025-06-16,2025-07-18,2025-07-18,多头,1.0,1.0,25,4.0099999999999865,-2.1200000000000037,6.12999999999999,是,是,已平仓
8,2025-08-04,2025-08-08,2025-08-08,多头,1.0,1.0,5,-0.2100000000000016,1.6800000000000148,-1.8900000000000163,否,是,已平仓
9,2025-09-01,2025-09-05,2025-09-05,多头,1.0,1.0,5,0.47999999999902343,1.1900000000000106,-0.7100000000009872,是,是,已平仓
10,2025-09-22,2025-09-26,2025-09-26,多头,1.0,1.0,5,-1.770000000000001,0.2100000000000024,-1.9800000000000033,否,是,已平仓
11,2025-10-09,2025-10-10,2025-10-10,多头,1.0,1.0,2,-0.9200000000009896,1.4499999999999929,-2.3700000000009824,否,是,已平仓
12,2025-11-03,2025-11-14,2025-11-14,多头,1.0,1.0,10,3.6399999999999983,-1.8599999999999868,5.499999999999985,是,是,已平仓
13,2025-12-29,2025-12-31,2025-12-31,多头,1.0,1.0,3,-2.109999999999994,-0.9699999999999986,-1.1399999999999955,否,是,已平仓
14,2026-01-26,2026-01-30,2026-01-30,多头,1.0,1.0,5,-1.4799999999999884,1.859999999999987,-3.3399999999999754,否,是,已平仓
15,2026-03-09,2026-03-13,2026-03-13,多头,1.0,1.0,5,-0.09999999999999631,-3.3299999999999996,3.230000000000003,否,是,已平仓
16,2026-03-30,2026-04-24,2026-04-24,多头,1.0,1.0,19,10.589999999999003,5.7100000000000195,4.879999999998984,是,是,已平仓
17,2026-05-06,2026-05-08,2026-05-08,多头,1.0,1.0,3,0.6000000000000099,-1.7500000000000155,2.3500000000000254,是,是,已平仓
18,2026-05-18,2026-05-22,2026-05-22,多头,1.0,1.0,5,1.7400000000000053,1.3900000000000023,0.350000000000003,是,是,已平仓
19,2026-06-08,2026-06-12,2026-06-12,多头,1.0,1.0,5,-4.010000000000991,-2.1999999999990085,-1.8100000000019825,否,是,已平仓
20,2026-07-20,2026-08-21,2026-08-21,多头,1.0,1.0,25,5.500000000000019,5.649999999999995,-0.14999999999997637,是,是,已平仓
21,2026-08-31,,2026-09-04,多头,1.0,1.0,5,1.250000000000001,1.4499999999999933,-0.19999999999999218,是,否,未平仓
