交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2024-02-05,2024-02-23,2024-02-23,多头,1.0,1.0,9,6.999999999999992,2.3499999999990195,4.650000000000972,是,是,已平仓
2,2024-03-04,2024-03-15,2024-03-15,多头,1.0,1.0,10,6.02000000000099,4.75000000000003,1.2700000000009597,是,是,已平仓
3,2024-04-08,2024-04-26,2024-04-26,多头,1.0,1.0,15,7.43999999999901,-2.469999999999,9.90999999999801,是,是,已平仓
4,2024-05-13,2024-05-17,2024-05-17,多头,1.0,1.0,5,3.1500000000009996,0.4499999999989923,2.7000000000020075,是,是,已平仓
5,2024-06-11,2024-06-14,2024-06-14,多头,1.0,1.0,4,2.8300000000000196,2.7500000000009805,0.07999999999903906,是,是,已平仓
6,2024-06-24,2024-07-05,2024-07-05,多头,1.0,1.0,10,2.82000000000001,-1.830000000000997,4.6500000000010075,是,是,已平仓
7,2024-07-22,2024-08-16,2024-08-16,多头,1.0,1.0,20,6.040000000000004,6.359999999999976,-0.31999999999997275,是,是,已平仓
8,2024-09-23,2024-09-27,2024-09-27,多头,1.0,1.0,5,-8.5,-12.830000000001,4.330000000001,否,是,已平仓
9,2024-10-18,2024-10-18,2024-10-18,多头,1.0,1.0,1,-1.4899999999999982,-1.250000000000001,-0.2399999999999971,否,是,已平仓
10,2024-11-04,2024-11-08,2024-11-08,多头,1.0,1.0,5,3.799999999999012,3.3900000000000254,0.40999999999898673,是,是,已平仓
11,2025-01-06,2025-01-10,2025-01-10,多头,1.0,1.0,5,-0.7499999999999867,-2.9699999999999864,2.2199999999999998,否,是,已平仓
12,2025-02-05,2025-02-14,2025-02-14,多头,1.0,1.0,8,1.770000000000001,-2.4700000000010127,4.240000000001014,是,是,已平仓
13,2025-03-24,2025-04-11,2025-04-11,多头,1.0,1.0,14,14.859999999999976,18.899999999999995,-4.040000000000019,是,是,已平仓
14,2025-04-21,2025-05-16,2025-05-16,多头,1.0,1.0,17,4.979999999999983,-2.9999999999999822,7.979999999999965,是,是,已平仓
15,2025-05-26,2025-05-30,2025-05-30,多头,1.0,1.0,5,-1.2000000000000204,4.959999999999999,-6.16000000000002,否,是,已平仓
16,2025-06-16,2025-06-20,2025-06-20,多头,1.0,1.0,5,1.7100000000000104,0.439999999999989,1.2700000000000213,是,是,已平仓
17,2025-06-30,2025-07-18,2025-07-18,多头,1.0,1.0,15,2.79999999999999,-1.8999999999999917,4.6999999999999815,是,是,已平仓
18,2025-09-01,2025-09-12,2025-09-12,多头,1.0,1.0,10,-1.6300000000010042,-2.9099999999999975,1.2799999999989933,否,是,已平仓
19,2025-09-22,2025-09-26,2025-09-26,多头,1.0,1.0,5,-1.770000000000001,0.2100000000000024,-1.9800000000000033,否,是,已平仓
20,2025-10-09,2025-10-10,2025-10-10,多头,1.0,1.0,2,-0.9200000000009896,1.4499999999999929,-2.3700000000009824,否,是,已平仓
21,2025-10-27,2025-11-14,2025-11-14,多头,1.0,1.0,15,4.749999999999999,3.459999999999991,1.290000000000008,是,是,已平仓
22,2025-12-29,2026-01-09,2026-01-09,多头,1.0,1.0,8,-3.4700000000000015,-4.060000000000002,0.5900000000000007,否,是,已平仓
23,2026-01-26,2026-02-27,2026-02-27,多头,1.0,1.0,19,-1.7499999999990095,4.209999999999978,-5.959999999998987,否,是,已平仓
24,2026-03-09,2026-05-08,2026-05-08,多头,1.0,1.0,41,7.230000000000015,1.6199999999999903,5.610000000000024,是,是,已平仓
25,2026-05-18,2026-06-12,2026-06-12,多头,1.0,1.0,20,4.919999999999995,2.310000000000991,2.609999999999004,是,是,已平仓
26,2026-06-22,2026-06-26,2026-06-26,多头,1.0,1.0,5,0.15000000000001135,-0.15000000000001096,0.3000000000000223,是,是,已平仓
