signal_date,总分,结论,仓位
2024-01-18,42.5,中性,0.0
2024-01-22,57.5,中性,0.0
2024-01-29,12.5,看空,0.0
2024-02-05,72.5,看多,1.0
2024-02-26,57.5,中性,0.0
2024-03-04,85.0,看多,1.0
2024-03-11,72.5,看多,1.0
2024-03-18,37.5,中性,0.0
2024-03-25,57.5,中性,0.0
2024-04-01,42.5,中性,0.0
2024-04-08,92.5,看多,1.0
2024-04-15,70.0,看多,1.0
2024-04-18,70.0,看多,1.0
2024-04-22,70.0,看多,1.0
2024-04-29,65.0,中性,0.0
2024-05-06,20.0,看空,0.0
2024-05-13,80.0,看多,1.0
2024-05-20,17.5,看空,0.0
2024-05-27,57.5,中性,0.0
2024-06-03,35.0,中性,0.0
2024-06-10,92.5,看多,1.0
2024-06-17,25.0,看空,0.0
2024-06-24,77.5,看多,1.0
2024-07-01,70.0,看多,1.0
2024-07-08,27.5,看空,0.0
2024-07-15,67.5,中性,0.0
2024-07-18,67.5,中性,0.0
2024-07-22,72.5,看多,1.0
2024-07-29,70.0,看多,1.0
2024-08-05,70.0,看多,1.0
2024-08-12,77.5,看多,1.0
2024-08-19,25.0,看空,0.0
2024-08-26,20.0,看空,0.0
2024-09-02,40.0,中性,0.0
2024-09-09,20.0,看空,0.0
2024-09-16,65.0,中性,0.0
2024-09-23,70.0,看多,1.0
2024-09-30,15.0,看空,0.0
2024-10-07,37.5,中性,0.0
2024-10-14,30.0,中性,0.0
2024-10-18,95.0,看多,1.0
2024-10-21,30.0,中性,0.0
2024-10-28,0.0,看空,0.0
2024-11-04,70.0,看多,1.0
2024-11-11,50.0,中性,0.0
2024-11-18,30.0,中性,0.0
2024-11-25,30.0,中性,0.0
2024-12-02,55.0,中性,0.0
2024-12-09,55.0,中性,0.0
2024-12-16,50.0,中性,0.0
2024-12-23,47.5,中性,0.0
2025-01-06,70.0,看多,1.0
2025-01-13,22.5,看空,0.0
2025-01-20,20.0,中性,0.0
2025-01-27,22.5,中性,0.0
2025-02-03,70.0,看多,1.0
2025-02-10,70.0,看多,1.0
2025-02-17,67.5,中性,0.0
2025-02-24,17.5,中性,0.0
2025-03-03,5.0,看空,0.0
2025-03-10,42.5,中性,0.0
2025-03-17,20.0,中性,0.0
2025-03-24,70.0,看多,1.0
2025-03-31,70.0,看多,1.0
2025-04-07,72.5,看多,1.0
2025-04-14,52.5,中性,0.0
2025-04-18,52.5,中性,0.0
2025-04-21,72.5,看多,1.0
2025-04-28,70.0,看多,1.0
2025-05-05,75.0,看多,1.0
2025-05-12,92.5,看多,1.0
2025-05-19,25.0,中性,0.0
2025-05-26,87.5,看多,1.0
2025-06-02,57.5,中性,0.0
2025-06-09,27.5,中性,0.0
2025-06-16,72.5,看多,1.0
2025-06-23,67.5,中性,0.0
2025-06-30,80.0,看多,1.0
2025-07-07,75.0,看多,1.0
2025-07-14,75.0,看多,1.0
2025-07-18,75.0,看多,1.0
2025-07-21,22.5,中性,0.0
2025-07-28,17.5,中性,0.0
2025-08-04,60.0,中性,0.0
2025-08-11,30.0,中性,0.0
2025-08-18,25.0,中性,0.0
2025-08-25,7.5,看空,0.0
2025-09-01,82.5,看多,1.0
2025-09-08,75.0,看多,1.0
2025-09-15,27.5,中性,0.0
2025-09-22,75.0,看多,1.0
2025-09-29,10.0,看空,0.0
2025-10-06,82.5,看多,1.0
2025-10-13,32.5,中性,0.0
2025-10-20,45.0,中性,0.0
2025-10-27,80.0,看多,1.0
2025-11-03,85.0,看多,1.0
2025-11-10,80.0,看多,1.0
2025-11-17,30.0,中性,0.0
2025-11-24,27.5,看空,0.0
2025-12-01,30.0,中性,0.0
2025-12-08,17.5,看空,0.0
2025-12-15,35.0,中性,0.0
2025-12-22,32.5,中性,0.0
2025-12-29,82.5,看多,1.0
2026-01-05,80.0,看多,1.0
2026-01-12,32.5,中性,0.0
2026-01-19,30.0,中性,0.0
2026-01-26,92.5,看多,1.0
2026-02-02,77.5,看多,1.0
2026-02-09,77.5,看多,1.0
2026-03-02,30.0,中性,0.0
2026-03-09,80.0,看多,1.0
2026-03-16,77.5,看多,1.0
2026-03-23,77.5,看多,1.0
2026-03-30,80.0,看多,1.0
2026-04-06,77.5,看多,1.0
2026-04-13,77.5,看多,1.0
2026-04-17,77.5,看多,1.0
2026-04-20,77.5,看多,1.0
2026-04-27,77.5,看多,1.0
2026-05-04,82.5,看多,1.0
2026-05-11,27.5,看空,0.0
2026-05-18,77.5,看多,1.0
2026-05-25,75.0,看多,1.0
2026-06-01,72.5,看多,1.0
2026-06-08,87.5,看多,1.0
2026-06-15,17.5,看空,0.0
2026-06-22,72.5,看多,1.0
2026-06-29,67.5,中性,0.0
2026-07-06,22.5,看空,0.0
2026-07-13,17.5,看空,0.0
2026-07-17,5.0,看空,0.0
2026-07-20,50.0,中性,0.0
2026-07-27,60.0,中性,0.0
2026-08-03,60.0,中性,0.0
2026-08-10,55.0,中性,0.0
2026-08-17,55.0,中性,0.0
2026-08-24,50.0,中性,0.0
2026-08-31,60.0,中性,0.0
2026-09-04,60.0,中性,0.0
