指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-09-04,2026-09-04
交易日数,trading_days,1122,1122
期末净值,final_nav,1.1766097384239274,1.1088548913333522
累计收益率,total_return,0.17660973842392735,0.10885489133335224
年化收益率,annual_return,0.03723728992775266,0.023499899272357405
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.02323728992775266,0.009499899272357405
年化波动率,annual_volatility,0.013733373117782456,0.015145980979188236
夏普比率,sharpe,1.6920307726631412,0.6272224483452746
最大回撤,max_drawdown,-0.013115920666119663,-0.018140409684439418
最大回撤起点,max_drawdown_start,2024-08-05,2024-08-02
最大回撤终点,max_drawdown_end,2024-10-18,2025-02-14
Calmar比率,calmar,2.8390908176154204,1.2954447932074697
日胜率_参考,win_rate,0.26827094474153296,0.25044563279857396
累计资本利得_BP,capital_gain_total_bp,134.97000000000102,70.72999999999799
年化资本利得_BP,capital_gain_annualized_bp,30.341159678858393,15.900053523639155
资本利得交易笔数,capital_gain_trade_count,44,44
已平仓交易笔数,capital_gain_closed_trade_count,44,44
资本利得盈利笔数,capital_gain_winning_trades,32,26
资本利得亏损笔数,capital_gain_losing_trades,12,18
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.7272727272727273,0.5909090909090909
平均单笔资本利得_BP,capital_gain_avg_trade_bp,3.0675000000000234,1.6074999999999542
资本利得中位数_BP,capital_gain_median_trade_bp,2.8250000000000144,1.2900000000000065
平均每笔盈利_BP,capital_gain_avg_win_bp,5.227187500000031,4.680000000000076
平均每笔亏损_BP,capital_gain_avg_loss_bp,-2.691666666666664,-2.830555555555777
资本利得盈亏比,capital_gain_profit_loss_ratio,1.9419891640867006,1.6533856722275717
最佳交易_BP,capital_gain_best_trade_bp,15.800000000000015,18.899999999999995
最差交易_BP,capital_gain_worst_trade_bp,-8.5,-12.830000000001
平均每笔持有交易日,capital_gain_avg_holding_days,10.795454545454545,10.795454545454545
最长单笔持有交易日,capital_gain_max_holding_days,41,41
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-16.269999999999982,-23.14000000000197
资本利得最大回撤起点,capital_gain_max_drawdown_start,2024-08-05,2024-08-02
资本利得最大回撤终点,capital_gain_max_drawdown_end,2024-10-18,2025-02-14
最长连续亏损笔数,capital_gain_longest_losing_streak,3,2
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
