信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,供给_发行量_得分,供给_发行量_定性,供给_发行占比_得分,供给_发行占比_定性,供给_10Y以上发行_得分,供给_10Y以上发行_定性,供给_发飞惩罚_得分,供给_发飞惩罚_定性,银行需求_得分,银行需求_定性,利差_地方债国债_得分,利差_地方债国债_定性,利差_周度变化_得分,利差_周度变化_定性,利差_地方债NCD_得分,利差_地方债NCD_定性,非银情绪_得分,非银情绪_定性
2022-01-17,2022-01-24,1.0,看多,0.007412058736873339,0.0070126317541745475,0.00039942698269879173,0.0004888095238095238,0.006908367153304207,8.139999999999988,7.600000000000003,0.5399999999999849,是,有效进攻,是,否,有效进攻,0.0,中性,15.0,中性,0.0,中性,0.0,中性,0.0,利空,0.0,利空,5.0,中性,0.0,利空,50.0,利多
2022-01-24,2022-02-14,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,0.0,利空,0.0,利空,0.0,中性,2.5,中性,0.0,利空,10.0,利多,0.0,中性,50.0,利多
2022-02-14,2022-02-21,1.0,看多,-0.0013263015373861098,-0.00017404841880164224,-0.0011522531185844676,0.0006120436507936504,-0.0019379203525157814,-2.2799999999999905,-0.8400000000000074,-1.439999999999983,否,该空没空,否,是,该空没空,0.0,利多,30.0,利多,0.0,中性,0.0,中性,5.0,利多,2.5,中性,5.0,中性,0.0,利多,50.0,利多
2022-02-21,2022-02-28,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利空,0.0,利空,0.0,利空,0.0,中性,2.5,中性,0.0,利空,10.0,利多,0.0,中性,50.0,利多
2022-02-28,2022-03-07,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,中性,15.0,中性,0.0,中性,0.0,中性,0.0,利空,5.0,利多,0.0,利空,0.0,中性,0.0,利空
2022-03-07,2022-03-14,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,中性,15.0,中性,0.0,中性,0.0,中性,5.0,利多,2.5,中性,10.0,利多,0.0,中性,0.0,利空
2022-03-14,2022-03-21,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,中性,15.0,中性,0.0,中性,0.0,中性,0.0,利空,5.0,利多,0.0,利空,0.0,利空,0.0,利空
2022-03-21,2022-03-28,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,中性,15.0,中性,0.0,利空,0.0,中性,0.0,利空,5.0,利多,5.0,中性,0.0,中性,0.0,利空
2022-03-28,2022-04-04,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,中性,0.0,利空,0.0,中性,0.0,中性,0.0,利空,2.5,中性,5.0,中性,0.0,利空,0.0,利空
2022-04-04,2022-04-11,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,利多,30.0,利多,0.0,利多,0.0,中性,5.0,利多,2.5,中性,5.0,中性,0.0,中性,0.0,利空
