指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-09-07,2026-09-07
交易日数,trading_days,1127,1127
期末净值,final_nav,1.1997176038480406,1.0936569255110473
累计收益率,total_return,0.1997176038480406,0.09365692551104732
年化收益率,annual_return,0.04159280560067513,0.020238324096588656
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.027592805600675133,0.006238324096588655
年化波动率,annual_volatility,0.01410031188039265,0.01481913682504271
夏普比率,sharpe,1.9568932825553047,0.4209640662772325
最大回撤,max_drawdown,-0.0088581899690513,-0.017553042943210584
最大回撤起点,max_drawdown_start,2022-02-10,2022-08-18
最大回撤终点,max_drawdown_end,2022-04-08,2022-11-30
Calmar比率,calmar,4.69540682080559,1.1529809482074287
日胜率_参考,win_rate,0.2724046140195209,0.24046140195208518
调仓周期数,signal_period_count,1108,1108
盈利调仓周期数,winning_signal_periods,301,267
调仓周期胜率,signal_period_win_rate,0.27166064981949456,0.24097472924187727
单周期平均收益,avg_signal_period_return,0.00016475161703883288,8.124286481598569e-05
累计资本利得_BP,capital_gain_total_bp,155.400000000004,53.96999999999617
年化资本利得_BP,capital_gain_annualized_bp,34.77868561278953,12.078543516873033
资本利得交易笔数,capital_gain_trade_count,108,108
已平仓交易笔数,capital_gain_closed_trade_count,107,107
资本利得盈利笔数,capital_gain_winning_trades,67,56
资本利得亏损笔数,capital_gain_losing_trades,37,51
资本利得持平笔数,capital_gain_flat_trades,3,0
资本利得交易胜率,capital_gain_trade_win_rate,0.6261682242990654,0.5233644859813084
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.4308411214953645,0.4902803738317401
资本利得中位数_BP,capital_gain_median_trade_bp,0.7000000000000062,0.1999999999990204
平均每笔盈利_BP,capital_gain_avg_win_bp,3.2471641791045105,3.0057142857142156
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.7421621621621124,-2.271764705882351
资本利得盈亏比,capital_gain_profit_loss_ratio,1.8638702238112057,1.3230746467411112
最佳交易_BP,capital_gain_best_trade_bp,18.010000000000005,14.940000000000023
最差交易_BP,capital_gain_worst_trade_bp,-7.479999999999987,-12.309999999999995
平均每笔持有交易日,capital_gain_avg_holding_days,4.351851851851852,4.351851851851852
最长单笔持有交易日,capital_gain_max_holding_days,28,28
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-12.21000000000101,-27.399999999999928
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-09-05,2022-01-28
资本利得最大回撤终点,capital_gain_max_drawdown_end,2022-11-25,2022-11-30
最长连续亏损笔数,capital_gain_longest_losing_streak,5,7
当前未平仓交易数,capital_gain_open_trade_count,1,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,2.299999999999976,1.5099999999999838
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
