交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-03-01,2022-03-01,2022-03-01,多头,1.0,1.0,1,0.950000000000048,-2.7500000000000093,3.7000000000000575,是,是,已平仓
2,2022-04-08,2022-04-11,2022-04-11,多头,1.0,1.0,2,1.670000000000005,-2.859999999999981,4.529999999999986,是,是,已平仓
3,2023-06-01,2023-06-01,2023-06-01,多头,1.0,1.0,1,0.9399999999999686,0.2499999999999724,0.6899999999999962,是,是,已平仓
4,2023-10-27,2023-10-27,2023-10-27,多头,1.0,1.0,1,1.9600000000000173,0.190000000000988,1.7699999999990292,是,是,已平仓
5,2023-11-10,2023-11-16,2023-11-16,多头,1.0,1.0,5,0.239999999999997,-0.6399999999999808,0.8799999999999778,是,是,已平仓
6,2023-11-22,2023-11-30,2023-11-30,多头,1.0,1.0,7,0.49000000000000465,0.04000000000000559,0.44999999999999907,是,是,已平仓
7,2023-12-06,2023-12-14,2023-12-14,多头,1.0,1.0,7,1.3200000000000016,2.7399999999999993,-1.4199999999999977,是,是,已平仓
8,2023-12-18,2024-01-05,2024-01-05,多头,1.0,1.0,14,12.370000000000022,10.520000000000008,1.8500000000000139,是,是,已平仓
9,2024-01-11,2024-01-11,2024-01-11,多头,1.0,1.0,1,1.4799999999999882,-0.0999999999999959,1.579999999999984,是,是,已平仓
10,2024-03-07,2024-03-07,2024-03-07,多头,1.0,1.0,1,3.0900000000000025,-1.2600000000000111,4.350000000000014,是,是,已平仓
11,2024-04-03,2024-04-03,2024-04-03,多头,1.0,1.0,1,0.5800000000009964,0.899999999999998,-0.31999999999900164,是,是,已平仓
12,2024-11-07,2024-11-07,2024-11-07,多头,1.0,1.0,1,0.6499999999999908,1.1900000000000106,-0.5400000000000198,是,是,已平仓
13,2025-01-03,2025-01-06,2025-01-06,多头,1.0,1.0,2,2.3899999999999966,1.1099999999989936,1.280000000001003,是,是,已平仓
14,2025-03-31,2025-04-03,2025-04-03,多头,1.0,1.0,4,11.069999999998998,9.45999999999999,1.6099999999990082,是,是,已平仓
15,2025-04-14,2025-04-16,2025-04-16,多头,1.0,1.0,3,1.0500000000000094,1.3799999999999923,-0.329999999999983,是,是,已平仓
16,2025-04-18,2025-04-18,2025-04-18,多头,1.0,1.0,1,0.2400000000000318,0.2899999999999778,-0.04999999999994598,是,是,已平仓
17,2025-04-29,2025-04-30,2025-04-30,多头,1.0,1.0,2,4.609999999999996,2.400000000000006,2.2099999999999898,是,是,已平仓
18,2025-05-12,2025-05-12,2025-05-12,多头,1.0,1.0,1,-1.5400000000000136,-5.289999999999982,3.749999999999969,否,是,已平仓
19,2025-05-14,2025-05-15,2025-05-15,多头,1.0,1.0,2,2.479999999999982,-0.9400000000000033,3.4199999999999857,是,是,已平仓
20,2025-09-03,2025-09-03,2025-09-03,多头,1.0,1.0,1,1.250000000000001,1.8299999999999916,-0.5799999999999905,是,是,已平仓
21,2025-09-29,2025-09-30,2025-09-30,多头,1.0,1.0,2,-0.9999999999989878,1.6299999999999997,-2.6299999999989874,否,是,已平仓
22,2025-12-08,2025-12-11,2025-12-11,多头,1.0,1.0,4,1.0899999999999799,0.7599999999999969,0.329999999999983,是,是,已平仓
23,2025-12-29,2025-12-29,2025-12-29,多头,1.0,1.0,1,-1.3900000000000023,-2.0799999999999983,0.689999999999996,否,是,已平仓
24,2026-04-15,2026-04-15,2026-04-15,多头,1.0,1.0,1,-0.2900000000000124,0.1999999999990204,-0.4899999999990328,否,是,已平仓
25,2026-04-29,2026-04-30,2026-04-30,多头,1.0,1.0,2,1.1200000000000097,1.8100000000000063,-0.6899999999999966,是,是,已平仓
