交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-01-13,2022-01-14,2022-01-14,多头,1.0,1.0,2,0.0,-0.7699999999990006,0.7699999999990006,否,是,已平仓
2,2022-01-20,2022-01-20,2022-01-20,多头,1.0,1.0,1,4.49999999999999,0.4299999999990075,4.070000000000983,是,是,已平仓
3,2022-01-25,2022-01-25,2022-01-25,多头,1.0,1.0,1,0.0,-2.2799999999999905,2.2799999999999905,否,是,已平仓
4,2022-02-07,2022-02-15,2022-02-15,多头,1.0,1.0,7,-7.410000000000992,-9.469999999999999,2.0599999999990066,否,是,已平仓
5,2022-03-01,2022-03-03,2022-03-03,多头,1.0,1.0,3,-0.47999999999999443,-5.499999999999984,5.01999999999999,否,是,已平仓
6,2022-04-08,2022-04-11,2022-04-11,多头,1.0,1.0,2,1.670000000000005,-2.859999999999981,4.529999999999986,是,是,已平仓
7,2022-04-26,2022-04-28,2022-04-28,多头,1.0,1.0,3,2.7200000000009856,-3.2599999999999993,5.9800000000009845,是,是,已平仓
8,2022-05-05,2022-05-05,2022-05-05,多头,1.0,1.0,1,2.849999999999971,1.0400000000010057,1.809999999998965,是,是,已平仓
9,2022-05-13,2022-05-17,2022-05-17,多头,1.0,1.0,3,5.630000000001017,-1.230000000000016,6.860000000001033,是,是,已平仓
10,2022-06-30,2022-07-04,2022-07-04,多头,1.0,1.0,3,1.1299999999999852,-1.510000000000018,2.6400000000000032,是,是,已平仓
11,2022-07-06,2022-08-12,2022-08-12,多头,1.0,1.0,28,11.960000000001,9.860000000000007,2.1000000000009926,是,是,已平仓
12,2022-08-17,2022-08-30,2022-08-30,多头,1.0,1.0,10,3.6200000000000125,2.1599999999990027,1.4600000000010098,是,是,已平仓
13,2022-09-05,2022-09-05,2022-09-05,多头,1.0,1.0,1,0.0499999999990091,0.460000000000009,-0.4100000000009999,是,是,已平仓
14,2022-09-07,2022-09-07,2022-09-07,多头,1.0,1.0,1,-0.470000000000019,-0.7499999999999868,0.2799999999999678,否,是,已平仓
15,2022-09-09,2022-09-13,2022-09-13,多头,1.0,1.0,2,0.18000000000000682,-1.7100000000009816,1.8900000000009884,是,是,已平仓
16,2022-09-21,2022-09-28,2022-09-28,多头,1.0,1.0,6,-2.209999999999018,-7.609999999999978,5.40000000000096,否,是,已平仓
17,2022-10-10,2022-10-13,2022-10-13,多头,1.0,1.0,4,0.6300000000000059,3.490000000000021,-2.8600000000000154,是,是,已平仓
18,2022-10-17,2022-10-18,2022-10-18,多头,1.0,1.0,2,0.4099999999989876,-0.2500000000000071,0.6599999999989947,是,是,已平仓
19,2022-11-02,2022-11-11,2022-11-11,多头,1.0,1.0,8,-3.629999999999987,-7.25,3.620000000000013,否,是,已平仓
20,2022-11-25,2022-11-25,2022-11-25,多头,1.0,1.0,1,-2.5599999999990213,-3.499999999999996,0.9400000000009747,否,是,已平仓
21,2022-11-30,2022-12-01,2022-12-01,多头,1.0,1.0,2,1.8299999999999912,1.9999999999999878,-0.1699999999999966,是,是,已平仓
22,2022-12-22,2022-12-23,2022-12-23,多头,1.0,1.0,2,0.23999999999999733,3.5500000000000114,-3.310000000000014,是,是,已平仓
23,2023-01-05,2023-01-05,2023-01-05,多头,1.0,1.0,1,-0.5499999999999949,-2.009999999999998,1.460000000000003,否,是,已平仓
24,2023-02-21,2023-02-21,2023-02-21,多头,1.0,1.0,1,0.180000000000978,-0.200000000000998,0.380000000001976,是,是,已平仓
25,2023-02-27,2023-03-03,2023-03-03,多头,1.0,1.0,5,0.6300000000000057,0.999999999999994,-0.36999999999998834,是,是,已平仓
26,2023-03-07,2023-03-08,2023-03-08,多头,1.0,1.0,2,-0.1100000000009774,-0.019999999999985585,-0.09000000000099181,否,是,已平仓
27,2023-03-13,2023-03-13,2023-03-13,多头,1.0,1.0,1,-0.0699999999989944,-0.7599999999999968,0.6900000000010024,否,是,已平仓
28,2023-03-21,2023-03-21,2023-03-21,多头,1.0,1.0,1,-0.820000000000022,-0.9999999999989878,0.17999999999896577,否,是,已平仓
29,2023-03-23,2023-03-24,2023-03-24,多头,1.0,1.0,2,0.3600000000009842,-0.9900000000009901,1.3500000000019743,是,是,已平仓
