指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-09-11,2026-09-11
交易日数,trading_days,1131,1131
期末净值,final_nav,1.1831499589624481,1.0714223864505585
累计收益率,total_return,0.18314995896244812,0.07142238645055854
年化收益率,annual_return,0.038217918872138545,0.01550368779980138
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.024217918872138547,0.0015036877998013797
年化波动率,annual_volatility,0.012544035380987936,0.01375299108462633
夏普比率,sharpe,1.9306322197435644,0.10933532862405947
最大回撤,max_drawdown,-0.006243225367344896,-0.0191270122998749
最大回撤起点,max_drawdown_start,2022-02-10,2022-01-13
最大回撤终点,max_drawdown_end,2022-04-08,2022-07-08
Calmar比率,calmar,6.121502368316999,0.8105650562007941
日胜率_参考,win_rate,0.2484526967285588,0.21220159151193635
调仓周期数,signal_period_count,1112,1112
盈利调仓周期数,winning_signal_periods,274,235
调仓周期胜率,signal_period_win_rate,0.24640287769784172,0.21133093525179855
单周期平均收益,avg_signal_period_return,0.0001515702159137147,6.241876373370032e-05
累计资本利得_BP,capital_gain_total_bp,146.29000000000778,36.239999999996044
年化资本利得_BP,capital_gain_annualized_bp,32.62396460177165,8.08184070796372
资本利得交易笔数,capital_gain_trade_count,129,129
已平仓交易笔数,capital_gain_closed_trade_count,128,128
资本利得盈利笔数,capital_gain_winning_trades,87,62
资本利得亏损笔数,capital_gain_losing_trades,38,66
资本利得持平笔数,capital_gain_flat_trades,3,0
资本利得交易胜率,capital_gain_trade_win_rate,0.6796875,0.484375
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.1412500000000607,0.27617187499996904
资本利得中位数_BP,capital_gain_median_trade_bp,0.4999999999999969,-0.015000000000483373
平均每笔盈利_BP,capital_gain_avg_win_bp,2.36977011494263,2.553064516128982
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.5813157894737127,-1.8627272727272863
资本利得盈亏比,capital_gain_profit_loss_ratio,1.4986064963857268,1.3706056455548365
最佳交易_BP,capital_gain_best_trade_bp,17.439999999999994,19.31000000000002
最差交易_BP,capital_gain_worst_trade_bp,-7.410000000000992,-9.469999999999999
平均每笔持有交易日,capital_gain_avg_holding_days,3.1782945736434107,3.1782945736434107
最长单笔持有交易日,capital_gain_max_holding_days,28,28
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-8.389999999999995,-31.009999999999902
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-02-09,2022-01-13
资本利得最大回撤终点,capital_gain_max_drawdown_end,2022-04-08,2022-11-30
最长连续亏损笔数,capital_gain_longest_losing_streak,3,5
当前未平仓交易数,capital_gain_open_trade_count,1,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.21000000000000185,0.8899999999999879
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
